space,rule_id,confirmed_fraction,localized_component_lifetime_max,recurrence_up_to_shift,motif_material_turnover,background_contrast,frozen_order_index,chaos_index,stratum,classification,stage1_score,relation_dependence_delta,asymmetry_dependence_delta,relation_dependence_positive,asymmetry_dependence_positive,post_perturbation_survival_rate,future_distinct_descendant_count,composition_positive_count,stable_product_rate,interaction_outcome_diversity,dominant_interaction_outcome
q3_radius1,q3r1_s1_0033,0.0,365.5,0.42119598388671875,0.6433029174804688,1.0,0.0,0.3693524860907088,S1_random_unbiased,emitter_or_generator,0.19702648656935198,,,,,,,,,,
q3_radius1,q3r1_s1_0037,0.125,387.0,0.7590560913085938,0.27538299560546875,1.0,0.1955078125,0.2642858486657215,S1_random_unbiased,emitter_or_generator,0.17736542911910208,,,,,,,,,,
q3_radius1,q3r1_s2_0013,0.0,337.5,1.0,0.0,0.296875,0.35,0.4189467089609488,S2_quiescent_preserving,mixed,0.16537204267615926,,,,,,,,,,
q3_radius1,q3r1_s2_0033,0.0,467.5,0.6619110107421875,0.4278411865234375,0.859375,0.00068359375,0.2082158685819269,S2_quiescent_preserving,emitter_or_generator,0.18308872931605102,,,,,,,,,,
q3_radius1,q3r1_s2_0037,0.0,381.5,0.9999618530273438,3.814697265625e-05,1.0,0.35,0.2565755808167168,S2_quiescent_preserving,transported_identity,0.1709546422703429,,,,,,,,,,
q3_radius1,q3r1_s2_0046,0.375,513.5,0.5954513549804688,0.5525360107421875,1.0,0.0,0.48181050637818834,S2_quiescent_preserving,emitter_or_generator,0.17036317985020666,0.04726627469062805,0.29745781421661377,True,True,1.0,48.0,9.0,0.0,-0.0,emission
q3_radius1,q3r1_s3_0011,0.0,441.0,0.5133743286132812,0.5707015991210938,1.0,0.0,0.4287085761947578,S3_sparse_active_preserving,emitter_or_generator,0.18661020922528682,,,,,,,,,,
q3_radius1,q3r1_s3_0016,0.0,493.0,0.5234222412109375,0.5626983642578125,1.0,0.04375,0.5545646618020935,S3_sparse_active_preserving,emitter_or_generator,0.1674637577457612,,,,,,,,,,
q3_radius1,q3r1_s3_0020,0.5,219.0,0.65380859375,0.37035369873046875,1.0,0.0,0.28004182621191726,S3_sparse_active_preserving,emitter_or_generator,0.19097570762350746,-0.007208496332168579,0.21213993430137634,False,True,1.0,48.0,9.0,0.0,-0.0,emission
q3_radius1,q3r1_s3_0047,0.25,431.5,0.6626968383789062,0.366790771484375,1.0,0.12373046874999999,0.38603163765997717,S3_sparse_active_preserving,emitter_or_generator,0.16075004536633403,,,,,,,,,,
q3_radius1,q3r1_s4_0004,0.0,115.5,0.1445159912109375,0.86907958984375,0.859375,0.0,0.09894964204146169,S4_neighbor_dependent,transported_identity,0.16485568897771377,,,,,,,,,,
q3_radius1,q3r1_s4_0006,0.0,503.5,0.46234130859375,0.592041015625,0.994140625,0.005859375,0.38267945619985877,S4_neighbor_dependent,mixed,0.17703249701534704,,,,,,,,,,
q3_radius1,q3r1_s4_0007,0.0,450.0,0.9817428588867188,0.02088165283203125,1.0,0.308984375,0.2632048874824492,S4_neighbor_dependent,transported_identity,0.1838147987863439,,,,,,,,,,
q3_radius1,q3r1_s4_0009,0.125,388.5,0.634307861328125,0.42090606689453125,1.0,0.1025390625,0.3393187362315616,S4_neighbor_dependent,emitter_or_generator,0.17288902688551264,,,,,,,,,,
q3_radius1,q3r1_s4_0014,0.375,387.0,0.8853836059570312,0.16059112548828125,0.908203125,0.15312499999999998,0.09895025749265292,S4_neighbor_dependent,mixed,0.1942954650805103,0.0910420946776867,0.17720147967338562,True,True,1.0,48.0,0.0,0.0,-0.0,chaotic_explosion
q3_radius1,q3r1_s4_0025,0.0,387.0,1.0,0.0,0.99609375,0.35,0.25496391566796395,S4_neighbor_dependent,transported_identity,0.1631184128492957,,,,,,,,,,
q3_radius1,q3r1_s4_0029,0.0,513.0,0.449462890625,0.615234375,1.0,0.0,0.4464888776676086,S4_neighbor_dependent,emitter_or_generator,0.1696562725529365,,,,,,,,,,
q3_radius1,q3r1_s4_0031,0.125,450.0,0.84405517578125,0.2113189697265625,1.0,0.21669921874999998,0.22027433139246055,S4_neighbor_dependent,transported_identity,0.19191737513957158,,,,,,,,,,
q3_radius1,q3r1_s4_0046,0.0,387.0,0.6558074951171875,0.37436676025390625,0.875,0.04375,0.25708924994712623,S4_neighbor_dependent,emitter_or_generator,0.17175729146514387,,,,,,,,,,
q3_radius1,q3r1_s5_0012,0.25,417.0,0.7245254516601562,0.30252838134765625,1.0,0.18798828125,0.3124967618492378,S5_asymmetric_neighbor_dependent,emitter_or_generator,0.17605420291072194,,,,,,,,,,
q3_radius1,q3r1_s5_0016,0.75,516.0,0.772186279296875,0.2339019775390625,1.0,0.015722656249999998,0.1012968315541084,S5_asymmetric_neighbor_dependent,emitter_or_generator,0.19105787093550702,0.027606666088104248,0.07846944034099579,True,True,1.0,48.0,9.0,0.0,-0.0,emission
q3_radius1,q3r1_s5_0020,0.0,155.0,0.647369384765625,0.36722564697265625,0.126953125,0.0615234375,0.07488527560982122,S5_asymmetric_neighbor_dependent,emitter_or_generator,0.283359576361872,,,,,,,,,,
q3_radius1,q3r1_s5_0028,0.0,458.5,0.92352294921875,0.07647705078125,0.826171875,0.23583984375,0.3858741639454594,S5_asymmetric_neighbor_dependent,emitter_or_generator,0.18048656982604508,,,,,,,,,,
q3_radius1,q3r1_s5_0037,0.0,516.0,0.9980392456054688,0.00199127197265625,1.0,0.34042968749999997,0.41946429314240574,S5_asymmetric_neighbor_dependent,emitter_or_generator,0.16862121080576203,,,,,,,,,,
q3_radius1,q3r1_s5_0041,0.0,513.0,0.5002670288085938,0.5444259643554688,1.0,0.0,0.3740157013793579,S5_asymmetric_neighbor_dependent,emitter_or_generator,0.1659926563541183,,,,,,,,,,
q3_radius1,q3r1_s5_0045,0.0,483.5,0.9980926513671875,0.0021514892578125,1.0,0.34726562499999997,0.18555194566838445,S5_asymmetric_neighbor_dependent,transported_identity,0.16041599181075228,,,,,,,,,,
q3_radius1,q3r1_s7_0002,0.625,418.0,0.8574981689453125,0.15753173828125,0.646484375,0.3904296875,0.11618512032861392,S7_symmetric_control,transported_identity,0.18168416277542648,-0.12661462426185607,-0.0326859265565872,False,False,1.0,48.0,0.0,0.0,-0.0,chaotic_explosion
q3_radius1,q3r1_s7_0008,0.0,361.5,0.6819686889648438,0.37145233154296875,0.97265625,0.06767578125,0.20727825291113516,S7_symmetric_control,emitter_or_generator,0.19988998652861195,,,,,,,,,,
