space,rule_id,T,ring_size,confirmed_rate,recurrence_up_to_shift,motif_material_turnover,frozen_order_index,chaos_index
ECA_anchor,ECA_73,512,256,0.5,0.7479654947916666,0.3022664388020833,0.030078124999999997,0.4402117935280699
ECA_anchor,ECA_77,512,256,0.0,1.0,0.0,1.0,0.9469279079964638
ECA_anchor,ECA_8,512,256,0.0,1.0,0.0,1.0,0.0
ECA_anchor,ECA_90,512,256,0.0,1.0,0.0,1.0,0.0
q2_radius2,q2r2_s1_0001,512,256,0.0,0.5690714518229166,0.47930908203125,0.0026041666666666665,0.3797161558400807
q2_radius2,q2r2_s1_0004,512,256,0.6666666666666666,0.7060343424479166,0.45611572265625,0.09635416666666667,0.27717064800318086
q2_radius2,q2r2_s1_0017,512,256,0.0,0.6931355794270834,0.4679972330729167,0.031901041666666664,0.34865448148629613
q2_radius2,q2r2_s1_0022,512,256,0.0,0.5632832845052084,0.505828857421875,0.0,0.4007793473623926
q2_radius2,q2r2_s1_0043,512,256,0.5,0.8573201497395834,0.14306640625,0.11757812499999999,0.2639048388494356
q2_radius2,q2r2_s1_0046,512,256,0.0,0.5906473795572916,0.481597900390625,0.0,0.43571837304790223
q2_radius2,q2r2_s2_0007,512,256,0.6666666666666666,0.721038818359375,0.4930318196614583,0.0018229166666666665,0.32408176764412305
q2_radius2,q2r2_s2_0010,512,256,0.0,0.5547688802083334,0.4897664388020833,0.0,0.4833026025181555
q2_radius2,q2r2_s2_0017,512,256,0.16666666666666666,0.8422139485677084,0.17731730143229166,0.2661458333333333,0.2705358508559814
q2_radius2,q2r2_s2_0046,512,256,0.16666666666666666,0.6751200358072916,0.3670145670572917,0.09479166666666666,0.2820846674444378
q2_radius2,q2r2_s2_0047,512,256,0.0,0.6148681640625,0.4565836588541667,0.0,0.3469787507183106
q2_radius2,q2r2_s3_0001,512,256,0.16666666666666666,0.5988566080729166,0.43896484375,0.08854166666666667,0.29512889038183804
q2_radius2,q2r2_s3_0002,512,256,0.16666666666666666,0.6219584147135416,0.4227396647135417,0.047526041666666664,0.1820821408027006
q2_radius2,q2r2_s3_0003,512,256,0.0,0.5632120768229166,0.48016357421875,0.0,0.40661760460547086
q2_radius2,q2r2_s3_0004,512,256,0.0,0.576324462890625,0.4752909342447917,0.0,0.3906622125199382
q2_radius2,q2r2_s3_0011,512,256,0.0,0.55462646484375,0.4978841145833333,0.0,0.3874405939128756
q2_radius2,q2r2_s3_0020,512,256,0.0,0.5572306315104166,0.5,0.0,0.420182906716226
q2_radius2,q2r2_s3_0022,512,256,0.0,0.55560302734375,0.4940592447916667,0.0,0.4211953959810313
q2_radius2,q2r2_s3_0044,512,256,0.0,0.576385498046875,0.4932149251302083,0.0,0.39155651801801544
q2_radius2,q2r2_s4_0018,512,256,0.0,0.6054789225260416,0.456939697265625,0.0,0.31764352148522296
q2_radius2,q2r2_s4_0027,512,256,0.0,0.629852294921875,0.4229838053385417,0.0,0.3494301885401368
q2_radius2,q2r2_s4_0030,512,256,0.3333333333333333,0.6999613444010416,0.6168924967447916,0.0,0.35386602855429744
q2_radius2,q2r2_s4_0034,512,256,0.16666666666666666,0.6468709309895834,0.58319091796875,0.0,0.5571560414524157
