variant_id,family,strength_label,strength,noise_multiplier,sink_shift,initial_shift_a,initial_shift_b,dt_multiplier,drift_scale_f,drift_scale_t,center_shift_f,center_shift_t
noise_007,noise,moderate,0.1,0.7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_008,noise,mild,0.05,0.85,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
noise_009,noise,moderate,0.1,1.3,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_000,sink_threshold,mild,0.05,1.0,0.05,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_001,sink_threshold,moderate,0.1,1.0,-0.1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_002,sink_threshold,mild,0.05,1.0,-0.05,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_003,sink_threshold,moderate,0.1,1.0,0.1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_004,sink_threshold,mild,0.05,1.0,0.05,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_005,sink_threshold,moderate,0.1,1.0,-0.1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_006,sink_threshold,mild,0.05,1.0,0.05,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_007,sink_threshold,moderate,0.1,1.0,0.1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_008,sink_threshold,mild,0.05,1.0,-0.05,0.0,0.0,1.0,1.0,1.0,0.0,0.0
sink_threshold_009,sink_threshold,moderate,0.1,1.0,-0.1,0.0,0.0,1.0,1.0,1.0,0.0,0.0
initial_location_000,initial_location,mild,0.05,1.0,0.0,-0.028283402380085833,0.020208493929827653,1.0,1.0,1.0,0.0,0.0
initial_location_001,initial_location,moderate,0.1,1.0,0.0,0.05635721425778381,0.00646736470638587,1.0,1.0,1.0,0.0,0.0
initial_location_002,initial_location,mild,0.05,1.0,0.0,0.019826604065144172,0.0113755237905271,1.0,1.0,1.0,0.0,0.0
initial_location_003,initial_location,moderate,0.1,1.0,0.0,-0.01888199414365617,0.06610660561317355,1.0,1.0,1.0,0.0,0.0
initial_location_004,initial_location,mild,0.05,1.0,0.0,-0.010632184668429363,0.018683177712989392,1.0,1.0,1.0,0.0,0.0
initial_location_005,initial_location,moderate,0.1,1.0,0.0,-0.0643631989716203,0.021529491460371142,1.0,1.0,1.0,0.0,0.0
initial_location_006,initial_location,mild,0.05,1.0,0.0,-0.02531780827003272,0.006744933250795004,1.0,1.0,1.0,0.0,0.0
initial_location_007,initial_location,moderate,0.1,1.0,0.0,0.06081964997089123,-0.0677418290528311,1.0,1.0,1.0,0.0,0.0
initial_location_008,initial_location,mild,0.05,1.0,0.0,-0.020221245833600972,0.020229752438434376,1.0,1.0,1.0,0.0,0.0
initial_location_009,initial_location,moderate,0.1,1.0,0.0,0.04989583503131709,0.06802286280540754,1.0,1.0,1.0,0.0,0.0
time_discretization_000,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_001,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_002,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_003,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_004,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_005,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_006,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
time_discretization_007,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_008,time_discretization,mild,0.05,1.0,0.0,0.0,0.0,0.8,1.0,1.0,0.0,0.0
time_discretization_009,time_discretization,moderate,0.1,1.0,0.0,0.0,0.0,1.2,1.0,1.0,0.0,0.0
threshold_loose_reference,certification_threshold,loose,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
threshold_strict_reference,certification_threshold,strict,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
