rule,future_distinct_descendant_count,post_perturbation_survival_rate,return_to_same_pattern_rate,branching_without_explosion
184,15.0,1.0,1.0,0.9375
185,16.0,1.0,1.0,1.0
186,16.0,1.0,1.0,1.0
187,16.0,1.0,1.0,1.0
188,14.0,1.0,1.0,0.875
189,16.0,1.0,1.0,1.0
190,16.0,1.0,1.0,1.0
191,16.0,1.0,1.0,1.0
192,1.0,0.0,1.0,0.0625
193,16.0,1.0,0.0625,1.0
194,16.0,1.0,1.0,1.0
195,16.0,1.0,1.0,1.0
196,14.0,1.0,1.0,0.875
197,16.0,1.0,0.0625,1.0
198,16.0,1.0,1.0,1.0
199,16.0,1.0,0.0,1.0
200,12.0,0.75,1.0,0.75
201,16.0,1.0,1.0,1.0
202,16.0,0.9375,1.0,1.0
203,16.0,1.0,1.0,1.0
204,16.0,1.0,1.0,1.0
205,16.0,1.0,1.0,1.0
206,16.0,1.0,1.0,1.0
207,16.0,1.0,1.0,1.0
208,16.0,1.0,1.0,1.0
209,16.0,1.0,1.0,1.0
210,16.0,1.0,1.0,1.0
211,16.0,1.0,1.0,1.0
212,16.0,1.0,0.875,1.0
213,16.0,1.0,1.0,1.0
214,16.0,1.0,1.0,1.0
215,16.0,1.0,1.0,1.0
216,16.0,1.0,1.0,1.0
217,16.0,1.0,1.0,1.0
218,16.0,1.0,1.0,1.0
219,16.0,1.0,1.0,1.0
220,16.0,1.0,1.0,1.0
221,16.0,1.0,1.0,1.0
222,16.0,1.0,1.0,1.0
223,16.0,1.0,1.0,1.0
224,1.0,0.0,1.0,0.0625
225,16.0,1.0,0.9375,1.0
226,16.0,1.0,1.0,1.0
227,16.0,1.0,1.0,1.0
228,14.0,0.875,1.0,0.875
229,16.0,1.0,1.0,1.0
230,15.0,1.0,0.9375,0.9375
231,16.0,1.0,1.0,1.0
232,12.0,0.6875,1.0,0.75
233,11.0,1.0,1.0,0.6875
234,16.0,1.0,1.0,1.0
235,1.0,1.0,1.0,0.0625
236,15.0,1.0,1.0,0.9375
237,10.0,1.0,1.0,0.625
238,15.0,1.0,1.0,0.9375
239,1.0,1.0,1.0,0.0625
240,16.0,0.9375,1.0,1.0
241,16.0,1.0,1.0,1.0
242,16.0,1.0,1.0,1.0
243,16.0,1.0,1.0,1.0
244,16.0,1.0,1.0,1.0
245,16.0,1.0,1.0,1.0
246,16.0,1.0,1.0,1.0
247,16.0,1.0,1.0,1.0
248,16.0,1.0,1.0,1.0
249,1.0,1.0,1.0,0.0625
250,16.0,1.0,1.0,1.0
251,1.0,1.0,1.0,0.0625
252,13.0,1.0,1.0,0.8125
253,1.0,1.0,1.0,0.0625
254,14.0,1.0,1.0,0.875
255,1.0,1.0,1.0,0.0625
