rule,depends_left,depends_center,depends_right,relation_degree,relation_complete,self_only,no_local_self_relation,left_right_asymmetry,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,distinction_survival,DAR_complete,DAR_asymmetric,classification,future_distinct_descendant_count,post_perturbation_survival_rate,return_to_same_pattern_rate,branching_without_explosion
18,True,True,True,2,True,False,False,0.0,0.5,0.0,True,False,0.12437535940286563,0.099853515625,0.4387001834163025,0.40625,0.40625,0.0,0.40625,0.40625,126.58333333333333,189.33333333333334,1.0,0.09469525422788104,0.9140625,0.8642985026041666,0.7395833333333334,0.1470947265625,-0.04248046875,0.3333333333333333,0.59375,0.12437535940286563,0.8756246405971343,17.75519275470623,0.40625,0.40625,0.2682291666666667,0.3579427083333333,0.4387001834163025,0.19498697916666666,0.8050130208333334,0.7454156308697845,0.14620948849515578,0.59375,True,False,transported_identity,16.0,1.0,1.0,1.0
19,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,0.49881792872487035,0.3084208170572917,0.34217591592790947,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.0,1.0,195.89583333333334,217.33333333333334,2.6666666666666665,1.7183971132642082,0.75,1.0,0.8489583333333334,0.0,-0.015625,2.0,0.75,0.49881792872487035,0.5011820712751297,2.9180571542300195,0.0,1.0,1.0,0.35000000000000003,0.34217591592790947,0.055806477864583336,0.9441935221354166,0.20388452030645596,0.055806477864583336,0.8333333333333334,True,False,emitter_or_generator,15.0,1.0,1.0,0.9375
20,True,True,True,2,True,False,False,0.25,0.5,0.0,True,True,0.16528526137929636,0.15970865885416666,0.46456680578053583,0.0,0.0,0.0,0.0,0.0,194.76041666666666,197.33333333333334,1.5,0.505768945040818,1.0,0.8822835286458334,0.7708333333333334,0.13041178385416666,-0.052469889322916664,0.0,1.0,0.16528526137929636,0.8347147386207037,220.4588286396976,0.0,0.0,0.3619791666666667,0.12669270833333332,0.46456680578053583,0.27215576171875,0.72784423828125,0.771144144480102,0.2436719789410515,1.0,True,True,transported_identity,16.0,0.9375,1.0,1.0
21,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,0.4893205496742259,0.20137532552083334,0.42962233872059286,0.2630208333333333,0.2630208333333333,0.078125,0.0,0.3411458333333333,201.1875,216.0,3.1666666666666665,1.7640688786904066,0.8255208333333334,0.8386637369791666,0.84375,0.1776123046875,-0.043721516927083336,0.6666666666666666,0.6588541666666666,0.4893205496742259,0.5106794503257741,2.740500314788516,0.0,0.3411458333333333,0.34375,0.12031249999999999,0.42962233872059286,0.037312825520833336,0.9626871744791666,0.29953873673394366,0.03723213675376002,0.7369791666666667,True,True,transported_identity,16.0,0.9375,1.0,1.0
22,True,True,True,2,True,False,False,0.0,0.25,0.0,True,False,0.21908506005036074,0.185882568359375,0.6319134359732949,0.2578125,0.2578125,0.0,0.2578125,0.171875,132.42708333333334,187.33333333333334,1.0,1.165055802995621,0.9921875,0.787445068359375,0.7317708333333334,0.23570760091145834,-0.0347900390625,0.16666666666666666,0.7421875,0.21908506005036074,0.7809149399496392,11.670168757329586,0.2578125,0.171875,0.2578125,0.2578125,0.6319134359732949,0.18790690104166666,0.8120930989583334,0.5981712867428958,0.16036946964892146,0.7421875,True,False,transported_identity,16.0,1.0,0.125,1.0
23,True,True,True,2,True,False,False,0.0,0.0,0.0,False,False,0.4989093231319918,0.209625244140625,0.36020498562536923,0.23958333333333334,0.23958333333333334,0.09635416666666667,0.0,1.0,193.16666666666666,194.66666666666666,2.3333333333333335,1.4846551319615424,0.8307291666666666,1.0,0.7604166666666666,0.0,-0.02099609375,2.0,0.6640625,0.4989093231319918,0.5010906768680082,4.526829453329737,0.0,1.0,1.0,0.35000000000000003,0.36020498562536923,0.046427408854166664,0.9535725911458334,0.26691376377940695,0.046427408854166664,0.7604166666666666,False,False,emitter_or_generator,15.0,0.875,1.0,0.9375
24,True,True,True,2,True,False,False,0.5,0.5,0.0,True,True,0.06149533441249189,0.060821533203125,0.2580180413462227,0.0,0.0,0.0,0.0,0.0,173.26041666666666,175.33333333333334,1.0,0.06555915816549947,1.0,0.9079996744791666,0.6848958333333334,0.10235595703125,-0.052998860677083336,0.0,1.0,0.06149533441249189,0.9385046655875082,500000064.75576067,0.0,0.0,0.5442708333333334,0.1904947916666667,0.2580180413462227,0.12164306640625,0.87835693359375,0.9956715865014193,0.07415154360792794,1.0,True,True,transported_identity,15.0,1.0,1.0,0.9375
25,True,True,True,2,True,False,False,0.5,0.25,0.0,True,True,0.4794355855068499,0.31884765625,0.45152669779610605,0.0,0.0,0.0,0.0,0.0,256.0,258.6666666666667,1.0,1.2475778760250493,1.0,0.8514811197916666,1.0104166666666667,0.19305419921875,-0.04119873046875,0.0,1.0,0.4794355855068499,0.5205644144931502,18.435772370661407,0.0,0.0,0.0,0.0,0.45152669779610605,0.154541015625,0.845458984375,0.4099560567826898,0.15346831908651778,1.0,True,True,transported_identity,16.0,1.0,0.625,1.0
26,True,True,True,2,True,False,False,0.25,0.25,0.0,True,True,0.16599389458444794,0.226287841796875,0.5215692563930843,0.3359375,0.3359375,0.0,0.16666666666666666,0.16666666666666666,142.66666666666666,172.0,1.0,0.4376435345890299,1.0,0.852264404296875,0.671875,0.16157023111979166,-0.050455729166666664,0.16666666666666666,0.6640625,0.16599389458444794,0.8340061054155522,13.878032750872253,0.16666666666666666,0.16666666666666666,0.3463541666666667,0.2295572916666667,0.5215692563930843,0.40411376953125,0.59588623046875,0.8070121296995977,0.27607772588707985,0.6640625,True,True,transported_identity,16.0,1.0,1.0,1.0
27,True,True,True,2,True,False,False,0.25,0.0,0.0,False,False,0.5073783270889064,0.3143717447916667,0.35951647327247666,0.0,0.0,0.0,0.0,0.0,256.1458333333333,258.6666666666667,1.5,1.2577820090767213,1.0,0.8503824869791666,1.0104166666666667,0.16550699869791666,-0.04150390625,0.0,1.0,0.5073783270889064,0.49262167291109354,5.085471075569644,0.0,0.0,0.5130208333333334,0.17955729166666665,0.35951647327247666,0.12322998046875,0.87677001953125,0.5612383415911731,0.12300332050759517,1.0,False,False,transported_identity,16.0,1.0,1.0,1.0
