rule,classification,DAR_complete,DAR_asymmetric,localized_component_lifetime_max,recurrence_up_to_shift,motif_material_turnover,frozen_order_index,chaos_index
122,transported_identity,True,False,217.33333333333334,0.7763468424479166,0.24989827473958334,0.24986979166666667,0.27428250731583
123,emitter_or_generator,True,False,217.33333333333334,1.0,0.0,0.35000000000000003,0.06798631568654022
124,emitter_or_generator,True,True,212.66666666666666,0.5941365559895834,0.4734293619791667,0.0859375,0.3661260292047493
125,transported_identity,True,True,175.33333333333334,0.8292134602864584,0.20360310872395834,0.021874999999999995,0.12885792858886685
126,transported_identity,True,False,139.33333333333334,0.7672526041666666,0.2598470052083333,0.3860677083333333,0.09440752668390202
127,emitter_or_generator,True,False,132.0,1.0,0.0,0.35000000000000003,0.02639225222937383
128,collapse,False,False,5.333333333333333,1.0,0.0,1.0,0.0
129,transported_identity,True,False,122.66666666666667,0.7718912760416666,0.2515665690104167,0.3946614583333334,0.08963711261204142
130,transported_identity,True,True,175.33333333333334,0.9134318033854166,0.09586588541666667,0.25091145833333334,0.06632291492827237
131,localized_persistence,True,True,260.0,0.8243204752604166,0.5714925130208334,0.08333333333333333,0.490451039391774
132,frozen_order,True,False,217.33333333333334,1.0,0.0,1.0,0.23298492911605698
133,emitter_or_generator,True,False,227.33333333333334,0.969512939453125,0.031728108723958336,0.5428385416666667,0.7273570051567706
134,transported_identity,True,True,196.0,0.8735148111979166,0.141357421875,0.12031249999999999,0.2584952594396059
135,emitter_or_generator,False,False,231.33333333333334,0.56268310546875,0.4836629231770833,0.0,0.5376652495772589
136,collapse,False,False,6.0,1.0,0.0,1.0,0.0
137,emitter_or_generator,True,True,258.6666666666667,0.596710205078125,0.4681905110677083,0.09635416666666667,0.36013178943327345
138,transported_identity,True,True,175.33333333333334,0.8664347330729166,0.14668782552083334,0.18046874999999998,0.09841270824107769
139,transported_identity,False,False,174.66666666666666,0.8473307291666666,0.16923014322916666,0.11848958333333333,0.10762423254784599
140,frozen_order,True,True,260.0,1.0,0.0,1.0,0.27650901602143213
141,emitter_or_generator,False,False,260.0,0.879119873046875,0.120880126953125,0.8249999999999998,0.952469069429954
142,transported_identity,False,False,196.0,0.86920166015625,0.15873209635416666,0.12395833333333334,0.3105342913206803
143,transported_identity,True,True,174.66666666666666,0.8675740559895834,0.15946451822916666,0.1265625,0.3105831876940091
144,transported_identity,True,True,176.0,0.9147745768229166,0.09401448567708333,0.25924479166666664,0.06529445364647417
145,localized_persistence,True,True,260.0,0.8140055338541666,0.57952880859375,0.0625,0.504433861805153
146,transported_identity,True,False,183.33333333333334,0.8460489908854166,0.16497802734375,0.3588541666666667,0.14518917661460815
147,transported_identity,False,False,258.6666666666667,0.7631937662760416,0.24616495768229166,0.191796875,0.42121298732006734
148,transported_identity,True,True,196.66666666666666,0.8738199869791666,0.14223225911458334,0.12213541666666666,0.2590156214675112
149,emitter_or_generator,False,False,231.33333333333334,0.5618387858072916,0.4856465657552083,0.0,0.536769857660128
150,emitter_or_generator,False,False,260.0,1.0,0.0,0.35000000000000003,0.31557468797507854
151,transported_identity,True,False,184.66666666666666,0.794830322265625,0.225677490234375,0.3040364583333333,0.1524717529490073
152,transported_identity,True,True,176.0,0.9082438151041666,0.10233561197916667,0.183203125,0.07356799636019558
153,collapse,False,False,192.0,0.8317464192708334,0.16825358072916666,0.4078125000000001,0.0
154,transported_identity,False,False,161.33333333333334,0.8487345377604166,0.16556803385416666,0.23020833333333335,0.22031531077441416
155,transported_identity,True,True,174.66666666666666,0.8668009440104166,0.14670817057291666,0.1786458333333333,0.09479152446731044
156,transported_identity,False,False,260.0,0.880096435546875,0.119903564453125,0.4102864583333334,0.9570898096368127
157,transported_identity,True,True,260.0,0.8782450358072916,0.12175496419270833,0.41367187499999997,0.9578118338568183
158,transported_identity,True,True,260.0,0.8641560872395834,0.15513102213541666,0.1376302083333333,0.5157244939436417
159,transported_identity,True,True,174.66666666666666,0.892578125,0.1181640625,0.2377604166666667,0.21820867934680468
160,collapse,False,False,27.333333333333332,1.0,0.0,1.0,0.0
161,transported_identity,True,False,160.0,0.7761433919270834,0.24949137369791666,0.2125,0.09558332665792595
162,transported_identity,True,True,196.0,0.8713175455729166,0.1458740234375,0.11940104166666665,0.3173770642822253
163,transported_identity,False,False,260.0,0.843597412109375,0.182403564453125,0.059244791666666664,0.9004358950904336
164,frozen_order,True,False,196.0,1.0,0.0,1.0,0.03068498753494042
165,collapse,False,False,96.0,1.0,0.0,1.0,0.0
166,transported_identity,False,False,196.0,0.8466593424479166,0.16756184895833334,0.11666666666666665,0.2160924812350701
167,transported_identity,True,True,238.66666666666666,0.7532755533854166,0.2655029296875,0.17109375000000002,0.3702689779742865
168,collapse,False,False,52.0,0.99755859375,0.00244140625,0.9375,0.023253370688217246
169,transported_identity,False,False,238.66666666666666,0.7366536458333334,0.2882486979166667,0.0,0.29676652804739684
170,transported_identity,False,False,196.0,0.846923828125,0.166015625,0.11848958333333333,0.3001085268322232
171,transported_identity,True,True,174.66666666666666,0.8419596354166666,0.17397054036458334,0.11848958333333333,0.30426467038410593
172,frozen_order,False,False,260.0,0.9581197102864584,0.041880289713541664,0.9174479166666667,0.050196227269199346
173,transported_identity,True,True,217.33333333333334,0.8587239583333334,0.15541585286458334,0.08111979166666666,0.10686947197307685
174,transported_identity,True,True,196.0,0.8369140625,0.17692057291666666,0.17591145833333333,0.10894211920410107
175,transported_identity,True,True,174.66666666666666,0.8863728841145834,0.12626139322916666,0.1768229166666667,0.08652487413791393
176,transported_identity,True,True,196.0,0.8725789388020834,0.14263916015625,0.11848958333333333,0.3177032218454976
177,transported_identity,False,False,260.0,0.8415018717447916,0.181610107421875,0.059244791666666664,0.9007136224441931
178,emitter_or_generator,False,False,260.0,1.0,0.0,0.35000000000000003,0.9482625325520834
179,emitter_or_generator,True,False,260.0,1.0,0.0,0.35000000000000003,0.9467366536458334
180,transported_identity,False,False,196.0,0.84716796875,0.16670735677083334,0.11940104166666665,0.21767964193099307
181,transported_identity,True,True,238.66666666666666,0.751068115234375,0.2666524251302083,0.17174479166666667,0.3645899811613991
182,transported_identity,True,False,238.66666666666666,0.8492838541666666,0.16239420572916666,0.376171875,0.14830213596900196
183,transported_identity,True,False,174.66666666666666,0.8712565104166666,0.13958740234375,0.4376302083333334,0.1379178529611574
184,transported_identity,False,False,195.33333333333334,0.8940836588541666,0.13155110677083334,0.12669270833333332,0.3921523277635779
185,transported_identity,True,True,260.0,0.85137939453125,0.17305501302083334,0.11757812499999999,0.3857696936106046
186,transported_identity,True,True,260.0,0.85150146484375,0.17417399088541666,0.12669270833333332,0.9024752037860301
187,transported_identity,True,True,174.66666666666666,0.8835245768229166,0.12813313802083334,0.12395833333333332,0.27651303625906526
188,transported_identity,True,True,260.0,0.72705078125,0.2853800455729167,0.05833333333333333,0.3166464007458163
189,transported_identity,True,True,174.66666666666666,0.90631103515625,0.10565185546875,0.18776041666666665,0.07577879877017914
190,transported_identity,True,True,260.0,0.9081013997395834,0.10272216796875,0.23984375,0.27827406575958624
191,mixed,True,True,174.66666666666666,0.9498494466145834,0.056193033854166664,0.39283854166666665,0.026640356362553626
192,collapse,False,False,7.333333333333333,1.0,0.0,1.0,0.0
193,emitter_or_generator,True,True,258.6666666666667,0.5989278157552084,0.4637552897135417,0.09635416666666667,0.35998598339425164
194,transported_identity,True,True,175.33333333333334,0.9073486328125,0.10428873697916667,0.18776041666666665,0.07559211913118091
195,collapse,False,False,191.33333333333334,0.8334757486979166,0.16652425130208334,0.3673177083333334,0.0
196,frozen_order,True,True,260.0,1.0,0.0,1.0,0.27835890858897355
197,emitter_or_generator,False,False,260.0,0.8789469401041666,0.12105305989583333,0.8249999999999998,0.9525145473266123
198,transported_identity,False,False,260.0,0.8805440266927084,0.11945597330729167,0.40351562500000004,0.9575878089460539
199,transported_identity,True,True,260.0,0.8779195149739584,0.12208048502604167,0.40520833333333334,0.957292306559776
200,frozen_order,True,False,217.33333333333334,1.0,0.0,1.0,0.04807380037871142
