variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,component_A_preservation,component_B_preservation,lower_rank_erasure_score,singleton_fraction
noise_009,noise,moderate,0.5,1500,center_of_mass,1.0,0.8205564285831903,0.08972178570840486,0.42512955646847866
noise_009,noise,moderate,0.5,2400,center_of_mass,1.0,0.78756060604288,0.10621969697855996,0.48552088773950713
noise_009,noise,moderate,0.525,900,center_of_mass,1.0,0.8375907182246161,0.08120464088769189,0.3741691242255226
noise_009,noise,moderate,0.525,1500,center_of_mass,1.0,0.8257481509397826,0.08712592453010863,0.42531466928039724
noise_009,noise,moderate,0.525,2400,center_of_mass,1.0,0.791994205036024,0.10400289748198796,0.48621309764588394
noise_010,noise,mild,0.45,900,center_of_mass,1.0,0.8109880833816316,0.09450595830918414,0.34974088504239825
noise_010,noise,mild,0.45,1500,center_of_mass,1.0,0.7940907682646546,0.1029546158676726,0.3932981908966905
noise_010,noise,mild,0.45,2400,center_of_mass,1.0,0.7527978946499654,0.12360105267501727,0.4487330397271556
noise_010,noise,mild,0.5,900,center_of_mass,1.0,0.828892331121391,0.08555383443930442,0.3538323364612261
noise_010,noise,mild,0.5,1500,center_of_mass,1.0,0.8144748974722982,0.09276255126385091,0.3928861952930129
noise_010,noise,mild,0.5,2400,center_of_mass,1.0,0.7699405684012686,0.11502971579936568,0.44833307851384774
noise_010,noise,mild,0.525,900,center_of_mass,1.0,0.8371582444032688,0.08142087779836554,0.34890197011608104
noise_010,noise,mild,0.525,1500,center_of_mass,1.0,0.8227926226280724,0.08860368868596372,0.3956614159455098
noise_010,noise,mild,0.525,2400,center_of_mass,1.0,0.7775927405161871,0.11120362974190638,0.44704022741693433
noise_011,noise,moderate,0.45,900,center_of_mass,1.0,0.8201508135049924,0.08992459324750382,0.3703368962684165
noise_011,noise,moderate,0.45,1500,center_of_mass,1.0,0.8082721859809766,0.09586390700951161,0.42581070693065015
noise_011,noise,moderate,0.45,2400,center_of_mass,1.0,0.7776828242858851,0.11115858785705743,0.4869938912114291
noise_011,noise,moderate,0.5,900,center_of_mass,1.0,0.8324995920279351,0.08375020398603245,0.37181260785664577
noise_011,noise,moderate,0.5,1500,center_of_mass,1.0,0.820108737047234,0.08994563147638293,0.4246286258081836
noise_011,noise,moderate,0.5,2400,center_of_mass,1.0,0.7871969119152975,0.1064015440423512,0.4854117415961269
noise_011,noise,moderate,0.525,900,center_of_mass,1.0,0.8375671379934856,0.0812164310032572,0.372337311845403
noise_011,noise,moderate,0.525,1500,center_of_mass,1.0,0.8256270309748063,0.08718648451259682,0.4253301617843384
noise_011,noise,moderate,0.525,2400,center_of_mass,1.0,0.791933824195182,0.10403308790240895,0.48519703529127567
noise_012,noise,mild,0.45,900,center_of_mass,1.0,0.8103929343513521,0.09480353282432388,0.3512481503383967
