syndrome_id,probe_key,flow_mode,group_id,seed,start_index,window,component_count,scored_component_count,component_pass_count,syndrome_component_pass_fraction,syndrome_joint_pass,syndrome_signed_score_mean,syndrome_signed_score_min,syndrome_window_coherence_score,syndrome_direction_stability,decision_hint
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,4->8,3,3,3,1.0,1,0.2071162961492906,-0.053662646506878374,1.0,mixed_direction,joint_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,4->8,3,3,0,0.0,0,0.11248093586003115,-0.0005903076302426432,0.0,mixed_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,4->8,3,2,0,0.0,0,0.13281721799729437,-0.053662646506878374,0.0,mixed_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,4->8,3,3,6,2.0,0,0.37664949464624115,-0.05523836381613033,2.0,mixed_direction,partial_component_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,4->8,3,3,0,0.0,0,-0.28056048562874075,-0.6082525585497602,0.0,mixed_direction,no_component_pass
SYN_C_low_growth_high_concentration_low_entropy,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,4->8,3,3,3,1.0,1,0.17647934658158068,-0.10223702505507745,1.0,mixed_direction,joint_pass
SYN_D_high_turnover_high_entropy_low_bottleneck_control,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,4->8,3,3,0,0.0,0,0.12510708281156754,0.04172920047587449,0.0,stable_direction,no_component_pass
SYN_E_transition_then_persistence_cascade,constraint_profile_hash,one_step_local_flow,anchor_006|baseline=baseline,4541459,0,4->8,3,2,0,0.0,0,0.1127294192593558,-0.10223702505507745,0.0,mixed_direction,no_component_pass
SYN_A_low_growth_high_bottleneck_low_offdiag,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,8->16,3,3,0,0.0,0,0.20610054559258148,-0.06292014574764436,0.0,mixed_direction,no_component_pass
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,constrained_window_flow,anchor_006|baseline=baseline,4541459,0,8->16,3,3,0,0.0,0,-0.3771872369293176,-0.4786565387021298,0.0,stable_direction,no_component_pass
