metric_family,metric_name,probe_key,flow_mode,observed_recurrence_rate,control_recurrence_mean,recurrence_excess,control_count,weak_control_flag,control_match_class
support_turnover,lost_signature_rate,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_entropy,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,row_entropy_mean,full_state_hash,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_sparsity,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,off_diagonal_transform_mass,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
bottleneck,frontier_bottleneck_index,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
bottleneck,top_k_flow_concentration,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
window_stability,window_metric_vector_l2_distance_to_next,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_next_window,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_next_window,full_state_hash,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
support_turnover,support_turnover_rate,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,new_signature_rate,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,lost_signature_rate,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_entropy,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,row_entropy_mean,full_state_hash,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_sparsity,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,off_diagonal_transform_mass,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
bottleneck,frontier_bottleneck_index,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
bottleneck,top_k_flow_concentration,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
window_stability,window_metric_vector_l2_distance_to_next,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_next_window,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_next_window,full_state_hash,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
window_stability,window_metric_vector_l2_distance_to_previous,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_previous_window,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_previous_window,full_state_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
window_stability,window_metric_vector_l2_distance_to_previous,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_previous_window,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_previous_window,full_state_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,support_turnover_rate,constraint_profile_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,new_signature_rate,constraint_profile_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,lost_signature_rate,constraint_profile_hash,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_entropy,constraint_profile_hash,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
transition_matrix,row_entropy_mean,constraint_profile_hash,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_sparsity,constraint_profile_hash,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
transition_matrix,off_diagonal_transform_mass,constraint_profile_hash,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
bottleneck,frontier_bottleneck_index,constraint_profile_hash,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
bottleneck,top_k_flow_concentration,constraint_profile_hash,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
window_stability,window_metric_vector_l2_distance_to_next,constraint_profile_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_next_window,constraint_profile_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_next_window,constraint_profile_hash,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
support_turnover,support_turnover_rate,constraint_profile_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,new_signature_rate,constraint_profile_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,lost_signature_rate,constraint_profile_hash,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_entropy,constraint_profile_hash,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
transition_matrix,row_entropy_mean,constraint_profile_hash,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_sparsity,constraint_profile_hash,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
transition_matrix,off_diagonal_transform_mass,constraint_profile_hash,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
bottleneck,frontier_bottleneck_index,constraint_profile_hash,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
bottleneck,top_k_flow_concentration,constraint_profile_hash,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
window_stability,window_metric_vector_l2_distance_to_next,constraint_profile_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_next_window,constraint_profile_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_next_window,constraint_profile_hash,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
window_stability,window_metric_vector_l2_distance_to_previous,constraint_profile_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_previous_window,constraint_profile_hash,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_previous_window,constraint_profile_hash,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
window_stability,window_metric_vector_l2_distance_to_previous,constraint_profile_hash,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_previous_window,constraint_profile_hash,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
support_turnover,signature_distribution_js_to_previous_window,constraint_profile_hash,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
support_turnover,support_turnover_rate,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
support_turnover,new_signature_rate,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
support_turnover,lost_signature_rate,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_entropy,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,row_entropy_mean,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_sparsity,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,off_diagonal_transform_mass,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.25,0.25,0.0,4,0,control_equivalent
bottleneck,frontier_bottleneck_index,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
bottleneck,top_k_flow_concentration,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
window_stability,window_metric_vector_l2_distance_to_next,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_next_window,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
support_turnover,signature_distribution_js_to_next_window,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.5,0.5,0.0,4,0,control_equivalent
support_turnover,support_turnover_rate,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
support_turnover,new_signature_rate,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
support_turnover,lost_signature_rate,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_entropy,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,row_entropy_mean,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
transition_matrix,transition_matrix_sparsity,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
transition_matrix,off_diagonal_transform_mass,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.25,0.25,0.0,4,0,control_equivalent
bottleneck,frontier_bottleneck_index,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
bottleneck,top_k_flow_concentration,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
window_stability,window_metric_vector_l2_distance_to_next,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_next_window,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
support_turnover,signature_distribution_js_to_next_window,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.5,0.5,0.0,4,0,control_equivalent
window_stability,window_metric_vector_l2_distance_to_previous,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_previous_window,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_previous_window,constraint_violation_count_plus_local_tuple,constrained_window_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
window_stability,window_metric_vector_l2_distance_to_previous,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
transition_matrix,transition_matrix_js_to_previous_window,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
support_turnover,signature_distribution_js_to_previous_window,constraint_violation_count_plus_local_tuple,one_step_local_flow,0.0,0.0,0.0,4,0,no_observed_recurrence
