syndrome_id,probe_key,flow_mode,replicate_id,component_id,component_marginal_rate,observed_joint_rate,control_joint_rate,control_joint_rate_mean,joint_rate_excess,joint_rate_percentile,replicate_count,complete_unit_count,control_family
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,112,offdiag_high,0.4583333333333333,0.03571428571428571,0.012648809523809524,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,112,turnover_high,0.2775297619047619,0.03571428571428571,0.012648809523809524,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,112,window_delta_high,0.09151785714285714,0.03571428571428571,0.012648809523809524,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,113,offdiag_high,0.4583333333333333,0.03571428571428571,0.013392857142857142,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,113,turnover_high,0.2775297619047619,0.03571428571428571,0.013392857142857142,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,113,window_delta_high,0.09151785714285714,0.03571428571428571,0.013392857142857142,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,114,offdiag_high,0.4583333333333333,0.03571428571428571,0.014136904761904762,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,114,turnover_high,0.2775297619047619,0.03571428571428571,0.014136904761904762,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,114,window_delta_high,0.09151785714285714,0.03571428571428571,0.014136904761904762,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,115,offdiag_high,0.4583333333333333,0.03571428571428571,0.012648809523809524,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,115,turnover_high,0.2775297619047619,0.03571428571428571,0.012648809523809524,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
SYN_B_high_turnover_high_offdiag_high_window_delta,constraint_profile_hash,one_step_local_flow,115,window_delta_high,0.09151785714285714,0.03571428571428571,0.012648809523809524,0.011767857142857142,0.02394642857142857,1.0,500,1344,component_marginal_preserving_syndrome_control
