H_cond_viable,H_recoverability_weighted,H_viability_weighted,N_eff_cond,N_eff_recoverability_weighted,Pi_mean,Pi_min,adaptive_idx,candidate_C,condition,estimator_mode,family,horizon_T,num_all_trajectories,num_viable_macro_classes,num_viable_trajectories,p_viable,pair_id,start_state,truncated,world_id,world_seed
4.667643462371037,4.653449170656638,0.04092589787806925,106.44660121556852,104.94633986855514,0.8175182481751825,0.27007299270072993,7,best_of_10_hashes_per_world,reversible,exact,A,6,15625,117,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,7,best_of_10_hashes_per_world,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,7,best_of_10_hashes_per_world,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
1.3321790402101223,1.3321790402101223,0.2664358080420245,3.7892914162759954,3.7892914162759954,1.0,1.0,,behavioral_quotient_k5,reversible,exact,A,2,25,4,5,0.2,0,start,0,A_0_reversible,0
1.7670091910745693,1.8060107295314336,0.21204110292894832,5.853320991802024,6.086119761831134,0.9166666666666666,0.6666666666666666,,behavioral_quotient_k5,reversible,exact,A,3,125,7,15,0.12,0,start,0,A_0_reversible,0
2.1654528458255,2.207857413672783,0.1281948084728696,8.718549181633916,9.09620609244922,0.8648648648648649,0.4594594594594595,,behavioral_quotient_k5,reversible,exact,A,4,625,11,37,0.0592,0,start,0,A_0_reversible,0
2.5272315231906664,2.560954832178639,0.06146227064399701,12.518800109635452,12.948174748871587,0.8355263157894737,0.34210526315789475,,behavioral_quotient_k5,reversible,exact,A,5,3125,16,76,0.02432,0,start,0,A_0_reversible,0
2.847078047911342,2.8708623328736342,0.024963180324086644,17.237341498329478,17.652233739911246,0.8175182481751825,0.27007299270072993,,behavioral_quotient_k5,reversible,exact,A,6,15625,22,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,behavioral_quotient_k5,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,behavioral_quotient_k5,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
1.3321790402101223,1.3321790402101223,0.2664358080420245,3.7892914162759954,3.7892914162759954,1.0,1.0,,behavioral_quotient_k8,reversible,exact,A,2,25,4,5,0.2,0,start,0,A_0_reversible,0
2.0262296229952916,2.0565147122006016,0.24314755475943498,7.5854324346540025,7.818671945554387,0.9166666666666666,0.6666666666666666,,behavioral_quotient_k8,reversible,exact,A,3,125,9,15,0.12,0,start,0,A_0_reversible,0
2.585155861454993,2.6192114192510503,0.1530412269981356,13.265356486613138,13.724896127609194,0.8648648648648649,0.4594594594594595,,behavioral_quotient_k8,reversible,exact,A,4,625,18,37,0.0592,0,start,0,A_0_reversible,0
3.0412599846080886,3.0672342339546916,0.07396344282566872,20.931600120945635,21.48240512810706,0.8355263157894737,0.34210526315789475,,behavioral_quotient_k8,reversible,exact,A,5,3125,32,76,0.02432,0,start,0,A_0_reversible,0
3.42281639314108,3.438275268195663,0.03001125413506099,30.655631865116636,31.133215388938854,0.8175182481751825,0.27007299270072993,,behavioral_quotient_k8,reversible,exact,A,6,15625,52,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,behavioral_quotient_k8,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,behavioral_quotient_k8,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
1.3321790402101223,1.3321790402101223,0.2664358080420245,3.7892914162759954,3.7892914162759954,1.0,1.0,,behavioral_quotient_k13,reversible,exact,A,2,25,4,5,0.2,0,start,0,A_0_reversible,0
2.2110688711446103,2.207746824322771,0.2653282645373532,9.125465128398089,9.095200204551153,0.9166666666666666,0.6666666666666666,,behavioral_quotient_k13,reversible,exact,A,3,125,10,15,0.12,0,start,0,A_0_reversible,0
2.8848951827782128,2.87914161196103,0.1707857948204702,17.901691091651312,17.79898818176008,0.8648648648648649,0.4594594594594595,,behavioral_quotient_k13,reversible,exact,A,4,625,21,37,0.0592,0,start,0,A_0_reversible,0
3.406074290165954,3.3947053428806506,0.08283572673683601,30.14666459933781,29.805869669199748,0.8355263157894737,0.34210526315789475,,behavioral_quotient_k13,reversible,exact,A,5,3125,38,76,0.02432,0,start,0,A_0_reversible,0
3.8275738708403186,3.809604114924205,0.03356016769952791,45.95092002188503,45.132568019040214,0.8175182481751825,0.27007299270072993,,behavioral_quotient_k13,reversible,exact,A,6,15625,62,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,behavioral_quotient_k13,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,behavioral_quotient_k13,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.5004024235381879,0.5004024235381879,0.10008048470763758,1.6493848884661177,1.6493848884661177,1.0,1.0,,predictive_quotient_k5,reversible,exact,A,2,25,2,5,0.2,0,start,0,A_0_reversible,0
1.4878167164014493,1.4282580763077695,0.1785380059681739,4.4274186486519,4.171426552828249,0.9166666666666666,0.6666666666666666,,predictive_quotient_k5,reversible,exact,A,3,125,6,15,0.12,0,start,0,A_0_reversible,0
2.176233020687265,2.096701471948542,0.1288329948246861,8.813045092444492,8.139277948369893,0.8648648648648649,0.4594594594594595,,predictive_quotient_k5,reversible,exact,A,4,625,12,37,0.0592,0,start,0,A_0_reversible,0
2.674586064999059,2.5853413587014913,0.06504593310077712,14.506343913163747,13.267817401954675,0.8355263157894737,0.34210526315789475,,predictive_quotient_k5,reversible,exact,A,5,3125,20,76,0.02432,0,start,0,A_0_reversible,0
3.062686391678866,2.9667483338969345,0.026853634282240295,21.38492836036987,19.428641317468934,0.8175182481751825,0.27007299270072993,,predictive_quotient_k5,reversible,exact,A,6,15625,30,137,0.008768,0,start,0,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,predictive_quotient_k5,reversible,truncated,A,8,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.0,0.0,0.0,1.0,1.0,0.0,0.0,,predictive_quotient_k5,reversible,truncated,A,10,50000,0,0,0.0,0,start,1,A_0_reversible,0
0.5004024235381879,0.5004024235381879,0.10008048470763758,1.6493848884661177,1.6493848884661177,1.0,1.0,,predictive_quotient_k8,reversible,exact,A,2,25,2,5,0.2,0,start,0,A_0_reversible,0
1.4878167164014493,1.4282580763077695,0.1785380059681739,4.4274186486519,4.171426552828249,0.9166666666666666,0.6666666666666666,,predictive_quotient_k8,reversible,exact,A,3,125,6,15,0.12,0,start,0,A_0_reversible,0
