point_id,T,seed,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate
phase_000,100,4,0.2492125629949604,1.9999441696911944,0.0,0.7507874370050396
phase_000,100,3,0.2446837026447462,1.9999465965405256,0.0,0.7553162973552537
phase_000,100,2,0.2496194484240687,1.9999201508305275,0.0,0.7503805515759312
phase_000,100,5,0.2506308579668349,1.999941938160887,0.0,0.7493691420331652
phase_000,100,6,0.2491232014388489,1.999928252460574,0.0,0.7508767985611511
phase_000,100,7,0.2504481893151667,1.999947428176704,0.0,0.7495518106848333
phase_000,100,12,0.2507630161579892,1.9999381072682656,0.0,0.7492369838420108
phase_000,100,9,0.2515232974910394,1.9999371092711384,0.0,0.7484767025089606
phase_000,100,10,0.2526811463590483,1.9999317322062924,0.0,0.7473188536409516
phase_000,100,11,0.2483783783783783,1.999937061824571,0.0,0.7516216216216216
phase_000,100,8,0.25200306085704,1.9999373693856952,0.0,0.74799693914296
phase_000,100,14,0.2508938148015731,1.999936537885872,0.0,0.7491061851984269
phase_000,100,13,0.2520132426628489,1.9999367405190236,0.0,0.747986757337151
phase_000,100,15,0.2477901785714285,1.9999327992089564,0.0,0.7522098214285714
phase_000,100,16,0.2496646995708154,1.9999489184222103,0.0,0.7503353004291846
phase_000,100,17,0.2476108907320591,1.9999464444019173,0.0,0.7523891092679409
phase_001,50,3,0.2499333925399644,1.999932427074964,0.0,0.7500666074600355
phase_001,50,2,0.2490877536489854,1.9999317141318431,0.0,0.7509122463510146
phase_000,100,18,0.2463618397412864,1.999943005150104,0.0,0.7536381602587137
phase_001,50,0,0.2514806173725771,1.999923311953571,0.0,0.7485193826274228
phase_001,50,1,0.252906976744186,1.9999177576476577,0.0,0.747093023255814
phase_001,50,4,0.2500223693629205,1.9999530058139967,0.0,0.7499776306370795
phase_000,100,20,0.2515769367448472,1.9999341197127416,0.0,0.7484230632551527
phase_000,100,19,0.2517690791830885,1.999945798176403,0.0,0.7482309208169116
phase_000,100,22,0.2504714439655172,1.9999387712660144,0.0,0.7495285560344828
phase_000,100,23,0.252746757925072,1.9999209753731049,0.0,0.7472532420749279
phase_000,100,21,0.2539664754392255,1.9999228516654468,0.0,0.7460335245607745
phase_001,50,5,0.2502905937052933,1.9999356424032224,0.0,0.7497094062947067
phase_000,100,24,0.2467960128159487,1.9999296142425167,0.0,0.7532039871840512
phase_000,100,25,0.2478965270318653,1.999928486131193,0.0,0.7521034729681346
phase_000,100,27,0.2503812343021169,1.9999143781444388,0.0,0.749618765697883
phase_000,100,26,0.2500895736295234,1.9999400282783768,0.0,0.7499104263704766
phase_000,100,28,0.2472386853448276,1.9999343456110077,0.0,0.7527613146551724
phase_001,50,7,0.2441461894586894,1.9999425618274096,0.0,0.7558538105413105
phase_001,50,6,0.2494615936826992,1.9999372425622344,0.0,0.7505384063173008
phase_001,50,8,0.2483517462580185,1.999915839306028,0.0,0.7516482537419815
phase_001,50,10,0.2491779239246356,1.9999477739674931,0.0,0.7508220760753643
phase_001,50,11,0.2516687433250267,1.9998949857946329,0.0,0.7483312566749734
