point_id,T,metric,mean,ci_low,ci_high,n_seeds
phase_011,100,recoverable_alternative_count,2289.3333333333335,2259.784166666667,2311.980833333333,30
phase_011,100,lock_in_index,3.7349894885732826e-07,3.4493493819597e-07,4.036015074756896e-07,30
phase_012,50,p_viable,0.7622666666666668,0.7533616666666667,0.7711572222222224,30
phase_012,50,relation_lineage_excess,0.0095498968274907,0.009308373039056454,0.009807864520412766,30
phase_012,50,closure_rate,0.24876323402471912,0.24797785326321112,0.24966497983599142,30
phase_012,50,recoverable_alternative_count,2286.766666666667,2264.204166666667,2310.195833333333,30
phase_012,50,lock_in_index,6.666119815050512e-07,6.090968923188926e-07,7.347520136484669e-07,30
phase_012,100,p_viable,0.5777222222222221,0.5673536111111112,0.5920458333333334,30
phase_012,100,relation_lineage_excess,0.00775523607914662,0.007615798867074682,0.007886135251788535,30
phase_012,100,closure_rate,0.24965626026024773,0.24850892889638046,0.2506518210087237,30
phase_012,100,recoverable_alternative_count,1733.1666666666667,1699.2991666666667,1768.6299999999999,30
phase_012,100,lock_in_index,6.116448836011244e-07,5.608988180364344e-07,6.631996247056398e-07,30
phase_013,50,p_viable,0.5387333333333333,0.5147102777777778,0.5579947222222221,30
phase_013,50,relation_lineage_excess,0.013606257568011362,0.013256191617184833,0.013954587358824672,30
phase_013,50,closure_rate,0.255351063990279,0.25447790523796326,0.2560681496948276,30
phase_013,50,recoverable_alternative_count,1616.1333333333334,1550.7075,1679.685,30
phase_013,50,lock_in_index,1.0964492548918452e-06,9.670800515248997e-07,1.2112591638089958e-06,30
phase_013,100,p_viable,0.25618888888888885,0.24102305555555553,0.2700755555555555,30
phase_013,100,relation_lineage_excess,0.015346184376987019,0.014840949000996442,0.015951903254648486,30
phase_013,100,closure_rate,0.25008457907179427,0.2490787916205986,0.25135080232807666,30
phase_013,100,recoverable_alternative_count,768.5666666666667,735.1841666666667,805.0583333333333,30
phase_013,100,lock_in_index,1.6675831047261493e-06,1.5101950351735518e-06,1.8370941016375876e-06,30
phase_014,50,p_viable,0.19545555555555552,0.1785472222222222,0.21457666666666658,30
phase_014,50,relation_lineage_excess,0.025588672136609085,0.024984523476574386,0.02638168419861275,30
phase_014,50,closure_rate,0.2705673479718392,0.2687396902611713,0.27271489405831095,30
phase_014,50,recoverable_alternative_count,586.3,536.1441666666666,637.6008333333333,30
phase_014,50,lock_in_index,4.249594584544787e-06,3.4453993236313253e-06,5.1896501992845894e-06,30
phase_014,100,p_viable,0.027677777777777756,0.02552944444444442,0.029633888888888866,30
phase_014,100,relation_lineage_excess,0.031219017621006595,0.03068779270603747,0.03171905800804897,30
phase_014,100,closure_rate,0.25860039869349827,0.2539139070707868,0.2629874667900085,30
phase_014,100,recoverable_alternative_count,83.03333333333333,77.32833333333333,90.86916666666666,30
phase_014,100,lock_in_index,4.112218601384075e-05,3.0471580248755745e-05,5.22672360531368e-05,30
phase_015,50,p_viable,0.8010555555555554,0.790573611111111,0.8102183333333333,30
phase_015,50,relation_lineage_excess,0.008848002317991864,0.008628449962007529,0.00903130563471195,30
phase_015,50,closure_rate,0.24719791379187792,0.24651526892582734,0.2478846731175205,30
phase_015,50,recoverable_alternative_count,2403.1666666666665,2367.8125,2436.1825,30
phase_015,50,lock_in_index,5.797847157574476e-07,5.224792624587651e-07,6.374513488706122e-07,30
phase_015,100,p_viable,0.612811111111111,0.6020336111111111,0.6227777777777778,30
phase_015,100,relation_lineage_excess,0.007108685583896722,0.0069595312106368375,0.007341896059605118,30
phase_015,100,closure_rate,0.2503276634026461,0.2495844327691606,0.25107454488789854,30
phase_015,100,recoverable_alternative_count,1838.4333333333334,1806.4875,1874.9708333333333,30
phase_015,100,lock_in_index,5.247088778580774e-07,4.846685833440333e-07,5.68466236689516e-07,30
phase_016,50,p_viable,0.8188999999999999,0.8105502777777778,0.8290325,30
phase_016,50,relation_lineage_excess,0.008569128836933927,0.008257365844898865,0.008877487302515653,30
phase_016,50,closure_rate,0.24817794829374507,0.2475421321045015,0.2488185444426935,30
phase_016,50,recoverable_alternative_count,2456.7,2432.0316666666668,2480.0616666666665,30
phase_016,50,lock_in_index,4.912824237349958e-07,4.453036954271983e-07,5.368748867020833e-07,30
phase_016,100,p_viable,0.6672444444444442,0.6542913888888889,0.6768422222222221,30
phase_016,100,relation_lineage_excess,0.006899323928489239,0.006748656806205356,0.007076391034576809,30
phase_016,100,closure_rate,0.24890945070142273,0.2480246183478469,0.249840667293006,30
phase_016,100,recoverable_alternative_count,2001.7333333333333,1966.5491666666667,2032.3041666666666,30
phase_016,100,lock_in_index,4.3004684428922835e-07,3.901812887375385e-07,4.7107078425517067e-07,30
phase_017,50,p_viable,0.9937,0.9932444444444446,0.9941725000000002,30
