point_id,rho_relation_persistence,alpha_asymmetry_strength,lambda_constraint_pressure,T,is_control,control,seed,p_viable,survival_depth,collapse_rate,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate,relation_lineage,self_only_lineage,independent_lineage_baseline,relation_lineage_excess,closure_rate,lineage_recurrence_rate,cycle_or_return_rate,recoverable_alternative_count,branching_after_closure,post_perturbation_continuation_rate,transition_determinism,state_concentration,relation_rigidity,branching_collapse,lock_in_index,classification
phase_002,0.25,0.5,0.5,50,False,,14.5,0.8780444444444445,0.8780444444444445,1.1111111111106668e-05,0.2495294701257596,1.9999111310218551,0.0,0.7504705298742403,0.6130320335131327,0.6130002538932293,0.6130040659073164,2.7967605816507184e-05,0.24849301216813732,0.2496476325625688,0.2496476325625688,2634.133333333333,0.9999545084286655,0.0,0.3630320335131328,0.00037966370385360336,0.08312499999999999,4.549157133446829e-05,5.789676729293771e-07,viable_slack_candidate
phase_002,0.25,0.5,0.5,100,False,,14.5,0.7618222222222222,0.7618222222222222,4.4444444444436674e-05,0.2501914589514069,1.9999012236972986,0.0,0.7498085410485931,0.6134642753538575,0.6134429762179686,0.6134455770074664,1.8698346391055053e-05,0.24965792645754775,0.25027569414898193,0.25027569414898193,2285.4666666666667,0.9999535841163154,0.0,0.36346427535385745,0.0004375771836619433,0.07241666666666666,4.641588368456996e-05,5.833113347849405e-07,viable_slack_candidate
phase_003,0.5,0.0,0.5,50,False,,14.5,0.7091111111111111,0.7091111111111111,0.00043333333333327336,0.2502368255193661,1.9998607650754117,0.0,0.7497631744806339,0.5583402042550296,0.5559682284801166,0.5562344938775485,0.00210571037748105,0.25625509143520403,0.2509429183511419,0.2509429183511419,2127.3,0.9999182779104425,0.0,0.30834020425502956,0.00048624684096371996,0.089875,8.172208955741803e-05,6.891150611405495e-07,viable_slack_candidate
phase_003,0.5,0.0,0.5,100,False,,14.5,0.4807777777777778,0.4807777777777778,0.0009111111111110733,0.2489040044007161,1.9998122894559758,0.0,0.7510959955992839,0.5588637848900234,0.5567371207865116,0.5569903168480919,0.0018734680419314933,0.2502470354116808,0.2500986154841543,0.2500986154841543,1442.3333333333333,0.9999038831209238,0.0,0.3088637848900234,0.0006946990208219,0.07604166666666666,9.611687907619527e-05,8.376600055918002e-07,viable_slack_candidate
phase_004,0.5,0.5,0.0,50,False,,14.5,0.9521111111111111,0.9521111111111111,0.0,0.25017996049495195,1.9999347238723966,0.0,0.749820039505048,0.46636538375792486,0.46458261187630584,0.46479028980592846,0.0015750939519963867,0.24962609194446764,0.25004327439773977,0.25004327439773977,2856.3333333333335,0.9999710906362727,0.0,0.21636538375792483,0.00035010608779988334,0.093,2.890936372732522e-05,3.544748739298444e-07,viable_slack_candidate
phase_004,0.5,0.5,0.0,100,False,,14.5,0.9050999999999999,0.9050999999999999,0.0,0.24973160448059062,1.9999328743830167,0.0,0.7502683955194094,0.466470530351863,0.4653877851695397,0.46550079030619607,0.0009697400456668367,0.24983058579811293,0.249985115685371,0.249985115685371,2715.3,0.9999734791755311,0.0,0.21647053035186295,0.00036830184236368664,0.07477083333333333,2.6520824468948916e-05,3.003163988863775e-07,viable_slack_candidate
phase_005,0.5,0.5,0.5,50,False,,14.5,0.8220666666666666,0.8220666666666666,4.444444444442667e-05,0.24966451129220946,1.99989675721255,0.0,0.7503354887077905,0.5309648490103953,0.5289226882668356,0.5292019587215544,0.0017628902888409,0.24990070473105577,0.2497022782229271,0.2497022782229271,2466.2,0.9999428834511729,0.0,0.2809648490103953,0.00040560668221608666,0.091875,5.711654882706342e-05,5.29991503431915e-07,viable_slack_candidate
phase_005,0.5,0.5,0.5,100,False,,14.5,0.6706666666666667,0.6706666666666667,0.00012222222222217334,0.24982642358584234,1.999888993702861,0.0,0.7501735764141576,0.5307642847628514,0.5293755260598201,0.5295447694569028,0.0012195153059485699,0.2506112945173849,0.2500327464529274,0.2500327464529274,2012.0,0.9999530225324064,0.0,0.2807642847628513,0.0004973253942582234,0.07816666666666668,4.697746759363395e-05,5.529576980886297e-07,viable_slack_candidate
phase_006,0.5,0.5,1.0,50,False,,14.5,0.2515111111111111,0.2515111111111111,0.017699999999999997,0.25028183508390356,1.9995839492402232,0.0,0.7497181649160964,0.6147546505395981,0.6069719128192627,0.6080366083228947,0.006718042216703324,0.27190558656561215,0.25374308203688645,0.25374308203688645,754.5333333333333,0.9997522865769836,0.0,0.36475465053959805,0.0013356356516146801,0.08845833333333333,0.0002477134230163824,2.2830022476332344e-06,viable_slack_candidate
phase_006,0.5,0.5,1.0,100,False,,14.5,0.0549444444444444,0.0549444444444444,0.04194444444444441,0.24883844144754697,1.9978756255688281,0.0,0.751161558552453,0.6424334074735957,0.6084948132900454,0.6204083296398345,0.022025077833761248,0.25374184948062056,0.24982689863405977,0.24982689863405977,164.83333333333334,0.9987934003705826,0.0,0.39243340747359573,0.006207456563712566,0.08002083333333333,0.0012065996294172725,1.2757550373332639e-05,viable_slack_candidate
phase_007,0.5,1.0,0.5,50,False,,14.5,0.8749888888888889,0.8749888888888889,1.1111111111106668e-05,0.25020773088698545,1.9999167297373057,0.0,0.7497922691130144,0.507337492612684,0.505231389209942,0.5054654460557423,0.0018720465569416966,0.24861043549053857,0.24997997346529166,0.24997997346529166,2624.9666666666667,0.999958539684446,0.0,0.257337492612684,0.00038101081449889665,0.08758333333333333,4.1460315553891156e-05,4.335200930647339e-07,viable_slack_candidate
phase_007,0.5,1.0,0.5,100,False,,14.5,0.7596777777777778,0.7596777777777778,0.0,0.2496139127337295,1.9999021720372108,0.0,0.7503860872662705,0.5076820539512904,0.5062447014897973,0.506404297738811,0.0012777562124793934,0.24949784543054643,0.25010672469432493,0.25010672469432493,2279.0333333333333,0.9999561669357974,0.0,0.2576820539512904,0.00043888425103209334,0.078375,4.383306420259245e-05,4.479130814417148e-07,viable_slack_candidate
phase_008,0.75,0.0,0.5,50,False,,14.5,0.617211111111111,0.617211111111111,0.0008888888888888666,0.2508501782544593,1.99983402644227,0.0,0.7491498217455407,0.49386365476778976,0.4801779855926983,0.4819488910563041,0.01191476371148565,0.2574054158733597,0.2514076944502881,0.2514076944502881,1851.6,0.9999158634272955,0.0,0.2438636547677898,0.0005625421518787934,0.11570833333333333,8.413657270441186e-05,8.127947338811264e-07,viable_slack_candidate
phase_008,0.75,0.0,0.5,100,False,,14.5,0.3629222222222222,0.3629222222222222,0.0019888888888888435,0.25085254259107304,1.9997463538345501,0.0,0.749147457408927,0.49563934690334305,0.48133739567441847,0.4836613334296807,0.01197801347366231,0.25126342334528656,0.25023859080524063,0.25023859080524063,1088.7666666666667,0.9998398113119418,0.0,0.24563934690334308,0.00093141897721926,0.09658333333333333,0.0001601886880582497,1.1510170213107144e-06,viable_slack_candidate
phase_009,0.75,0.25,0.5,50,False,,14.5,0.7101000000000001,0.7101000000000001,0.00026666666666663665,0.2505124685498715,1.999889658255322,0.0,0.7494875314501285,0.47986543016048877,0.4679171221153704,0.46944282707780666,0.010422603082682056,0.25329708774277293,0.2504040639177518,0.2504040639177518,2130.266666666667,0.9999392327579222,0.0,0.22986543016048874,0.0004867284719555333,0.12904166666666667,6.076724207781101e-05,7.243881364253763e-07,viable_slack_candidate
phase_009,0.75,0.25,0.5,100,False,,14.5,0.48956666666666665,0.48956666666666665,0.0006111111111110833,0.24956111752944998,1.9998252034286883,0.0,0.75043888247055,0.47864508255772437,0.46786636735658,0.4694320041151976,0.009213078442526735,0.2505679719219325,0.24999132955716122,0.24999132955716122,1468.7,0.9998951868988563,0.0,0.22864508255772437,0.0006832801426542533,0.09172916666666667,0.00010481310114376781,7.382536234330703e-07,viable_slack_candidate
phase_010,0.75,0.5,0.0,50,False,,14.5,0.9322111111111112,0.9322111111111112,0.0,0.25021819148774893,1.9999312566176835,0.0,0.7497818085122511,0.4075346219938705,0.4001639670222764,0.4011540042844083,0.00638061770946216,0.24983127597593643,0.2499941658216376,0.2499941658216376,2796.633333333333,0.9999620160115039,0.0,0.1575346219938705,0.0003575984342037667,0.12379166666666667,3.798398849605838e-05,3.5135761142077e-07,viable_slack_candidate
phase_010,0.75,0.5,0.0,100,False,,14.5,0.865111111111111,0.865111111111111,2.2222222222213336e-05,0.25066120115827734,1.9999280695024586,0.0,0.7493387988417227,0.4069104281600792,0.4014220100524594,0.4023351237603416,0.004575304399737637,0.2501062689715061,0.24996554755128525,0.24996554755128525,2595.3333333333335,0.9999617437582992,0.0,0.15691042816007925,0.0003853885444682067,0.0939375,3.82562417007715e-05,2.871560869863727e-07,viable_slack_candidate
