world,T,n_sites,seed,lineage_survival_depth,lineage_branching_entropy,lineage_merge_rate,lineage_extinction_rate
W2_asymmetry_only,100,16,17,0.508609335839599,1.672999869810332,0.0,0.491390664160401
W2_asymmetry_only,100,16,16,0.5104995609633718,1.6715057867608794,0.0,0.4895004390366282
W3_relation_only,50,16,5,0.5536356745831228,1.3807539232345665,0.0,0.4463643254168772
W3_relation_only,50,16,4,0.5558101617795753,1.3801424760452596,0.0,0.4441898382204247
W2_asymmetry_only,100,16,19,0.5098499373433584,1.6717963842798076,0.0,0.4901500626566416
W3_relation_only,50,16,7,0.552959466263847,1.379517118658168,0.0,0.447040533736153
W3_relation_only,50,16,6,0.5536831145885917,1.379285872669592,0.0,0.4463168854114083
W3_relation_only,50,16,8,0.5531395643363729,1.380142063837568,0.0,0.4468604356636271
W3_relation_only,50,16,9,0.5540661282180718,1.3787940400153058,0.0,0.4459338717819282
W3_relation_only,50,16,10,0.5556465517241379,1.378967297616887,0.0,0.4443534482758621
W3_relation_only,50,16,11,0.5526711460446248,1.3793130202232584,0.0,0.4473288539553752
W3_relation_only,50,16,13,0.5530067054655871,1.379232897804747,0.0,0.4469932945344129
W3_relation_only,50,16,12,0.5542235710672736,1.3808764939620073,0.0,0.4457764289327264
W3_relation_only,50,16,14,0.5523608299595142,1.380189921764289,0.0,0.4476391700404858
W3_relation_only,50,16,15,0.5522108585858585,1.380193243047216,0.0,0.4477891414141415
W3_relation_only,50,16,16,0.553582995951417,1.379574446049975,0.0,0.446417004048583
W3_relation_only,50,16,17,0.5541017811704835,1.3803665042736384,0.0,0.4458982188295165
W3_relation_only,50,16,18,0.5523580978809284,1.381842149373946,0.0,0.4476419021190716
W3_relation_only,50,16,19,0.5513327856420627,1.3807852305274224,0.0,0.4486672143579373
W3_relation_only,100,16,1,0.5261943734015345,1.3792712209704816,0.0,0.4738056265984655
W3_relation_only,100,16,0,0.5269819415983606,1.38026383990594,0.0,0.4730180584016393
W3_relation_only,100,16,2,0.5275646661569826,1.378965061857754,0.0,0.4724353338430174
W3_relation_only,100,16,3,0.527511485451761,1.3799327710855087,0.0,0.472488514548239
W3_relation_only,100,16,4,0.5263798494129658,1.3781337940658205,0.0,0.4736201505870342
W3_relation_only,100,16,5,0.5262432830092117,1.3792192406677244,0.0,0.4737567169907882
W3_relation_only,100,16,6,0.5253321410321922,1.3786534616795096,0.0,0.4746678589678078
W3_relation_only,100,16,7,0.5255229722792609,1.3791580217002624,0.0,0.4744770277207391
W3_relation_only,100,16,8,0.5267743267276422,1.3802068064667552,0.0,0.4732256732723577
W3_relation_only,100,16,9,0.5254599056603775,1.3790026239748885,0.0,0.4745400943396225
W3_relation_only,100,16,10,0.5263609543355567,1.3798298501831232,0.0,0.4736390456644432
W3_relation_only,100,16,11,0.5267615669734151,1.3779281567794406,0.0,0.4732384330265848
W3_relation_only,100,16,12,0.5257937979539642,1.3796048806039538,0.0,0.4742062020460358
W3_relation_only,100,16,13,0.5266596262160779,1.379942743461683,0.0,0.4733403737839221
W3_relation_only,100,16,15,0.5254961176171079,1.3799880841024017,0.0,0.4745038823828921
W3_relation_only,100,16,14,0.5259274604793474,1.3800343810003972,0.0,0.4740725395206526
W4_distinction_asymmetry,50,16,0,0.5176628256513026,1.6720103064005016,0.0,0.4823371743486974
W4_distinction_asymmetry,50,16,1,0.5194151203610833,1.6721605560151698,0.0,0.4805848796389167
W4_distinction_asymmetry,50,16,3,0.5170215430861723,1.6721406874126206,0.0,0.4829784569138277
W4_distinction_asymmetry,50,16,2,0.5183239348370927,1.670912692639147,0.0,0.4816760651629073
W3_relation_only,100,16,16,0.527202868852459,1.380156892003308,0.0,0.4727971311475409
W3_relation_only,100,16,17,0.5278168158567775,1.377939152300793,0.0,0.4721831841432224
W3_relation_only,100,16,18,0.5249561068702291,1.3798274990981454,0.0,0.4750438931297709
W3_relation_only,100,16,19,0.5249840316811446,1.3795693157655888,0.0,0.4750159683188554
W4_distinction_asymmetry,50,16,4,0.5186516783567134,1.6724735242707782,0.0,0.4813483216432865
W4_distinction_asymmetry,50,16,5,0.5191353853853854,1.6715060263928925,0.0,0.4808646146146146
W4_distinction_asymmetry,50,16,6,0.518661875,1.6721059488483003,0.0,0.4813381249999999
W4_distinction_asymmetry,50,16,7,0.5181046773386694,1.6714294720254417,0.0,0.4818953226613306
W4_distinction_asymmetry,50,16,9,0.5175857107107107,1.6718452785701725,0.0,0.4824142892892893
