world,T,n_sites,seed,time_reversal_asymmetry,transition_irreversibility,future_option_gradient,asymmetric_filter_selectivity
W3_relation_only,100,16,15,0.0,0.0,0.0,0.0738359225885947
W3_relation_only,100,16,14,0.0,0.0,0.0,0.0738440219077001
W4_distinction_asymmetry,50,16,0,0.0,0.0,0.0,0.1763677364709419
W4_distinction_asymmetry,50,16,1,0.0,0.0,0.0,0.1764349307893681
W4_distinction_asymmetry,50,16,3,0.0,0.0,0.0,0.176437250498998
W4_distinction_asymmetry,50,16,2,0.0,0.0,0.0,0.1758903518771929
W3_relation_only,100,16,16,0.0,0.0,0.0,0.0738735921885245
W3_relation_only,100,16,17,0.0,0.0,0.0,0.0732742976751918
W3_relation_only,100,16,18,0.0,0.0,0.0,0.0737849882773536
W3_relation_only,100,16,19,0.0,0.0,0.0,0.0737215773924374
W4_distinction_asymmetry,50,16,4,0.0,0.0,0.0,0.1765794098176352
W4_distinction_asymmetry,50,16,5,0.0,0.0,0.0,0.1761536546536536
W4_distinction_asymmetry,50,16,6,0.0,0.0,0.0,0.176414376
W4_distinction_asymmetry,50,16,7,0.0,0.0,0.0,0.1761124322156078
W4_distinction_asymmetry,50,16,9,0.0,0.0,0.0,0.1763044304294294
W4_distinction_asymmetry,50,16,8,0.0,0.0,0.0,0.1762819398777555
W4_distinction_asymmetry,50,16,10,0.0,0.0,0.0,0.1764209679338677
W4_distinction_asymmetry,50,16,11,0.0,0.0,0.0,0.1762875949849624
W4_distinction_asymmetry,50,16,12,0.0,0.0,0.0,0.1765336933847695
W4_distinction_asymmetry,50,16,13,0.0,0.0,0.0,0.1762312322312312
W4_distinction_asymmetry,50,16,14,0.0,0.0,0.0,0.1762124446654982
W4_distinction_asymmetry,50,16,17,0.0,0.0,0.0,0.1763458656616541
W4_distinction_asymmetry,50,16,16,0.0,0.0,0.0,0.1765060100135203
W4_distinction_asymmetry,50,16,15,0.0,0.0,0.0,0.1760139038056112
W4_distinction_asymmetry,50,16,19,0.0,0.0,0.0,0.1761498005991984
W4_distinction_asymmetry,50,16,18,0.0,0.0,0.0,0.1769663423413413
W4_distinction_asymmetry,100,16,0,0.0,0.0,0.0,0.1761180426248746
W4_distinction_asymmetry,100,16,1,0.0,0.0,0.0,0.1762465548847117
W4_distinction_asymmetry,100,16,3,0.0,0.0,0.0,0.1763866609799398
W4_distinction_asymmetry,100,16,4,0.0,0.0,0.0,0.1762575197969924
W4_distinction_asymmetry,100,16,2,0.0,0.0,0.0,0.1763857206589769
W4_distinction_asymmetry,100,16,6,0.0,0.0,0.0,0.1764109478937875
W4_distinction_asymmetry,100,16,5,0.0,0.0,0.0,0.1764480952828485
W4_distinction_asymmetry,100,16,7,0.0,0.0,0.0,0.1760863851524573
W4_distinction_asymmetry,100,16,8,0.0,0.0,0.0,0.176329106976896
W4_distinction_asymmetry,100,16,9,0.0,0.0,0.0,0.1762776391909547
W4_distinction_asymmetry,100,16,10,0.0,0.0,0.0,0.1764431771164074
W4_distinction_asymmetry,100,16,12,0.0,0.0,0.0,0.1762848103326643
W4_distinction_asymmetry,100,16,11,0.0,0.0,0.0,0.1766012303025589
W4_distinction_asymmetry,100,16,14,0.0,0.0,0.0,0.176344252002004
W4_distinction_asymmetry,100,16,15,0.0,0.0,0.0,0.1765491731023582
W4_distinction_asymmetry,100,16,13,0.0,0.0,0.0,0.1767069969879638
W5_distinction_relation,50,16,0,0.0,0.0,0.0,0.0737860404537177
W5_distinction_relation,50,16,2,0.0,0.0,0.0,0.0737310424560161
W5_distinction_relation,50,16,1,0.0,0.0,0.0,0.0737708553983822
W5_distinction_relation,50,16,3,0.0,0.0,0.0,0.074046686222672
W4_distinction_asymmetry,100,16,16,0.0,0.0,0.0,0.1768571438571428
W4_distinction_asymmetry,100,16,18,0.0,0.0,0.0,0.1763813823813813
W4_distinction_asymmetry,100,16,17,0.0,0.0,0.0,0.1762405836217981
W4_distinction_asymmetry,100,16,19,0.0,0.0,0.0,0.1764982457342026
W5_distinction_relation,50,16,5,0.0,0.0,0.0,0.0740286915965621
W5_distinction_relation,50,16,6,0.0,0.0,0.0,0.0736396509238965
W5_distinction_relation,50,16,4,0.0,0.0,0.0,0.0738610560227158
W5_distinction_relation,50,16,7,0.0,0.0,0.0,0.0742900618519269
W5_distinction_relation,50,16,8,0.0,0.0,0.0,0.0737923846032388
W5_distinction_relation,50,16,9,0.0,0.0,0.0,0.0739149403326592
W5_distinction_relation,50,16,10,0.0,0.0,0.0,0.0738579010504795
W5_distinction_relation,50,16,11,0.0,0.0,0.0,0.0742734031137393
W5_distinction_relation,50,16,12,0.0,0.0,0.0,0.0739079090343607
W5_distinction_relation,50,16,14,0.0,0.0,0.0,0.0736576894167931
W5_distinction_relation,50,16,13,0.0,0.0,0.0,0.0743227603152064
W5_distinction_relation,50,16,15,0.0,0.0,0.0,0.0738277310303336
W5_distinction_relation,50,16,16,0.0,0.0,0.0,0.0738466895743174
W5_distinction_relation,50,16,17,0.0,0.0,0.0,0.0736684380257966
W5_distinction_relation,50,16,19,0.0,0.0,0.0,0.0740046774408493
W5_distinction_relation,50,16,18,0.0,0.0,0.0,0.0738145252914979
W5_distinction_relation,100,16,0,0.0,0.0,0.0,0.0736699958796723
W5_distinction_relation,100,16,1,0.0,0.0,0.0,0.0735434682089476
W5_distinction_relation,100,16,2,0.0,0.0,0.0,0.0733785086530612
W5_distinction_relation,100,16,3,0.0,0.0,0.0,0.0736346849959225
W5_distinction_relation,100,16,4,0.0,0.0,0.0,0.0735990178539325
W5_distinction_relation,100,16,5,0.0,0.0,0.0,0.0731528570450819
W5_distinction_relation,100,16,6,0.0,0.0,0.0,0.0738670685537359
W5_distinction_relation,100,16,7,0.0,0.0,0.0,0.0735132295276073
W5_distinction_relation,100,16,9,0.0,0.0,0.0,0.0736379938315412
W5_distinction_relation,100,16,8,0.0,0.0,0.0,0.0736160269674134
W5_distinction_relation,100,16,10,0.0,0.0,0.0,0.0737761356251912
W5_distinction_relation,100,16,11,0.0,0.0,0.0,0.0736367416840224
W5_distinction_relation,100,16,12,0.0,0.0,0.0,0.0736319984554707
W5_distinction_relation,100,16,13,0.0,0.0,0.0,0.073792395655704
W5_distinction_relation,100,16,14,0.0,0.0,0.0,0.0735498355213849
W5_distinction_relation,100,16,15,0.0,0.0,0.0,0.0738500137811861
W6_asymmetry_relation,50,16,0,0.0,0.0,0.0,0.1996322065137844
W6_asymmetry_relation,50,16,1,0.0,0.0,0.0,0.1996693032088353
W6_asymmetry_relation,50,16,2,0.0,0.0,0.0,0.199230432510286
W5_distinction_relation,100,16,17,0.0,0.0,0.0,0.0738083044341363
W5_distinction_relation,100,16,16,0.0,0.0,0.0,0.0736092323585291
W5_distinction_relation,100,16,18,0.0,0.0,0.0,0.0738819489857215
W6_asymmetry_relation,50,16,3,0.0,0.0,0.0,0.1995789549539539
W5_distinction_relation,100,16,19,0.0,0.0,0.0,0.0736338930163766
W6_asymmetry_relation,50,16,4,0.0,0.0,0.0,0.1997437353358396
W6_asymmetry_relation,50,16,5,0.0,0.0,0.0,0.1998994479582705
W6_asymmetry_relation,50,16,6,0.0,0.0,0.0,0.1995042573845768
W6_asymmetry_relation,50,16,7,0.0,0.0,0.0,0.1996903276331658
W6_asymmetry_relation,50,16,8,0.0,0.0,0.0,0.1995795635942684
W6_asymmetry_relation,50,16,10,0.0,0.0,0.0,0.2003107744806629
W6_asymmetry_relation,50,16,9,0.0,0.0,0.0,0.1997977214408817
W6_asymmetry_relation,50,16,11,0.0,0.0,0.0,0.1992580290983442
W6_asymmetry_relation,50,16,12,0.0,0.0,0.0,0.1996552166469408
W6_asymmetry_relation,50,16,13,0.0,0.0,0.0,0.1995308590030105
W6_asymmetry_relation,50,16,15,0.0,0.0,0.0,0.1990664249075841
W6_asymmetry_relation,50,16,14,0.0,0.0,0.0,0.2002006028054162
W6_asymmetry_relation,50,16,16,0.0,0.0,0.0,0.1992591442865731
W6_asymmetry_relation,50,16,18,0.0,0.0,0.0,0.2001814324314314
W6_asymmetry_relation,50,16,17,0.0,0.0,0.0,0.1994810501967871
W6_asymmetry_relation,50,16,19,0.0,0.0,0.0,0.1990515305887663
W6_asymmetry_relation,100,16,0,0.0,0.0,0.0,0.1992798376834171
W6_asymmetry_relation,100,16,1,0.0,0.0,0.0,0.1994421002943548
W6_asymmetry_relation,100,16,2,0.0,0.0,0.0,0.199394473361809
W6_asymmetry_relation,100,16,4,0.0,0.0,0.0,0.1995725349708102
W6_asymmetry_relation,100,16,3,0.0,0.0,0.0,0.1993122184786539
W6_asymmetry_relation,100,16,5,0.0,0.0,0.0,0.1998527941555108
W6_asymmetry_relation,100,16,6,0.0,0.0,0.0,0.1994818841494483
W6_asymmetry_relation,100,16,7,0.0,0.0,0.0,0.1996802773819095
W6_asymmetry_relation,100,16,8,0.0,0.0,0.0,0.1996546641473102
W6_asymmetry_relation,100,16,9,0.0,0.0,0.0,0.1993278667616893
W6_asymmetry_relation,100,16,10,0.0,0.0,0.0,0.1994989964796584
W6_asymmetry_relation,100,16,13,0.0,0.0,0.0,0.1992208741756416
W6_asymmetry_relation,100,16,12,0.0,0.0,0.0,0.1995895017526342
W6_asymmetry_relation,100,16,11,0.0,0.0,0.0,0.1993964331734745
W6_asymmetry_relation,100,16,14,0.0,0.0,0.0,0.1992913321524912
W6_asymmetry_relation,100,16,15,0.0,0.0,0.0,0.1993991359047141
W7_full_DAR,50,16,0,0.0403057883708748,0.0403057883708748,-0.0080321285140563,0.1451246908491301
W7_full_DAR,50,16,1,0.0402840909090909,0.0402840909090909,-0.0111434108527133,0.1445569446415571
W7_full_DAR,50,16,2,0.0397730245944531,0.0397730245944531,-0.0120355834641547,0.144673390766302
W7_full_DAR,50,16,3,0.0397082455216016,0.0397082455216016,-0.0091324200913245,0.144329865300721
W6_asymmetry_relation,100,16,17,0.0,0.0,0.0,0.1997402648190955
W6_asymmetry_relation,100,16,16,0.0,0.0,0.0,0.199448289877705
