space,parent_rule_id,control_rule_id,control_type,output_entropy_difference,dependency_degree_difference,activity_density_difference,quiescent_preservation_match,rule_table_hamming_distance,left_right_dependency_preserved,center_dependency_preserved
q3_radius1,q3g3_s1_00114,q3g3_s1_00114_symbol_phase_only,symbol_phase_only,0.01725084318769743,2.0,0.460060808703526,True,0.5185185185185185,False,True
q3_radius1,q3g3_s1_00117,q3g3_s1_00117_center_only_projection,center_only_projection,0.6494158234789689,2.0,0.1620455637157855,True,0.7037037037037037,False,True
q3_radius1,q3g3_s1_00117,q3g3_s1_00117_right_neighbor_removed,right_neighbor_removed,0.01725084318769765,1.0,0.030959686418103205,True,0.5185185185185185,True,True
q3_radius1,q3g3_s1_00117,q3g3_s1_00117_left_neighbor_removed,left_neighbor_removed,0.03721860077597583,1.0,0.04962855209538963,True,0.48148148148148145,True,True
q3_radius1,q3g3_s1_00117,q3g3_s1_00117_left_right_symmetrized_rule,left_right_symmetrized_rule,0.03721860077597605,0.0,0.00363994001025425,True,0.2222222222222222,False,True
q3_radius1,q3g3_s1_00117,q3g3_s1_00117_symbol_phase_only,symbol_phase_only,0.01725084318769765,2.0,0.16976298133299828,False,0.5185185185185185,False,True
q3_radius1,q3g3_s1_00117,q3g3_s1_00117_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.09764503642597155,True,0.5925925925925926,True,True
q3_radius1,q3g3_s1_00122,q3g3_s1_00122_center_only_projection,center_only_projection,0.6427191765388194,2.0,0.4969169413446993,True,0.5925925925925926,False,True
q3_radius1,q3g3_s1_00122,q3g3_s1_00122_left_neighbor_removed,left_neighbor_removed,0.030521953835826565,1.0,0.2766063310946637,True,0.48148148148148145,True,True
q3_radius1,q3g3_s1_00122,q3g3_s1_00122_right_neighbor_removed,right_neighbor_removed,0.030521953835826343,1.0,0.3238575360928363,True,0.37037037037037035,True,True
q3_radius1,q3g3_s1_00122,q3g3_s1_00122_symbol_phase_only,symbol_phase_only,0.6427191765388194,2.0,0.0018953517941083797,False,0.5185185185185185,False,True
q3_radius1,q3g3_s1_00122,q3g3_s1_00122_left_right_symmetrized_rule,left_right_symmetrized_rule,0.1332495055330727,0.0,0.09258651485529878,True,0.25925925925925924,False,True
q3_radius1,q3g3_s1_00122,q3g3_s1_00122_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.13543154869550544,False,0.7037037037037037,True,True
