space,rule_id,stratum,q,radius,table_digest,table_json,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,classification,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,stage1_score,relation_asymmetry_priority,low_artifact_priority
q3_radius1,q3g3_s8_00115,S8_self_only_control,3,1,ab70c2b6dd85,"[1,1,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,2]",0.8705158456290278,0.8730621337890625,0.4663989859215581,0.0,0.0,0.0,1.0,1.0,195.1328125,196.0,1.875,1.5071417508825566,0.748046875,1.0,0.765625,0.0,0.0,1.0,1.0,0.8705158456290278,0.12948415437097213,375000077.72496,1.0,1.0,1.0,1.0,0.4663989859215581,0.31696319580078125,0.6830368041992188,0.17083741321025145,0.280646679507144,frozen_order,True,2,True,False,0.07407407407407407,1.5610150105933092,0.015109184045017376,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00117,S8_self_only_control,3,1,e36e384fb6ac,"[1,1,0,1,1,1,2,2,2,0,2,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,0]",0.888738283387418,0.8914260864257812,0.4702655521339477,0.0,0.0,0.0,1.0,1.0,190.2421875,196.0,1.625,1.5870834361003985,0.728515625,1.0,0.765625,0.0,0.0,1.0,0.8671875,0.888738283387418,0.11126171661258205,250000062.86572617,1.0,1.0,1.0,1.0,0.4702655521339477,0.3253326416015625,0.6746673583984375,0.14243137812797269,0.28961333073234785,frozen_order,True,2,True,False,0.07407407407407407,1.5610150105933092,0.015109184045017376,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00118,S8_self_only_control,3,1,9ac65c6df425,"[0,0,0,1,1,1,2,2,2,0,0,0,1,2,1,2,2,2,0,0,0,1,1,1,2,2,2]",0.21765899658203125,0.21765899658203125,0.4126658053383081,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.5,0.8701439351188018,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.21765899658203125,0.7823410034179688,375000053.5264439,1.0,1.0,1.0,1.0,0.4126658053383081,0.29726409912109375,0.7027359008789062,0.6783719308758387,0.2570815367769178,frozen_order,True,2,True,False,0.0,1.5790132072799707,0.003753586244771401,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00119,S8_self_only_control,3,1,c696c4b28d96,"[0,0,0,2,1,1,2,2,1,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,2,0]",0.21349218939992703,0.213470458984375,0.4069205019220647,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.5,0.826956499530114,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.21349218939992703,0.7865078106000729,375000046.99977976,1.0,1.0,1.0,1.0,0.4069205019220647,0.30289459228515625,0.6971054077148438,0.6868840244557308,0.25950921439862595,frozen_order,True,2,True,False,0.07407407407407407,1.579013207279971,0.0037535862447711787,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00120,S8_self_only_control,3,1,467d56e9bdfc,"[0,0,0,1,1,2,2,2,2,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,0,2,2]",0.20313616207137647,0.2030487060546875,0.3977775894082728,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.25,0.7753159488335165,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.20313616207137647,0.7968638379286236,375000047.8013075,1.0,1.0,1.0,1.0,0.3977775894082728,0.28057861328125,0.71942138671875,0.7633530663660655,0.24021399857301,frozen_order,True,2,True,False,0.14814814814814814,1.5790132072799712,0.0037535862447710677,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00121,S8_self_only_control,3,1,aa32e3c68628,"[0,0,0,1,1,1,2,2,2,0,0,0,1,0,1,2,2,2,0,0,0,1,1,1,2,2,2]",0.21139277001763132,0.21137237548828125,0.41047450897432614,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.5,0.8024638697042493,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.21139277001763132,0.7886072299823688,375000050.4212071,1.0,1.0,1.0,1.0,0.41047450897432614,0.29679107666015625,0.7032089233398438,0.6942354200983052,0.25615785761463095,frozen_order,True,2,True,False,0.0,1.5790132072799712,0.0037535862447710677,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00122,S8_self_only_control,3,1,92c9f94491b2,"[0,0,0,1,1,1,2,2,2,0,0,0,0,1,0,2,1,2,0,0,0,1,1,1,2,2,2]",0.19061953177247992,0.1904296875,0.39440068961143626,0.0,0.0,0.0,1.0,1.0,259.9921875,260.0,1.25,0.6217944110423564,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.19061953177247992,0.8093804682275201,375000057.63488275,1.0,1.0,1.0,1.0,0.39440068961143626,0.28603363037109375,0.7139663696289062,0.7358777404224616,0.23962434683661338,frozen_order,True,2,True,False,0.14814814814814814,1.5677116575334586,0.01088407024131377,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00123,S8_self_only_control,3,1,c9e0ca6e92ef,"[0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,2,0,2,0,0,0,1,1,1,2,2,2]",0.21205581486920902,0.2120361328125,0.409832509811962,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.5,0.7949011620086679,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.21205581486920902,0.787944185130791,375000052.78922474,1.0,1.0,1.0,1.0,0.409832509811962,0.28813934326171875,0.7118606567382812,0.6935606239695544,0.24861579412032805,frozen_order,True,2,True,False,0.0,1.579013207279971,0.0037535862447711787,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3g3_s8_00124,S8_self_only_control,3,1,4cd41b2e873f,"[0,0,1,1,1,1,1,2,2,0,0,0,1,1,1,2,2,2,0,0,0,2,1,1,2,2,2]",0.23820489668196743,0.23828125,0.38679256015190594,0.0,0.0,0.0,1.0,1.0,260.0,260.0,1.75,1.0847119759604062,1.0,1.0,1.015625,0.0,0.0,1.0,1.0,0.23820489668196743,0.7617951033180326,375000055.54533166,1.0,1.0,1.0,1.0,0.38679256015190594,0.25022125244140625,0.7497787475585938,0.5519285673838106,0.1848660406232404,frozen_order,True,2,True,False,0.14814814814814814,1.5790132072799712,0.0037535862447710677,0.0,False,False,0.0,0.0,0.0
q3_radius1,q3r1_s4_0014,S4_neighbor_dependent,3,1,f62ba809cda5,"[2,1,2,2,1,1,1,1,2,2,2,1,1,1,0,1,1,2,1,2,2,0,1,2,0,2,0]",0.8731180332050249,0.972137451171875,0.6524822862193429,0.0,0.0,0.0,0.0,0.005859375,192.09375,227.0,4.875,2.9025345676172334,0.8828125,0.7885284423828125,0.88671875,0.25782012939453125,0.0080108642578125,0.0,0.908203125,0.8731180332050249,0.12688196679497507,125000175.19592966,0.0,0.005859375,0.0,0.0,0.6524822862193429,0.16622161865234375,0.8337783813476562,0.049493945705858536,0.10206233050393876,localized_persistence,True,2,True,False,0.4444444444444444,1.4558764720277595,0.08144421627304277,0.0,True,True,0.16579192268072648,0.5710610670113913,0.1488708126732027
q3_radius1,q3r1_s1_0002,S1_random_unbiased,3,1,161b7b98f66d,"[1,2,1,0,2,2,2,0,0,2,0,0,0,0,1,1,0,1,1,2,1,0,1,0,1,2,2]",0.5181749395823201,0.41147613525390625,0.7707301050179589,0.0,0.0,0.0,0.0,0.0,125.03125,184.0,2.125,2.6159508124316697,0.97265625,0.3953399658203125,0.71875,0.6528167724609375,-0.0247344970703125,0.0,1.0,0.5181749395823201,0.48182506041768,25.901754709698327,0.0,0.0,0.0,0.0,0.7707301050179589,0.19437408447265625,0.8056259155273438,0.17392478999096797,0.1610417776869904,emitter_or_generator,True,2,True,False,0.4444444444444444,1.579013207279971,0.0037535862447711787,0.0,False,False,0.21652216409327463,0.7457985652101682,0.18165304987905945
q3_radius1,q3r1_s3_0020,S3_sparse_active_preserving,3,1,ca67369dfddd,"[0,0,0,1,0,2,1,0,2,2,1,0,1,0,0,2,2,0,1,2,0,2,0,2,0,0,0]",0.25663721700586695,0.29148101806640625,0.6141009765296108,0.0,0.0,0.0,0.0,0.0,110.5390625,156.5,1.875,1.9558435537245744,1.0,0.6100234985351562,0.611328125,0.41324615478515625,-0.0342254638671875,0.0,1.0,0.25663721700586695,0.7433627829941329,30.821316142955403,0.0,0.0,0.0,0.0,0.6141009765296108,0.32660675048828125,0.6733932495117188,0.48190863172578124,0.23526759642902223,emitter_or_generator,True,2,True,False,0.4444444444444444,1.4618278953766808,0.07768928620610849,0.0,True,True,0.19278128845246192,0.6640244380029244,0.1474260980817612
