space,parent_rule_id,rule_id,control_type,dominant_active_neighborhood,dominant_active_neighborhood_count,mechanism_label,symbol_turnover_by_phase_proxy,phase_sequence_length
q3_radius1,q3g3_s3_00223,q3g3_s3_00223_symbol_phase_only,symbol_phase_only,"(0, 2, 1)",8,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00213,q3g3_s3_00013,stratum_null_q3g3_s3_00013,"(0, 1, 1)",150,travelling,0.2255859375,17
q3_radius1,q3g3_s3_00213,q3g3_s3_00163,stratum_null_q3g3_s3_00163,"(2, 1, 0)",145,emitter-like,0.439453125,17
q3_radius1,q3g3_s3_00214,q3g3_s3_00214_left_neighbor_removed,left_neighbor_removed,"(0, 2, 2)",155,travelling,0.3668212890625,17
q3_radius1,q3g3_s3_00226,q3g3_s3_00226_center_only_projection,center_only_projection,"(0, 1, 2)",8,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00214,q3g3_s3_00226,stratum_null_q3g3_s3_00226,"(2, 2, 2)",304,travelling,0.6455078125,17
q3_radius1,q3g3_s3_00214,q3g3_s3_00155,stratum_null_q3g3_s3_00155,"(0, 2, 0)",306,travelling,0.267333984375,17
q3_radius1,q3g3_s3_00214,q3g3_s3_00214_output_histogram_random,output_distribution_matched_random,"(0, 2, 0)",299,travelling,0.296142578125,17
q3_radius1,q3g3_s3_00214,q3g3_s3_00034,stratum_null_q3g3_s3_00034,"(2, 2, 2)",191,emitter-like,0.6270751953125,17
q3_radius1,q3g3_s3_00223,q3g3_s3_00223_right_neighbor_removed,right_neighbor_removed,"(0, 1, 0)",630,travelling,0.034423828125,2
q3_radius1,q3g3_s3_00223,q3g3_s3_00223,raw,"(0, 2, 0)",490,travelling,0.4356689453125,17
q3_radius1,q3g3_s3_00214,q3g3_s3_00125,stratum_null_q3g3_s3_00125,"(1, 1, 1)",239,travelling,0.4249267578125,17
q3_radius1,q3g3_s3_00223,q3g3_s3_00223_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 1, 0)",282,travelling,0.456787109375,17
q3_radius1,q3g3_s3_00226,q3g3_s3_00226_left_neighbor_removed,left_neighbor_removed,"(0, 2, 2)",322,emitter-like,0.161865234375,16
q3_radius1,q3g3_s3_00223,q3g3_s3_00186,stratum_null_q3g3_s3_00186,"(0, 1, 0)",266,travelling,0.3463134765625,17
q3_radius1,q3g3_s3_00229,q3g3_s3_00229_center_only_projection,center_only_projection,"(0, 1, 0)",10,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00223,q3g3_s3_00223_output_histogram_random,output_distribution_matched_random,"(0, 2, 0)",140,travelling,0.53369140625,17
q3_radius1,q3g3_s3_00229,q3g3_s3_00229_left_neighbor_removed,left_neighbor_removed,"(1, 2, 0)",7,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00223,q3g3_s3_00242,stratum_null_q3g3_s3_00242,"(2, 1, 2)",193,travelling,0.6119384765625,17
q3_radius1,q3g3_s3_00223,q3g3_s3_00007,stratum_null_q3g3_s3_00007,"(0, 2, 0)",537,emitter-like,0.33251953125,17
q3_radius1,q3g3_s3_00223,q3g3_s3_00131,stratum_null_q3g3_s3_00131,"(0, 1, 1)",339,travelling,0.328857421875,17
q3_radius1,q3g3_s3_00226,q3g3_s3_00226,raw,"(2, 2, 2)",304,travelling,0.6455078125,17
q3_radius1,q3g3_s3_00229,q3g3_s3_00229_symbol_phase_only,symbol_phase_only,"(0, 1, 0)",7,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00226,q3g3_s3_00226_symbol_phase_only,symbol_phase_only,"(0, 2, 2)",308,emitter-like,0.0,2
q3_radius1,q3g3_s3_00226,q3g3_s3_00226_right_neighbor_removed,right_neighbor_removed,"(0, 2, 0)",704,travelling,0.087890625,17
q3_radius1,q3g3_s3_00226,q3g3_s3_00226_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 2, 2)",285,travelling,0.2696533203125,17
q3_radius1,q3g3_s3_00244,q3g3_s3_00244_center_only_projection,center_only_projection,"(0, 1, 0)",7,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00226,q3g3_s3_00214,stratum_null_q3g3_s3_00214,"(0, 2, 0)",344,travelling,0.048583984375,3
q3_radius1,q3g3_s3_00226,q3g3_s3_00155,stratum_null_q3g3_s3_00155,"(0, 2, 0)",306,travelling,0.267333984375,17
q3_radius1,q3g3_s3_00229,q3g3_s3_00229,raw,"(2, 2, 2)",257,travelling,0.097412109375,6
q3_radius1,q3g3_s3_00229,q3g3_s3_00229_left_right_symmetrized_rule,left_right_symmetrized_rule,"(0, 1, 0)",120,local-phase-clock-like,0.0,2
q3_radius1,q3g3_s3_00226,q3g3_s3_00226_output_histogram_random,output_distribution_matched_random,"(2, 2, 2)",917,travelling,0.2955322265625,17
q3_radius1,q3g3_s3_00226,q3g3_s3_00034,stratum_null_q3g3_s3_00034,"(2, 2, 2)",191,emitter-like,0.6270751953125,17
