object_kind,object_id,source_value,rational_numerator,rational_denominator,exact_rationalized,max_denominator_used,rationalization_error,status
channel_probability,y2_bit_flip_p_0_25::01->10,1/16,1,16,1,16,0,exact
channel_probability,y2_bit_flip_p_0_25::01->11,3/16,3,16,1,16,0,exact
channel_probability,y2_bit_flip_p_0_25::10->00,3/16,3,16,1,16,0,exact
channel_probability,y2_bit_flip_p_0_25::10->01,1/16,1,16,1,16,0,exact
channel_probability,y2_bit_flip_p_0_25::10->10,9/16,9,16,1,16,0,exact
channel_probability,y2_bit_flip_p_0_25::10->11,3/16,3,16,1,16,0,exact
channel_probability,y2_bit_flip_p_0_25::11->00,1/16,1,16,1,16,0,exact
channel_probability,y2_bit_flip_p_0_25::11->01,3/16,3,16,1,16,0,exact
channel_probability,y2_bit_flip_p_0_25::11->10,3/16,3,16,1,16,0,exact
channel_probability,y2_bit_flip_p_0_25::11->11,9/16,9,16,1,16,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::00->00,9/10,9,10,1,10,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::00->01,1/20,1,20,1,20,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::00->10,1/20,1,20,1,20,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::00->11,0,0,1,1,1,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::01->00,1/20,1,20,1,20,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::01->01,9/10,9,10,1,10,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::01->10,0,0,1,1,1,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::01->11,1/20,1,20,1,20,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::10->00,1/20,1,20,1,20,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::10->01,0,0,1,1,1,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::10->10,9/10,9,10,1,10,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::10->11,1/20,1,20,1,20,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::11->00,0,0,1,1,1,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::11->01,1/20,1,20,1,20,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::11->10,1/20,1,20,1,20,0,exact
channel_probability,y2_marginal_joint_degrade_q_0_10::11->11,9/10,9,10,1,10,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::00->00,49/100,49,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::00->01,21/100,21,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::00->10,21/100,21,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::00->11,9/100,9,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::01->00,21/100,21,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::01->01,49/100,49,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::01->10,9/100,9,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::01->11,21/100,21,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::10->00,21/100,21,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::10->01,9/100,9,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::10->10,49/100,49,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::10->11,21/100,21,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::11->00,9/100,9,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::11->01,21/100,21,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::11->10,21/100,21,100,1,100,0,exact
channel_probability,comp_bitflip_0_10_then_0_25::11->11,49/100,49,100,1,100,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::00->00,9/10,9,10,1,10,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::00->01,1/20,1,20,1,20,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::00->10,1/20,1,20,1,20,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::00->11,0,0,1,1,1,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::01->00,1/20,1,20,1,20,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::01->01,9/10,9,10,1,10,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::01->10,0,0,1,1,1,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::01->11,1/20,1,20,1,20,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::10->00,1/20,1,20,1,20,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::10->01,0,0,1,1,1,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::10->10,9/10,9,10,1,10,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::10->11,1/20,1,20,1,20,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::11->00,0,0,1,1,1,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::11->01,1/20,1,20,1,20,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::11->10,1/20,1,20,1,20,0,exact
channel_probability,comp_identity_then_marginal_degrade_0_10::11->11,9/10,9,10,1,10,0,exact
source_prior_probability,uniform_X2::00,1/4,1,4,1,4,0,exact
source_prior_probability,uniform_X2::01,1/4,1,4,1,4,0,exact
source_prior_probability,uniform_X2::10,1/4,1,4,1,4,0,exact
source_prior_probability,uniform_X2::11,1/4,1,4,1,4,0,exact
source_prior_probability,uniform_Y2::00,1/4,1,4,1,4,0,exact
source_prior_probability,uniform_Y2::01,1/4,1,4,1,4,0,exact
source_prior_probability,uniform_Y2::10,1/4,1,4,1,4,0,exact
source_prior_probability,uniform_Y2::11,1/4,1,4,1,4,0,exact
