world,T,seed,edge_influence_early,edge_influence_middle,edge_influence_late,edge_influence_rank_correlation_early_late,relation_identity_persistence
W7_full_DAR,50,8,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,9,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,10,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,11,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,13,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,12,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,14,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,15,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,16,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,17,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,18,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,19,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,20,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,21,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,22,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,23,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,24,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,26,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,25,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,27,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,28,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,50,29,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,1,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,0,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,2,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,3,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,5,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,4,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,7,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,6,0.0,0.0,0.0,0.0,0.0
W7_full_DAR,100,8,0.0,0.0,0.0,0.0,0.0
