world,T,seed,future_prediction_self_only,future_prediction_self_plus_true_relation,future_prediction_self_plus_shuffled_relation,connection_predictive_gain,relation_shuffle_delta
W2_asymmetry_only,50,5,0.8155929166666667,0.8155929166666667,0.8155929166666667,0.0,0.0
W1_distinction_only,100,23,0.9513881227014376,0.9513881227014376,0.9513881227014376,0.0,0.0
W1_distinction_only,100,26,0.951719375834446,0.951719375834446,0.951719375834446,0.0,0.0
W1_distinction_only,100,24,0.9514810643977312,0.9514810643977312,0.9514810643977312,0.0,0.0
W1_distinction_only,100,25,0.9515934157754012,0.9515934157754012,0.9515934157754012,0.0,0.0
W1_distinction_only,100,29,0.9514575676578684,0.9514575676578684,0.9514575676578684,0.0,0.0
W1_distinction_only,100,28,0.951821005670447,0.951821005670447,0.951821005670447,0.0,0.0
W2_asymmetry_only,50,7,0.8155064188062687,0.8155064188062687,0.8155064188062687,0.0,0.0
W1_distinction_only,100,27,0.9517802587646076,0.9517802587646076,0.9517802587646076,0.0,0.0
W2_asymmetry_only,50,6,0.8149824649298597,0.8149824649298597,0.8149824649298597,0.0,0.0
W2_asymmetry_only,50,8,0.8154069379586392,0.8154069379586392,0.8154069379586392,0.0,0.0
W2_asymmetry_only,50,10,0.8154172229639519,0.8154172229639519,0.8154172229639519,0.0,0.0
W2_asymmetry_only,50,11,0.8153338068181819,0.8153338068181819,0.8153338068181819,0.0,0.0
W2_asymmetry_only,50,9,0.8148843133979284,0.8148843133979284,0.8148843133979284,0.0,0.0
W2_asymmetry_only,50,12,0.8147247247247248,0.8147247247247248,0.8147247247247248,0.0,0.0
W2_asymmetry_only,50,13,0.8152421509686039,0.8152421509686039,0.8152421509686039,0.0,0.0
W2_asymmetry_only,50,14,0.814758185766789,0.814758185766789,0.814758185766789,0.0,0.0
W2_asymmetry_only,50,16,0.8151027397260273,0.8151027397260273,0.8151027397260273,0.0,0.0
W2_asymmetry_only,50,15,0.8150810223855663,0.8150810223855663,0.8150810223855663,0.0,0.0
W2_asymmetry_only,50,17,0.81471,0.81471,0.81471,0.0,0.0
W2_asymmetry_only,50,19,0.8158292988313857,0.8158292988313857,0.8158292988313857,0.0,0.0
