condition,alpha,T,control,counterfactual_profile_separation,intervention_viable_reachability_delta,component_conditioned_affordance_balance,counterfactual_affordance
coupled,0.5,1500,single_component_erasure,0.04731057770550251,1.0,0.6475879257033857,0.5649661678029627
coupled,0.5,1500,endpoint_fakeout,0.02288957964628935,1.0,0.7463341289377943,0.5897412361946945
coupled,0.5,1500,delayed_trap,0.00930246344069019,1.0,0.7411770882095858,0.5834931838834253
coupled,0.5,1500,component_swap_fakeout,0.03192578721791506,1.0,0.089773604528499,0.3738997972488047
coupled,0.5,2400,none,0.021361317485570908,1.0,0.4847353402399808,0.5020322192418506
coupled,0.5,2400,rigid_collapse,0.014624915085732937,0.14304081632653062,0.5642160751910906,0.24062726886778474
coupled,0.5,2400,noise_fakeout,0.004139493685215712,1.0,0.8941878669376413,0.6327757868742857
coupled,0.5,2400,single_component_erasure,0.03955928236246109,1.0,0.6572796738622962,0.5656129854082524
coupled,0.5,2400,endpoint_fakeout,0.020567073486745358,1.0,0.7006726513627977,0.5737465749498477
coupled,0.5,2400,delayed_trap,0.008015087514650077,1.0,0.5923747583355917,0.5334632819500805
coupled,0.5,2400,component_swap_fakeout,0.04440277814865112,1.0,0.10412212900878716,0.38284163571914614
coupled,0.525,900,none,0.028853279538452625,1.0,0.7534125512062847,0.5940886102482458
coupled,0.525,900,rigid_collapse,0.019765875302255154,0.182734693877551,0.3394058956015504,0.18063548826045217
coupled,0.525,900,noise_fakeout,0.004211148130707443,1.0,0.5590476552597343,0.5210862677968139
coupled,0.525,900,single_component_erasure,0.042188508436083794,1.0,0.6884688631713032,0.5768857905357957
coupled,0.525,900,endpoint_fakeout,0.025468950159847736,1.0,0.6672152365300186,0.5642280622299555
coupled,0.525,900,delayed_trap,0.009930750355124474,1.0,0.8663348281189144,0.6254218594913463
coupled,0.525,900,component_swap_fakeout,0.02619044855237007,1.0,0.0849685590181722,0.3703863358568474
coupled,0.525,1500,none,0.027143755927681923,1.0,0.5613671029993704,0.5295036196423508
coupled,0.525,1500,rigid_collapse,0.019384964369237423,0.1491326530612245,0.5536056018898722,0.2407077397734447
coupled,0.525,1500,noise_fakeout,0.004376398283056915,1.0,0.9906303220984979,0.665002240127185
coupled,0.525,1500,single_component_erasure,0.05041384696960449,1.0,0.5757172088113701,0.5420436852603249
coupled,0.525,1500,endpoint_fakeout,0.024235572665929794,1.0,0.7366226698192401,0.5869527474950567
coupled,0.525,1500,delayed_trap,0.00933177350088954,1.0,0.6845072022518626,0.5646129919175841
coupled,0.525,1500,component_swap_fakeout,0.034862481988966465,1.0,0.06616151206456164,0.3670079980178427
coupled,0.525,2400,none,0.02354488428682089,1.0,0.49527869750280856,0.5062745272632098
coupled,0.525,2400,rigid_collapse,0.015605457592755556,0.1429897959183673,0.4937563310404192,0.21745052818384736
coupled,0.525,2400,noise_fakeout,0.003166422015056014,1.0,0.9765888826203449,0.6599184348784669
coupled,0.525,2400,single_component_erasure,0.05030009523034096,1.0,0.5240233082734388,0.5247744678345933
coupled,0.525,2400,endpoint_fakeout,0.01904121320694685,1.0,0.7973960297877911,0.605479080998246
coupled,0.525,2400,delayed_trap,0.00848689948907122,1.0,0.6190975152420335,0.5425281382437016
coupled,0.525,2400,component_swap_fakeout,0.04976106807589531,1.0,0.070330649593063,0.37336390588965274
independent_alpha0,0.45,900,none,0.016717699356377125,1.0,0.8307699161023215,0.6158292051528996
independent_alpha0,0.45,1500,none,0.013014886062592268,1.0,0.8096801352596326,0.6075650071074082
independent_alpha0,0.45,2400,none,0.00907557224854827,1.0,0.6864643422535923,0.5651799715007135
independent_alpha0,0.5,900,none,0.016826902516186237,1.0,0.8571896911942448,0.6246721979034771
independent_alpha0,0.5,1500,none,0.013305613305419683,1.0,0.786539587856845,0.5999484003874215
independent_alpha0,0.5,2400,none,0.009229730814695358,1.0,0.7368788938851115,0.582036208233269
independent_alpha0,0.525,900,none,0.01691618002951145,1.0,0.8660375455854064,0.6276512418716392
independent_alpha0,0.525,1500,none,0.013015159871429205,1.0,0.7787172966005272,0.5972441521573187
independent_alpha0,0.525,2400,none,0.009443615097552538,1.0,0.8298108692675769,0.6130848281217097
product,0.45,900,none,0.017074529081583023,1.0,0.8157321138751298,0.6109355476522377
product,0.45,1500,none,0.013133273925632238,1.0,0.77083628504188,0.5946565196558374
product,0.45,2400,none,0.009004492778331041,1.0,0.7704601378608293,0.5931548768797201
product,0.5,900,none,0.016771644353866577,1.0,0.8167038295507878,0.6111584913015514
product,0.5,1500,none,0.01305729802697897,1.0,0.7687588845374611,0.59393872752148
product,0.5,2400,none,0.0096237538382411,1.0,0.753907309727466,0.5878436878552357
product,0.525,900,none,0.016790258698165417,1.0,0.8419354590314485,0.6195752392432047
product,0.525,1500,none,0.013361810240894556,1.0,0.8120484783151931,0.6084700961853625
product,0.525,2400,none,0.009599594399333,1.0,0.7262167427903503,0.5786054457298945
shuffled,0.45,900,none,0.016562520526349545,1.0,0.8448016694975847,0.6204547300079781
shuffled,0.45,1500,none,0.013072195928543806,1.0,0.8160990920359457,0.6097237626548299
shuffled,0.45,2400,none,0.009553833864629269,1.0,0.7492016734805683,0.5862518357817326
shuffled,0.5,900,none,0.01692379079759121,1.0,0.8642109026374899,0.6270448978116937
shuffled,0.5,1500,none,0.012809236533939838,1.0,0.8239527069850121,0.612253981172984
shuffled,0.5,2400,none,0.00952980574220419,1.0,0.7873106967381885,0.598946834160131
