target,T,metric,mean,ci_low,ci_high,n_seeds
optional_r100_a050_l050,50,future_distinct_ratio,0.9233800120590695,0.9225474184969955,0.9244581403618943,50
optional_r100_a050_l050,50,asymmetric_slack_delta,-0.008807079789432673,-0.010072156138743403,-0.007603126654605959,50
optional_r100_a050_l050,50,relation_slack_excess,0.018467171110713297,0.01829100653833149,0.01863924024476921,50
optional_r100_a050_l050,50,relation_shuffle_delta,0.018467171110713297,0.01829679573498896,0.018636455602329623,50
optional_r100_a050_l050,50,dynamic_lock_in_index,0.0,0.0,0.0,50
optional_r100_a050_l050,100,future_distinct_ratio,0.9242470922340913,0.9235721196067069,0.9249982981893768,50
optional_r100_a050_l050,100,asymmetric_slack_delta,-0.0036398435321697716,-0.004986984268663241,-0.0022687746884904334,50
optional_r100_a050_l050,100,relation_slack_excess,0.010679249766546597,0.01060431758435454,0.010756672714796092,50
optional_r100_a050_l050,100,relation_shuffle_delta,0.010679249766546597,0.010595098280116882,0.010761185933342484,50
optional_r100_a050_l050,100,dynamic_lock_in_index,0.0,0.0,0.0,50
random_stepwise_relation_control,50,future_distinct_ratio,0.9549461769833968,0.9540675088486328,0.9558426168027178,50
random_stepwise_relation_control,50,asymmetric_slack_delta,-0.010634382487607265,-0.01203042786366316,-0.009479414908015845,50
random_stepwise_relation_control,50,relation_slack_excess,0.0,0.0,0.0,50
random_stepwise_relation_control,50,relation_shuffle_delta,0.0,0.0,0.0,50
random_stepwise_relation_control,50,dynamic_lock_in_index,0.0,0.0,0.0,50
random_stepwise_relation_control,100,future_distinct_ratio,0.9590902439213194,0.9582482697044009,0.9600294474096625,50
random_stepwise_relation_control,100,asymmetric_slack_delta,-0.010574854372074994,-0.011441371889697686,-0.009695755996453096,50
random_stepwise_relation_control,100,relation_slack_excess,0.0,0.0,0.0,50
random_stepwise_relation_control,100,relation_shuffle_delta,0.0,0.0,0.0,50
random_stepwise_relation_control,100,dynamic_lock_in_index,0.0,0.0,0.0,50
relation_lock_in_control,50,future_distinct_ratio,0.95523246740084,0.9543834076174385,0.9558924815401092,50
relation_lock_in_control,50,asymmetric_slack_delta,-0.0073471877976794,-0.008324546736361193,-0.006266373960211845,50
relation_lock_in_control,50,relation_slack_excess,0.03682564234766254,0.03656854577216887,0.037111753203046265,50
relation_lock_in_control,50,relation_shuffle_delta,0.03682564234766254,0.03654505763006437,0.037094402051946675,50
relation_lock_in_control,50,dynamic_lock_in_index,6.919796954314723e-09,0.0,2.075939086294417e-08,50
relation_lock_in_control,100,future_distinct_ratio,0.9527961809884425,0.9519693080160356,0.9536769111182571,50
relation_lock_in_control,100,asymmetric_slack_delta,-0.013516717801025814,-0.0146661799271114,-0.01250092808672592,50
relation_lock_in_control,100,relation_slack_excess,0.021391050683459784,0.02125425369641561,0.02153896975334947,50
relation_lock_in_control,100,relation_shuffle_delta,0.021391050683459784,0.021243706343140857,0.021514706827590196,50
relation_lock_in_control,100,dynamic_lock_in_index,8.186507117804834e-09,0.0,3.2746028471219334e-08,50
symmetric_transition_control,50,future_distinct_ratio,0.9823749683570725,0.9814311516862082,0.9832145172635214,50
symmetric_transition_control,50,asymmetric_slack_delta,5.2126121785157996e-05,-0.0015276540965184489,0.0013982602947877631,50
symmetric_transition_control,50,relation_slack_excess,0.006056992965017308,0.005170781030382906,0.0067666293991706815,50
symmetric_transition_control,50,relation_shuffle_delta,0.006056992965017308,0.005283559370955183,0.006951826496456263,50
symmetric_transition_control,50,dynamic_lock_in_index,0.0,0.0,0.0,50
symmetric_transition_control,100,future_distinct_ratio,0.9884860711240379,0.9875784699069109,0.9892971612752882,50
symmetric_transition_control,100,asymmetric_slack_delta,-0.0011369643135288165,-0.002264005255773775,0.00012902569943924343,50
symmetric_transition_control,100,relation_slack_excess,0.005438626848885128,0.005053564268668905,0.005823762732791896,50
symmetric_transition_control,100,relation_shuffle_delta,0.005438626848885128,0.005040566803968619,0.00571357892382556,50
symmetric_transition_control,100,dynamic_lock_in_index,2.04523107177975e-09,0.0,8.180924287119e-09,50
