T,budget,coarse_name,completed,cv,exact_I,mean_CV,mean_I,rank_stability_across_sample_budgets,start,std_I
4,3000,viability_signature,,0.00767110113976674,1.7908246454059518,,1.768156921383982,,open,0.013563710574915115
5,1000,viability_signature,,0.01708409275721619,2.3245342324307168,,2.1723546194333667,,open,0.037112707819966714
3,300,viability_signature,,0.03350882871946988,1.4651310367150225,,1.3782517386722608,,loop,0.04618360144348034
5,3000,viability_signature,,0.0038619036935379635,2.3245342324307168,,2.2396420578693133,,open,0.008649281935488466
3,1000,viability_signature,,0.002928561200551273,1.4651310367150225,,1.4292689690817106,,loop,0.004185701648004615
4,300,viability_signature,,0.02528688167838365,1.9850990245172897,,1.8959555575610676,,loop,0.04794280385152062
3,3000,viability_signature,,0.016499833173533894,1.4651310367150225,,1.4226813357793962,,loop,0.023474004699460392
4,1000,viability_signature,,0.010675571923954583,1.9850990245172897,,1.9672980239756743,,loop,0.02100203155080604
5,300,viability_signature,,0.06561513223183063,2.4251468670537575,,2.1622423474780117,,loop,0.1418758175470336
4,3000,viability_signature,,0.0038611641361526268,1.9850990245172897,,1.9540835370727534,,loop,0.007545037272391588
5,1000,viability_signature,,0.01420201518373157,2.4251468670537575,,2.362842357328605,,loop,0.03355712303554494
3,300,viability_signature,,0.059317011354469214,0.44770237749802494,,0.6539207888054114,,dead_branch,0.03878862685449405
5,3000,viability_signature,,0.019884781604562057,2.4251468670537575,,2.3968123807472126,,loop,0.04766009073826876
3,1000,viability_signature,,0.15432066895819344,0.44770237749802494,,0.7262923485906086,,dead_branch,0.11208192109372014
4,300,viability_signature,,0.8402895587620578,1.651669962228313,,0.6742695098049012,,dead_branch,0.5665816288806694
3,3000,viability_signature,,0.11557039962088542,0.44770237749802494,,0.6485253015042137,,dead_branch,0.07495032825909718
4,1000,viability_signature,,0.03710149178211847,1.651669962228313,,1.5649348965076275,,dead_branch,0.05806141920232816
4,3000,viability_signature,,0.013165898637756395,1.651669962228313,,1.5828187089037398,,dead_branch,0.020839230683371082
5,300,viability_signature,,1.4142135623730954,1.861986108168706,,0.23104906018664842,,dead_branch,0.32675271448951576
5,1000,viability_signature,,0.7090282963383419,1.861986108168706,,0.44322044961825274,,dead_branch,0.31425584029514364
5,3000,viability_signature,,0.23604441153262318,1.861986108168706,,1.3564776172509962,,dead_branch,0.32018896092118626
3,300,viability_signature,,0.0,0.0,,0.0,,rigid_attractor,0.0
3,1000,viability_signature,,0.0,0.0,,0.0,,rigid_attractor,0.0
4,300,viability_signature,,0.0,0.0,,0.0,,rigid_attractor,0.0
3,3000,viability_signature,,0.0,0.0,,0.0,,rigid_attractor,0.0
4,1000,viability_signature,,0.0,0.0,,0.0,,rigid_attractor,0.0
5,300,viability_signature,,0.0,0.0,,0.0,,rigid_attractor,0.0
