condition,alpha,T,kappa,segment_depth,seed,certified_path_mass_survival,component_A_preservation,component_B_preservation
coupled,0.525,2400,basin_transition_profile,2,79.5,0.9836878621487749,1.0,0.9638512792440256
coupled,0.525,2400,basin_transition_profile,3,79.5,0.9743039574582151,1.0,0.9638512792440256
coupled,0.525,2400,basin_transition_profile,4,79.5,0.9682679254360229,1.0,0.9638512792440256
coupled,0.525,2400,basin_transition_profile,5,79.5,0.9614774642476622,1.0,0.9638512792440256
coupled,0.525,2400,basin_transition_profile,6,79.5,0.9503021389574962,1.0,0.9638512792440256
coupled,0.525,2400,boundary_v2_regime_sequence,1,79.5,0.9930172604918402,1.0,1.0
coupled,0.525,2400,boundary_v2_regime_sequence,2,79.5,0.9928702264924226,1.0,1.0
coupled,0.525,2400,boundary_v2_regime_sequence,3,79.5,0.9927582311660329,1.0,1.0
coupled,0.525,2400,boundary_v2_regime_sequence,4,79.5,0.9926668802955655,1.0,1.0
coupled,0.525,2400,boundary_v2_regime_sequence,5,79.5,0.9925705265485478,1.0,1.0
coupled,0.525,2400,boundary_v2_regime_sequence,6,79.5,0.9924516495263266,1.0,1.0
coupled,0.525,2400,center_of_mass,1,79.5,0.7611319787539272,1.0,0.7574612430221266
coupled,0.525,2400,center_of_mass,2,79.5,0.748462523290767,1.0,0.7574612430221266
coupled,0.525,2400,center_of_mass,3,79.5,0.74448943453882,1.0,0.7574612430221266
coupled,0.525,2400,center_of_mass,4,79.5,0.7425767277111348,1.0,0.7574612430221266
coupled,0.525,2400,center_of_mass,5,79.5,0.7411996185934162,1.0,0.7574612430221266
coupled,0.525,2400,center_of_mass,6,79.5,0.7399782886561013,1.0,0.7574612430221266
coupled,0.525,2400,joint_basin,1,79.5,0.9920463167375502,1.0,0.9638512792440256
coupled,0.525,2400,joint_basin,2,79.5,0.9913574400398568,1.0,0.9638512792440256
coupled,0.525,2400,joint_basin,3,79.5,0.9907836906776574,1.0,0.9638512792440256
coupled,0.525,2400,joint_basin,4,79.5,0.9902180715642936,1.0,0.9638512792440256
coupled,0.525,2400,joint_basin,5,79.5,0.9895567153765634,1.0,0.9638512792440256
coupled,0.525,2400,joint_basin,6,79.5,0.9887464610907264,1.0,0.9638512792440256
independent_alpha0,0.45,900,basin_transition_profile,1,79.5,0.9916561077874503,1.0,1.0
independent_alpha0,0.45,900,basin_transition_profile,2,79.5,0.9882885229609422,1.0,1.0
independent_alpha0,0.45,900,basin_transition_profile,3,79.5,0.9854340310574908,1.0,1.0
independent_alpha0,0.45,900,basin_transition_profile,4,79.5,0.982993137866058,1.0,1.0
independent_alpha0,0.45,900,basin_transition_profile,5,79.5,0.9809952171508843,1.0,1.0
independent_alpha0,0.45,900,basin_transition_profile,6,79.5,0.9793308142992352,1.0,1.0
independent_alpha0,0.45,900,boundary_v2_regime_sequence,1,79.5,0.9958227161726679,1.0,1.0
independent_alpha0,0.45,900,boundary_v2_regime_sequence,2,79.5,0.9944836995689217,1.0,1.0
independent_alpha0,0.45,900,boundary_v2_regime_sequence,3,79.5,0.9944217573654986,1.0,1.0
independent_alpha0,0.45,900,boundary_v2_regime_sequence,4,79.5,0.9943942267655922,1.0,1.0
independent_alpha0,0.45,900,boundary_v2_regime_sequence,5,79.5,0.9943842164420111,1.0,1.0
independent_alpha0,0.45,900,boundary_v2_regime_sequence,6,79.5,0.9943754562413236,1.0,1.0
independent_alpha0,0.45,900,center_of_mass,1,79.5,0.6823230808410424,1.0,0.711080042479548
independent_alpha0,0.45,900,center_of_mass,2,79.5,0.6592786748072352,1.0,0.711080042479548
independent_alpha0,0.45,900,center_of_mass,3,79.5,0.6424420527916401,1.0,0.711080042479548
independent_alpha0,0.45,900,center_of_mass,4,79.5,0.627459387999324,1.0,0.711080042479548
independent_alpha0,0.45,900,center_of_mass,5,79.5,0.6133564561851296,1.0,0.711080042479548
independent_alpha0,0.45,900,center_of_mass,6,79.5,0.5983149361339599,1.0,0.711080042479548
independent_alpha0,0.45,900,joint_basin,1,79.5,0.9952045365424447,1.0,1.0
independent_alpha0,0.45,900,joint_basin,2,79.5,0.9951294510618036,1.0,1.0
independent_alpha0,0.45,900,joint_basin,3,79.5,0.9950969123244663,1.0,1.0
independent_alpha0,0.45,900,joint_basin,4,79.5,0.9950800182395451,1.0,1.0
independent_alpha0,0.45,900,joint_basin,5,79.5,0.9950662540992026,1.0,1.0
independent_alpha0,0.45,900,joint_basin,6,79.5,0.9950418516287041,1.0,1.0
independent_alpha0,0.45,1500,basin_transition_profile,1,79.5,0.9922161102345262,1.0,1.0
independent_alpha0,0.45,1500,basin_transition_profile,2,79.5,0.9896463158537777,1.0,1.0
independent_alpha0,0.45,1500,basin_transition_profile,3,79.5,0.987660939916897,1.0,1.0
independent_alpha0,0.45,1500,basin_transition_profile,4,79.5,0.9861498414234562,1.0,1.0
independent_alpha0,0.45,1500,basin_transition_profile,5,79.5,0.9851142790802339,1.0,1.0
independent_alpha0,0.45,1500,basin_transition_profile,6,79.5,0.9843421409165021,1.0,1.0
independent_alpha0,0.45,1500,boundary_v2_regime_sequence,1,79.5,0.9939330809505303,1.0,1.0
independent_alpha0,0.45,1500,boundary_v2_regime_sequence,2,79.5,0.9938486107081237,1.0,1.0
independent_alpha0,0.45,1500,boundary_v2_regime_sequence,3,79.5,0.9938254609295634,1.0,1.0
independent_alpha0,0.45,1500,boundary_v2_regime_sequence,4,79.5,0.9938167006662567,1.0,1.0
independent_alpha0,0.45,1500,boundary_v2_regime_sequence,5,79.5,0.9938135722871764,1.0,1.0
independent_alpha0,0.45,1500,boundary_v2_regime_sequence,6,79.5,0.9938110699724427,1.0,1.0
independent_alpha0,0.45,1500,center_of_mass,1,79.5,0.7028938871699588,1.0,0.7111564581043712
independent_alpha0,0.45,1500,center_of_mass,2,79.5,0.6730067577219732,1.0,0.7111564581043712
independent_alpha0,0.45,1500,center_of_mass,3,79.5,0.649444330578761,1.0,0.7111564581043712
independent_alpha0,0.45,1500,center_of_mass,4,79.5,0.6260226776539843,1.0,0.7111564581043712
independent_alpha0,0.45,1500,center_of_mass,5,79.5,0.6041171741019775,1.0,0.7111564581043712
independent_alpha0,0.45,1500,center_of_mass,6,79.5,0.5817591727097007,1.0,0.7111564581043712
independent_alpha0,0.45,1500,joint_basin,1,79.5,0.9953190453359472,1.0,1.0
independent_alpha0,0.45,1500,joint_basin,2,79.5,0.9952883848544831,1.0,1.0
independent_alpha0,0.45,1500,joint_basin,3,79.5,0.9952708657073435,1.0,1.0
independent_alpha0,0.45,1500,joint_basin,4,79.5,0.9952358260321242,1.0,1.0
independent_alpha0,0.45,1500,joint_basin,5,79.5,0.9949649008646235,1.0,1.0
independent_alpha0,0.45,1500,joint_basin,6,79.5,0.9945513122407869,1.0,1.0
independent_alpha0,0.45,2400,basin_transition_profile,1,79.5,0.9932128898685042,1.0,1.0
independent_alpha0,0.45,2400,basin_transition_profile,2,79.5,0.9916335880982082,1.0,1.0
independent_alpha0,0.45,2400,basin_transition_profile,3,79.5,0.9906449522516126,1.0,1.0
independent_alpha0,0.45,2400,basin_transition_profile,4,79.5,0.9900029782509445,1.0,1.0
independent_alpha0,0.45,2400,basin_transition_profile,5,79.5,0.9880532835752842,1.0,1.0
independent_alpha0,0.45,2400,basin_transition_profile,6,79.5,0.9867305152623844,1.0,1.0
independent_alpha0,0.45,2400,boundary_v2_regime_sequence,1,79.5,0.9964434298753799,1.0,1.0
independent_alpha0,0.45,2400,boundary_v2_regime_sequence,2,79.5,0.9964008829431027,1.0,1.0
independent_alpha0,0.45,2400,boundary_v2_regime_sequence,3,79.5,0.9963971293142357,1.0,1.0
independent_alpha0,0.45,2400,boundary_v2_regime_sequence,4,79.5,0.996395251998625,1.0,1.0
independent_alpha0,0.45,2400,boundary_v2_regime_sequence,5,79.5,0.996395251998625,1.0,1.0
independent_alpha0,0.45,2400,boundary_v2_regime_sequence,6,79.5,0.996395251998625,1.0,1.0
