space,rule_id,stratum,q,radius,ic_family,T,ring_size,motif_type,confirmed,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,confirmed_fraction
q2_radius2,q2r2_s2_0046,S2_quiescent_preserving,2,2,bernoulli_050,512,256,emitter,False,0.46290335552966616,0.466064453125,0.9960255876273187,0.0,0.0,0.0,0.0,0.0,126.6875,228.0,2.0,2.21316477148759,1.0,0.5526123046875,0.4453125,0.500732421875,-0.003662109375,0.0,1.0,0.46290335552966616,0.5370966444703338,23.497084347416006,0.0,0.0,0.0,0.0,0.9960255876273187,0.409912109375,0.590087890625,0.4480302599925547,0.40828294961578815,0.16666666666666666
q2_radius2,q2r2_s2_0046,S2_quiescent_preserving,2,2,periodic_perturbation,512,256,emitter,True,0.20602660894858674,0.26171875,0.733818780584962,0.0,0.0,0.0,0.0,0.0,119.0625,132.0,1.0,2.020879077605327,1.0,0.7451171875,0.2578125,0.28564453125,-0.006591796875,0.0,1.0,0.20602660894858674,0.7939733910514133,4.335195959263565,0.0,0.0,0.4375,0.15312499999999998,0.733818780584962,0.22900390625,0.77099609375,0.7006834488355091,0.16804736723356795,0.16666666666666666
q2_radius2,q2r2_s2_0046,S2_quiescent_preserving,2,2,bernoulli_025,512,256,emitter,False,0.45980817114400585,0.4620361328125,0.995333957041759,0.0,0.0,0.0,0.0,0.0,115.8125,240.0,2.0,2.2046048070103246,1.0,0.56097412109375,0.46875,0.50103759765625,0.0037841796875,0.0,1.0,0.45980817114400585,0.5401918288559941,22.986403862256566,0.0,0.0,0.0,0.0,0.995333957041759,0.4107666015625,0.5892333984375,0.45161044926517113,0.4088499469537987,0.16666666666666666
q2_radius2,q2r2_s3_0022,S3_sparse_active_preserving,2,2,bernoulli_025,512,256,emitter,False,0.4384704946774488,0.44134521484375,0.9890485203022066,0.0,0.0,0.0,0.0,0.0,140.375,480.0,2.0,1.9613941108549793,1.0,0.56317138671875,0.9375,0.49078369140625,-0.00311279296875,0.0,1.0,0.4384704946774488,0.5615295053225512,30.265784657608496,0.0,0.0,0.0,0.0,0.9890485203022066,0.4246826171875,0.5753173828125,0.48357773697150996,0.42003171412736534,0.0
q2_radius2,q2r2_s3_0022,S3_sparse_active_preserving,2,2,bernoulli_050,512,256,emitter,False,0.4390808462399488,0.444091796875,0.9892652525197175,0.0,0.0,0.0,0.0,0.0,136.75,272.0,2.0,1.967181490906869,1.0,0.56390380859375,0.53125,0.49285888671875,-0.00286865234375,0.0,1.0,0.4390808462399488,0.5609191537600512,30.73760876491774,0.0,0.0,0.0,0.0,0.9892652525197175,0.4205322265625,0.5794677734375,0.48122599066947824,0.4160179193030306,0.0
q2_radius2,q2r2_s3_0022,S3_sparse_active_preserving,2,2,single_seed,512,256,emitter,False,0.38133528265107214,0.484375,0.9589796341320815,0.0,0.0,0.0,0.0,0.0,128.0,128.0,2.0,1.965716761645823,1.0,0.55078125,0.25,0.47265625,-0.03125,0.0,1.0,0.38133528265107214,0.6186647173489279,27.85315184734624,0.0,0.0,0.0,0.0,0.9589796341320815,0.4140625,0.5859375,0.48600436555431775,0.397077504757815,0.0
q2_radius2,q2r2_s3_0022,S3_sparse_active_preserving,2,2,two_cell_seed,512,256,emitter,False,0.3803301656920078,0.51171875,0.9582748742306505,0.0,0.0,0.0,0.0,0.0,116.0,116.0,2.0,1.9763656221928345,1.0,0.55078125,0.2265625,0.50390625,-0.015625,0.0,1.0,0.3803301656920078,0.6196698343079923,26.71996120683276,0.0,0.0,0.0,0.0,0.9582748742306505,0.4765625,0.5234375,0.47455059529562027,0.45667786975054436,0.0
q2_radius2,q2r2_s3_0022,S3_sparse_active_preserving,2,2,short_random_block,512,256,emitter,False,0.3853796648467958,0.44439697265625,0.9617530618851109,0.0,0.0,0.0,0.0,0.0,139.4375,304.0,2.0,1.9507920636853784,1.0,0.566650390625,0.59375,0.5013427734375,0.00299072265625,0.0,1.0,0.3853796648467958,0.6146203351532042,30.652585107539128,0.0,0.0,0.0,0.0,0.9617530618851109,0.422119140625,0.577880859375,0.48445538649805264,0.40597437597640545,0.0
q2_radius2,q2r2_s3_0022,S3_sparse_active_preserving,2,2,periodic_perturbation,512,256,emitter,False,0.38441678469176416,0.51025390625,0.9611018194796447,0.0,0.0,0.0,0.0,0.0,132.9375,192.0,2.0,1.9497647795698503,1.0,0.538330078125,0.375,0.5028076171875,-0.0010986328125,0.0,1.0,0.38441678469176416,0.6155832153082359,29.812795895471528,0.0,0.0,0.0,0.0,0.9611018194796447,0.4488525390625,0.5511474609375,0.48577848176711247,0.43139299197102704,0.0
q2_radius2,q2r2_s3_0004,S3_sparse_active_preserving,2,2,bernoulli_050,512,256,emitter,False,0.4070187098333943,0.40155029296875,0.9749084958551676,0.0,0.0,0.0,0.0,0.0,272.0,516.0,2.0,1.9498967870568982,1.0,0.5797119140625,1.0078125,0.472412109375,-0.00299072265625,0.0,1.0,0.4070187098333943,0.5929812901666057,32.73515201552693,0.0,0.0,0.0,0.0,0.9749084958551676,0.403564453125,0.596435546875,0.4944776569977912,0.39343841397670704,0.0
q2_radius2,q2r2_s3_0004,S3_sparse_active_preserving,2,2,single_seed,512,256,emitter,False,0.3767361111111111,0.33984375,0.9557041861941744,0.0,0.0,0.0,0.0,0.0,516.0,516.0,2.0,1.941680510610274,1.0,0.56640625,1.0078125,0.48828125,-0.01171875,0.0,1.0,0.3767361111111111,0.6232638888888888,29.486899074572133,0.0,0.0,0.0,0.0,0.9557041861941744,0.4140625,0.5859375,0.49816326983687226,0.39572126459602536,0.0
q2_radius2,q2r2_s3_0004,S3_sparse_active_preserving,2,2,bernoulli_025,512,256,emitter,False,0.407772785506518,0.40545654296875,0.9753161779437194,0.0,0.0,0.0,0.0,0.0,299.0625,516.0,2.0,1.9497400271620133,1.0,0.57879638671875,1.0078125,0.47637939453125,-0.0032958984375,0.0,1.0,0.407772785506518,0.5922272144934819,34.202637016802605,0.0,0.0,0.0,0.0,0.9753161779437194,0.4061279296875,0.5938720703125,0.49380956307935764,0.3961031401390081,0.0
q2_radius2,q2r2_s3_0004,S3_sparse_active_preserving,2,2,two_cell_seed,512,256,emitter,False,0.371390716374269,0.3984375,0.9517339395276228,0.0,0.0,0.0,0.0,0.0,264.0,264.0,2.0,1.8860287294326397,1.0,0.59765625,0.515625,0.48046875,-0.01953125,0.0,1.0,0.371390716374269,0.628609283625731,36.45545426539163,0.0,0.0,0.0,0.0,0.9517339395276228,0.3984375,0.6015625,0.5077399183168824,0.3792064915305372,0.0
q2_radius2,q2r2_s3_0004,S3_sparse_active_preserving,2,2,periodic_perturbation,512,256,emitter,False,0.3866718730963694,0.4296875,0.9626181712162863,0.0,0.0,0.0,0.0,0.0,286.875,320.0,2.0,1.986590460882003,1.0,0.5546875,0.625,0.4453125,-0.015625,0.0,1.0,0.3866718730963694,0.6133281269036306,26.74273170110111,0.0,0.0,0.0,0.0,0.9626181712162863,0.40625,0.59375,0.4772639393123558,0.3910636320566163,0.0
