space,rule_id,stratum,q,radius,table_digest,table_json,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,classification,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,stage1_score,relation_asymmetry_priority
q3_radius1,q3r1_s4_0013,S4_neighbor_dependent,3,1,055445743678,"[0,0,0,0,0,2,0,0,0,1,2,2,1,0,1,1,0,0,0,2,1,2,1,2,1,2,0]",0.16968495528726793,0.16483561197916669,0.35871786781836995,0.125,0.125,0.0,0.125,0.125,130.125,147.0,1.625,0.808072025859476,0.875,0.822235107421875,0.765625,0.22202555338541669,-0.05330403645833333,0.125,0.875,0.16968495528726793,0.8303150447127321,250000032.02805033,0.125,0.125,0.3802083333333333,0.2143229166666667,0.35871786781836995,0.20402018229166669,0.7959798177083333,0.5567324452054099,0.16201409040192105,transported_identity,True,2,True,False,0.37037037037037035,1.5175287893989997,0.04254593486689695,0.0,True,True,0.12019316718967334,0.40509548941704715
q3_radius1,q3r1_s4_0014,S4_neighbor_dependent,3,1,f62ba809cda5,"[2,1,2,2,1,1,1,1,2,2,2,1,1,1,0,1,1,2,1,2,2,0,1,2,0,2,0]",0.8448393036046794,0.9717915852864583,0.7158522782655596,0.0,0.0,0.0,0.0,0.0,163.09375,187.0,4.625,2.8528824299625333,0.8854166666666666,0.6997172037760416,0.9739583333333333,0.3099263509114583,-0.037516276041666664,0.0,0.9244791666666666,0.8448393036046794,0.1551606963953206,28.552844878938245,0.0,0.0,0.0,0.0,0.7158522782655596,0.16642252604166669,0.8335774739583333,0.05673792790982339,0.10405446532344478,mixed,True,2,True,False,0.4444444444444444,1.4558764720277595,0.08144421627304277,0.0,True,True,0.1942954650805103,0.6692399352773133
q3_radius1,q3r1_s4_0012,S4_neighbor_dependent,3,1,b4468ad38878,"[0,1,2,2,0,1,1,1,1,1,0,0,2,0,0,2,0,2,0,2,2,0,0,2,0,0,2]",0.4823422341354976,0.5910441080729166,0.9195895128598879,0.0,0.0,0.0,0.0,0.0,175.67708333333331,188.5,2.0,2.4588558867654697,1.0,0.39631144205729163,0.9817708333333333,0.6542154947916667,-0.018364800347222224,0.0,1.0,0.4823422341354976,0.5176577658645024,33.42164553170052,0.0,0.0,0.0,0.0,0.9195895128598879,0.686798095703125,0.313201904296875,0.401623040461038,0.6322067648699743,chaotic,True,2,True,False,0.5185185185185185,1.5304930567574826,0.0343663928571748,0.0,True,True,0.09535888713986938,0.33552201030694784
q3_radius1,q3r1_s4_0016,S4_neighbor_dependent,3,1,9d667ba7a60d,"[1,0,2,1,2,0,0,2,1,1,2,1,1,1,0,1,1,1,0,0,1,2,2,1,2,2,0]",0.7733791002131908,0.7330322265625,0.8460467693599574,0.0,0.0,0.0,0.0,0.0,190.75,195.0,4.125,2.015808500234984,0.9921875,0.5784505208333334,1.015625,0.5326741536458333,-0.036322699652777776,0.0,1.0,0.7733791002131908,0.22662089978680913,37.7268857593196,0.0,0.0,0.0,0.0,0.8460467693599574,0.5716756184895834,0.4283243815104167,0.19608453612885024,0.48423583906960554,emitter_or_generator,True,2,True,False,0.6666666666666666,1.5448491887169091,0.02530868205777448,0.0,True,True,0.1589201630065787,0.5827072643574552
q3_radius1,q3r1_s4_0015,S4_neighbor_dependent,3,1,0355025d5b7a,"[1,2,0,1,1,2,2,1,0,2,0,1,1,2,1,1,1,2,2,1,2,1,1,1,1,0,1]",0.7871687235198079,0.714324951171875,0.9291852701094917,0.0,0.0,0.005208333333333333,0.0,0.005208333333333333,193.41666666666669,195.0,1.625,2.3556076971246487,0.9947916666666667,0.4805094401041667,1.015625,0.5579630533854167,0.013807508680555554,0.0,0.9947916666666667,0.7871687235198079,0.21283127648019215,47.48161830202268,0.0,0.005208333333333333,0.005208333333333333,0.0018229166666666665,0.9291852701094917,0.6968892415364583,0.30311075846354163,0.2798302169736825,0.6478489333329749,chaotic,True,2,True,False,0.2962962962962963,1.3992075416402174,0.11719833055761275,0.0,True,True,0.09424188617457267,0.31064918035322103
q3_radius1,q3r1_s4_0022,S4_neighbor_dependent,3,1,13f59733e304,"[2,2,0,2,2,0,2,0,1,2,0,1,1,0,1,1,1,1,1,2,0,2,1,1,0,2,0]",0.5218053629978952,0.24854532877604163,0.738600411253473,0.39322916666666663,0.39322916666666663,0.0,0.0,0.39322916666666663,118.8125,126.5,1.625,2.12300370988738,0.609375,0.7826639811197917,0.6588541666666666,0.23405965169270831,-0.04229058159722222,0.75,0.6067708333333334,0.5218053629978952,0.4781946370021049,2.4766933537833764,0.0,0.39322916666666663,0.39322916666666663,0.13763020833333334,0.738600411253473,0.073150634765625,0.926849365234375,0.1622024422778398,0.06268936228307609,transported_identity,True,2,True,False,0.5185185185185185,1.5790132072799712,0.0037535862447710677,0.0,False,False,0.1480740595569918,0.5210013206634897
q3_radius1,q3r1_s4_0018,S4_neighbor_dependent,3,1,9f055f47fc07,"[0,0,1,0,1,0,0,1,2,1,0,0,1,2,2,1,0,1,2,2,1,2,0,0,2,1,0]",0.1884355034441116,0.179779052734375,0.40544818924179404,0.0,0.0,0.0,0.0,0.0,141.61458333333334,162.5,1.5,0.8085482196541087,1.0,0.805084228515625,0.8463541666666666,0.21119181315104169,-0.04918077256944445,0.0,1.0,0.1884355034441116,0.8115644965558884,250000100.0199442,0.0,0.0,0.375,0.13124999999999998,0.40544818924179404,0.26202392578125,0.73797607421875,0.6849239826528137,0.21935766971052456,transported_identity,True,2,True,False,0.37037037037037035,1.561015010593309,0.015109184045017487,0.0,False,False,0.11530955934907439,0.388635922250584
q3_radius1,q3r1_s4_0020,S4_neighbor_dependent,3,1,9da9e748fe86,"[1,2,0,0,0,2,0,1,2,1,0,1,1,1,1,1,2,2,1,0,0,2,1,0,0,0,2]",0.9124684704400097,0.9184163411458333,0.36495110877093695,0.0,0.0,0.0,0.0,0.0,102.51041666666667,124.0,3.0,1.9098568601569004,0.5130208333333334,0.827117919921875,0.6458333333333333,0.19005330403645834,-0.051025390625,0.0,0.9817708333333333,0.9124684704400097,0.0875315295599903,240.016073959173,0.0,0.0,0.3802083333333333,0.13307291666666665,0.36495110877093695,0.1614990234375,0.8385009765625,0.08053124192044205,0.10840885246755892,transported_identity,True,2,True,False,0.4444444444444444,1.5663672668986361,0.011732286293246186,0.0,False,False,0.12150416712937775,0.41851435344563453
q3_radius1,q3r1_s4_0017,S4_neighbor_dependent,3,1,6fc1afd73c8a,"[0,2,0,2,1,0,1,2,2,1,0,1,1,1,0,0,0,0,2,2,1,0,0,1,1,0,2]",0.4714338602385578,0.6044820149739583,0.861752500496344,0.0,0.0,0.0,0.0,0.0,194.55208333333334,196.0,1.75,1.5069650657875058,1.0,0.5619608561197917,1.0208333333333333,0.47491455078125,-0.030870225694444444,0.0,1.0,0.4714338602385578,0.5285661397614422,19.83702694745203,0.0,0.0,0.0,0.0,0.861752500496344,0.6999613444010417,0.30003865559895837,0.5704248038555191,0.5954643443525772,emitter_or_generator,True,2,True,False,0.37037037037037035,1.561015010593309,0.015109184045017487,0.0,False,False,0.10796384616021368,0.36387814816960906
q3_radius1,q3r1_s4_0019,S4_neighbor_dependent,3,1,03d0c39ec8ad,"[2,0,1,1,1,2,1,0,0,1,1,1,0,0,0,2,1,2,1,0,0,1,2,0,1,2,1]",0.634335216462921,0.6230672200520834,0.9430823736498983,0.0,0.0,0.0,0.0,0.0,98.4375,117.5,2.0,2.4176467905003065,1.0,0.4416910807291667,0.6119791666666666,0.603057861328125,-0.017279730902777773,0.0,1.0,0.634335216462921,0.365664783537079,22.7323513405171,0.0,0.0,0.0,0.0,0.9430823736498983,0.5762227376302084,0.4237772623697917,0.3334101322417835,0.5434080447756173,emitter_or_generator,True,2,True,False,0.5185185185185185,1.5304930567574824,0.03436639285717491,0.0,True,True,0.12162024331979066,0.42792307834741156
