space,rule_id,stratum,q,radius,table_digest,table_json,active_fraction_mean,active_fraction_final,symbol_entropy_mean,extinction_rate,all_zero_attractor_rate,all_one_attractor_rate,global_fixed_point_rate,global_periodic_rate,localized_component_lifetime_mean,localized_component_lifetime_max,component_size_median,component_size_entropy,persistent_component_count,recurrence_up_to_shift,motif_survival_depth,motif_material_turnover,translation_velocity_estimate,period_estimate,pattern_background_contrast,local_entropy_inside_pattern,local_entropy_outside_pattern,signal_to_background_ratio,exact_static_fraction,global_period_fraction,low_turnover_persistence_fraction,frozen_order_index,activity_entropy,damage_spreading_rate,compressibility_proxy,component_fragmentation_rate,chaos_index,classification,depends_center,relation_degree,relation_complete,self_only,left_right_asymmetry,output_entropy,temporal_irreversibility_proxy,directional_consequence,DAR_complete_structural,DAR_asymmetric_structural,stage1_score,relation_asymmetry_priority
q2_radius2,q2r2_s2_0047,S2_quiescent_preserving,2,2,008b21331bec,"[0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1]",0.5463372440810306,0.6361897786458334,0.9817581607236286,0.0,0.0,0.0,0.0,0.0,168.73611111111111,172.0,2.6666666666666665,2.4231909309479946,1.0,0.5992024739583333,0.8958333333333331,0.4837510850694445,-0.00047019675925925875,0.0,1.0,0.5463372440810306,0.45366275591896943,43.290933714492446,0.0,0.0,0.0,0.0,0.9817581607236286,0.38161892361111116,0.618381076388889,0.3748644493568729,0.3749056362474947,emitter_or_generator,True,4,True,False,0.1875,0.954434002924965,0.04556599707503495,0.0,True,True,0.18119288208070247,0.9399380757936441
q2_radius2,q2r2_s1_0043,S1_random_unbiased,2,2,82c08174aca5,"[1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1]",0.6843741004605642,0.6171196831597222,0.6276453931635161,0.0,0.0,0.0,0.0,0.0,192.20833333333334,196.0,1.0,0.47573405464292845,1.0,0.7311197916666666,1.0208333333333333,0.3004557291666667,-0.05747251157407407,0.0,1.0,0.6843741004605642,0.3156258995394358,68.86468119612236,0.0,0.0,0.0,0.0,0.6276453931635161,0.24107530381944445,0.7589246961805557,0.30283540133203374,0.1787194501108705,transported_identity,True,4,True,False,0.4375,0.9971803988942642,0.0028196011057357584,0.0,False,False,0.18040998397319147,0.9809792878542286
q2_radius2,q2r2_s3_0044,S3_sparse_active_preserving,2,2,f1cc85f2b8b6,"[0,1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0]",0.4779966329114494,0.534030490451389,0.9952546909206784,0.0,0.0,0.0,0.0,0.0,193.5,196.0,1.0,1.964150178586113,1.0,0.5923258463541666,1.0208333333333333,0.503024631076389,0.030201099537037035,0.0,1.0,0.4779966329114494,0.5220033670885508,34.90195158300178,0.0,0.0,0.0,0.0,0.9952546909206784,0.3973524305555555,0.6026475694444444,0.41506012690961996,0.395468441444611,emitter_or_generator,True,4,True,False,0.3125,0.9971803988942642,0.0028196011057357584,0.0,False,False,0.1801228924234024,0.9569028659993253
q2_radius2,q2r2_s4_0027,S4_neighbor_dependent,2,2,fdd8d7b22a08,"[0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0]",0.20077284492839667,0.2792154947916667,0.702521986041127,0.0,0.0,0.0,0.0,0.0,75.23611111111113,110.66666666666667,1.0,0.9840524391575286,1.0,0.6758355034722223,0.576388888888889,0.37079535590277785,-0.031901041666666664,0.0,1.0,0.20077284492839667,0.7992271550716032,33.77766519748705,0.0,0.0,0.0,0.0,0.702521986041127,0.4014485677083333,0.5985514322916666,0.7150112440264386,0.2839815336077769,emitter_or_generator,True,4,True,False,0.4375,0.9744894033980523,0.025510596601947655,0.0,True,True,0.17943184050219338,0.9756606327306765
q2_radius2,q2r2_s5_0027,S5_asymmetric_neighbor_dependent,2,2,ba02dfeb89d1,"[0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0]",0.41928278034146516,0.44304741753472215,0.9768749731472419,0.0,0.0,0.0,0.0,0.0,82.15277777777779,124.0,1.8333333333333333,2.1228905296057756,1.0,0.5603976779513888,0.6458333333333334,0.5056559244791666,-0.0062210648148148156,0.0,1.0,0.41928278034146516,0.5807172196585348,26.807335997728966,0.0,0.0,0.0,0.0,0.9768749731472419,0.3844129774305555,0.6155870225694444,0.46794701032576497,0.37551152805131643,emitter_or_generator,True,4,True,False,0.3125,1.0,0.0,0.0,False,False,0.17696030281181976,0.9401016086877925
q2_radius2,q2r2_s2_0017,S2_quiescent_preserving,2,2,8b536c07c167,"[0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1]",0.6303611144843839,0.752197265625,0.8008977087236375,0.0,0.0,0.08680555555555557,0.08680555555555557,0.08680555555555557,134.18055555555557,162.0,2.1666666666666665,2.574345338311534,0.9131944444444445,0.6454942491319444,0.8437499999999999,0.41228569878472227,-0.027596932870370367,0.16666666666666666,0.9131944444444445,0.6303611144843839,0.3696388855156161,28.892810014926336,0.08680555555555557,0.08680555555555557,0.08680555555555557,0.08680555555555557,0.8008977087236375,0.2895236545138889,0.7104763454861112,0.25141576202183646,0.27205602430517456,emitter_or_generator,True,4,True,False,0.25,0.954434002924965,0.04556599707503495,0.0,True,True,0.17690978911082764,0.9287763928318451
q2_radius2,q2r2_s5_0029,S5_asymmetric_neighbor_dependent,2,2,2f9981909c5d,"[0,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,0,0]",0.5182591747400331,0.5811631944444444,0.9951062277426302,0.0,0.0,0.0,0.0,0.0,194.86111111111111,196.0,2.0,2.0247757679308243,1.0,0.5963541666666666,1.0208333333333333,0.4752061631944444,0.017939814814814815,0.0,1.0,0.5182591747400331,0.48174082525996686,19.056053052773564,0.0,0.0,0.0,0.0,0.9951062277426302,0.37795681423611116,0.622043185763889,0.3615339300111855,0.3760375414121964,emitter_or_generator,True,4,True,False,0.375,0.9744894033980523,0.025510596601947655,0.0,True,True,0.17682545457380236,0.9504368183341877
q2_radius2,q2r2_s3_0020,S3_sparse_active_preserving,2,2,5554835c7d5b,"[0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1]",0.3376911099641983,0.4016384548611111,0.8864667472689702,0.0,0.0,0.0,0.0,0.0,94.90277777777777,142.0,1.0,1.6477701820431794,1.0,0.6248779296875,0.7395833333333334,0.4598388671875,-0.028428819444444448,0.0,1.0,0.3376911099641983,0.6623088900358017,28.29759268821519,0.0,0.0,0.0,0.0,0.8864667472689702,0.4375,0.5625,0.5845094868744372,0.3897748052046533,emitter_or_generator,True,4,True,False,0.4375,0.9971803988942642,0.0028196011057357584,0.0,False,False,0.17534403536791876,0.9534331923130582
q2_radius2,q2r2_s3_0001,S3_sparse_active_preserving,2,2,e5a90b99cc11,"[0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0]",0.4169311172054908,0.47062174479166674,0.95324685560985,0.07986111111111112,0.07986111111111112,0.0,0.07986111111111112,0.07986111111111112,95.91666666666664,155.33333333333334,2.0,2.702890531119602,0.9201388888888888,0.5898708767361112,0.8090277777777777,0.4508463541666667,-0.020833333333333332,0.0,0.9201388888888888,0.4169311172054908,0.5830688827945092,19.292855417702857,0.07986111111111112,0.07986111111111112,0.07986111111111112,0.0798611111111111,0.95324685560985,0.2955729166666667,0.7044270833333334,0.3173536756237411,0.28635838940920616,emitter_or_generator,True,4,True,False,0.25,0.954434002924965,0.04556599707503495,0.0,True,True,0.17463008584810286,0.91680795070254
q2_radius2,q2r2_s3_0011,S3_sparse_active_preserving,2,2,366a22a2677e,"[0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0]",0.4129966863216033,0.4586995442708333,0.9747204081141781,0.0,0.0,0.0,0.0,0.0,81.7361111111111,124.66666666666667,2.0,2.2175107044362705,1.0,0.5594482421875,0.6493055555555555,0.4947238498263889,-0.0023871527777777762,0.0,1.0,0.4129966863216033,0.5870033136783966,24.021414454138938,0.0,0.0,0.0,0.0,0.9747204081141781,0.3822157118055555,0.6177842881944444,0.4325063621900032,0.3725693369304642,emitter_or_generator,True,4,True,False,0.125,1.0,0.0,0.0,False,False,0.17365548301855596,0.8899843504700993
