world,seed,T,branch_probability,loop_closure_rate,nontrivial_loop_closure_rate,holonomy_diversity_proxy,trivial_closure_rate
W1_distinction_only,37,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,39,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,38,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,41,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,42,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,40,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,43,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,44,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,45,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,46,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,47,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,48,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,49,50,0.1,0.0,0.0,0.0,1.0
W1_distinction_only,0,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,1,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,2,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,3,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,4,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,5,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,7,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,6,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,9,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,8,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,10,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,11,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,13,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,12,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,15,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,14,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,16,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,18,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,17,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,19,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,20,50,0.25,0.0,0.0,0.0,1.0
W1_distinction_only,21,50,0.25,0.0,0.0,0.0,1.0
