variant_id,perturbation_family,perturbation_strength,alpha,T,kappa,metric,mean,std,se,ci_low,ci_high,ci_width,ci_excludes_zero
initial_location_000,initial_location,mild,0.45,1500,center_of_mass,Delta_depth_vs_shuffled,0.09189938988207699,0.006561287489936439,0.0005187153212842065,0.09093570673037528,0.0928569392301478,0.0019212324997725239,True
initial_location_000,initial_location,mild,0.45,1500,center_of_mass,Delta_depth_vs_product,0.09163699293689251,0.006794799899756458,0.0005371760982078547,0.09051746452125214,0.09261654366938345,0.0020990791481313026,True
initial_location_000,initial_location,mild,0.45,1500,center_of_mass,Delta_robust_reachability_vs_shuffled,0.06900203289740106,0.0038684492867320118,0.00030582776897317355,0.0684276835148208,0.06958969825445434,0.0011620147396335379,True
initial_location_000,initial_location,mild,0.45,1500,center_of_mass,Delta_robust_reachability_vs_product,0.06900057136337243,0.004055538365565307,0.0003206184593345738,0.06835969726053762,0.06962411734361194,0.0012644200830743274,True
initial_location_000,initial_location,mild,0.45,1500,center_of_mass,component_B_preservation,0.7741974677186457,0.004348757785062143,0.0003437994898296334,0.7735436054937911,0.7748907634503596,0.0013471579565684788,True
initial_location_000,initial_location,mild,0.45,1500,center_of_mass,lower_rank_erasure_score,0.11290126614067711,0.002174378892531068,0.00017189974491481642,0.1125747001362551,0.11322376155191613,0.0006490614156610258,True
initial_location_000,initial_location,mild,0.45,1500,center_of_mass,singleton_fraction,0.36563030337409463,0.014560860922960163,0.0011511371302373912,0.3635431909886697,0.36775925906133383,0.004216068072664114,True
initial_location_000,initial_location,mild,0.45,1500,joint_basin,Delta_viable_propagation_vs_shuffled,-0.05456803275122239,0.05726998527032708,0.004527589875463187,-0.06333960054000999,-0.045673226456588084,0.017666374083421907,True
initial_location_000,initial_location,mild,0.45,1500,joint_basin,Delta_viable_propagation_vs_product,-0.04442312556526665,0.059460905864298856,0.004700797356701181,-0.05289601360750051,-0.03565038998081973,0.01724562362668078,True
initial_location_000,initial_location,mild,0.45,1500,joint_basin,Delta_depth_vs_shuffled,-0.004575301705456671,0.0013005683829619868,0.0001028189585740501,-0.004767868670995828,-0.004377113438797099,0.00039075523219872944,True
initial_location_000,initial_location,mild,0.45,1500,joint_basin,Delta_depth_vs_product,-0.004721104941978663,0.0013829626438542778,0.00010933279683769453,-0.004940164139930507,-0.004511498998898664,0.0004286651410318424,True
initial_location_000,initial_location,mild,0.45,1500,joint_basin,Delta_robust_reachability_vs_shuffled,0.36976104163671397,0.0027699938616995976,0.0002189872426914044,0.3693573408449601,0.3701872522196467,0.0008299113746866316,True
initial_location_000,initial_location,mild,0.45,1500,joint_basin,Delta_robust_reachability_vs_product,0.3698434825727282,0.0029006325497589708,0.00022931513781150094,0.3693887797080796,0.3702998686043941,0.0009110888963145269,True
initial_location_000,initial_location,mild,0.45,1500,joint_basin,component_B_preservation,0.999946916746121,0.0004970696436444315,3.929680574111607e-05,0.9998499471235693,1.0,0.0001500528764306619,True
initial_location_000,initial_location,mild,0.45,1500,joint_basin,lower_rank_erasure_score,2.6541626939459374e-05,0.0002485348218222142,1.9648402870557914e-05,0.0,7.866340589069625e-05,7.866340589069625e-05,False
initial_location_000,initial_location,mild,0.45,1500,joint_basin,singleton_fraction,0.43215080287801727,0.01726275773338291,0.0013647408283293926,0.4294583663532522,0.4345908447004758,0.005132478347223635,True
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,Delta_viable_propagation_vs_shuffled,-0.24854542918657394,0.1053581136398033,0.008329290227015784,-0.2657026027712779,-0.23212782074769478,0.033574782023583105,True
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,Delta_viable_propagation_vs_product,-0.24812343853322996,0.10880693626212626,0.008601943595327165,-0.2648490890736333,-0.23214083704087263,0.032708252032760676,True
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,Delta_depth_vs_shuffled,-0.00031901319891963764,0.001741994455459236,0.00013771675376589808,-0.0005933483297796286,-3.101898758853743e-05,0.0005623293421910911,True
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,Delta_depth_vs_product,-0.0002420369689874878,0.0016750275411860276,0.00013242255434148362,-0.0005057259589927675,9.251980162092976e-06,0.0005149779391548604,False
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,Delta_robust_reachability_vs_shuffled,-0.22988707903765654,0.002558300371425234,0.00020225140281396212,-0.23027888202426633,-0.2294806472149819,0.000798234809284426,True
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,Delta_robust_reachability_vs_product,-0.22939469259526324,0.002504044540191486,0.00019796210273785345,-0.22977579806124343,-0.22900889230265675,0.0007669057585866779,True
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,component_B_preservation,1.0,0.0,0.0,1.0,1.0,0.0,True
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,lower_rank_erasure_score,0.0,0.0,0.0,0.0,0.0,0.0,False
initial_location_000,initial_location,mild,0.45,2400,boundary_v2_regime_sequence,singleton_fraction,0.3361255641342232,0.10664253066426363,0.008430832308585556,0.3196664762295507,0.35276999876789444,0.033103522538343755,True
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,Delta_viable_propagation_vs_shuffled,0.07812583038978851,0.00800587092247764,0.0006329196692085663,0.07695120153772332,0.07933797219403378,0.0023867706563104607,True
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,Delta_viable_propagation_vs_product,0.07736966416545596,0.008459662555081831,0.0006687950477624556,0.07608215056087922,0.07865056255122518,0.0025684119903459646,True
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,Delta_depth_vs_shuffled,0.1698371556087767,0.006789860197940616,0.0005367855804903514,0.1688094966019249,0.17081981326205128,0.002010316660126382,True
initial_location_000,initial_location,mild,0.45,2400,center_of_mass,Delta_depth_vs_product,0.169587731045224,0.00706068810621418,0.000558196406592442,0.16854820482894034,0.170660307049363,0.002112102220422657,True
