condition,kappa,alpha,T,seed,component_threshold,p_viable,node_count,node_entropy,node_singleton_fraction,macro_path_entropy,fiber_entropy,singleton_fraction,small_fiber_fraction,certified_node_fraction,certified_edge_count,certified_edge_fraction,transport_survival_mean,certified_path_count,certified_path_mass_survival_to_final_segment,multi_step_transport_depth,mean_certified_path_length,max_certified_path_length,component_A_preservation,component_B_preservation,component_balance,lower_rank_erasure_score,edge_component_balance_mean,nonfragmentation,viable_propagation_index,delta_vs_product,delta_vs_shuffled,delta_vs_time_shuffled,component_necessity_A,component_necessity_B,component_necessity_min,ordered_edge_predictivity,edge_order_delta_vs_time_shuffled,edge_order_delta_vs_endpoint_fakeout,local_edge_survival_min,edge_transition_consistency,within_fiber_A_diversity,within_fiber_B_diversity,within_fiber_component_balance,within_fiber_effective_radius,rigid_collapse_diversity_delta,early_edge_survival,middle_edge_survival,late_edge_survival,late_to_early_transport_ratio,final_segment_certified_mass,delayed_trap_late_delta,base_signal_positive
delayed_trap,boundary_v2_regime_sequence,0.5,900,3.5,0.6,0.99875,15.75,0.6316592984653344,0.26145833333333335,0.6316592984653344,0.6316592984653344,0.0,0.0,0.7385416666666667,13.0,0.6288576761402849,0.9978935147517035,993.125,0.9943688588236932,0.9947085026481681,5.971093166484808,6.0,1.0,1.0,1.0,0.0,0.2323708729123557,1.0,0.9922749797912165,,,,,,,,,,,,,,,,,,,,,,,1.0
delayed_trap,center_of_mass,0.5,900,3.5,0.6,0.99875,37.875,1.8955543779001394,0.12641118562171189,1.8955543779001394,1.8955543779001394,0.02525252525252525,0.08964646464646464,0.8735888143782881,50.0,0.6542074849857263,0.8658897735259706,657.5,0.6583113458274413,0.6607370859654513,3.9916715870172754,6.0,1.0,0.5996658693071666,0.5996658693071666,0.40033413069283336,0.21814981620740054,0.9747474747474747,0.3330212471865868,,,,,,,,,,,,,,,,,,,,,,,1.0
delayed_trap,component_A_only,0.5,900,3.5,0.6,0.99875,55.75,2.412851542993195,0.15716092581136654,2.412851542993195,2.412851542993195,0.04317434210526315,0.11087461300309596,0.8428390741886334,22.375,0.1845725122938936,0.03750466292674349,0.0,0.0,0.016376842510507375,0.17558529144471507,3.0,0.9435430817956426,0.4705766690609474,0.4705766690609474,0.5294233309390526,0.21742118685733947,0.9568256578947368,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
delayed_trap,component_B_only,0.5,900,3.5,0.6,0.99875,23.375,1.5258158993520679,0.11105566534914357,1.5258158993520679,1.5258158993520679,0.0,0.05357142857142855,0.8889443346508564,45.125,0.8856012106313275,0.9978510959103384,992.0,0.9932409761724686,0.9936702399525273,5.965831511760813,6.0,1.0,0.7441307983866963,0.7441307983866963,0.2558692016133037,0.18822890218853278,1.0,0.7375223853113015,,,,,,,,,,,,,,,,,,,,,,,1.0
delayed_trap,hash_high_cardinality,0.5,900,3.5,0.6,0.99875,2204.125,7.325535350838963,0.9432150903679359,7.325535350838963,7.325535350838963,0.40522696152613624,0.7941529423241893,0.05678490963206405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31133820348411423,0.1550565420338556,0.1550565420338556,0.8449434579661443,0.22791734910223796,0.5947730384738638,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
delayed_trap,joint_basin,0.5,900,3.5,0.6,0.99875,21.75,1.1527887365626612,0.27564229249011857,1.1527887365626612,1.1527887365626612,0.025,0.1,0.7243577075098814,28.5,0.7170492889934184,0.9968505324721547,990.5,0.9917404756749892,0.9924909227892473,5.959448613065464,6.0,1.0,0.9846845067311915,0.9846845067311915,0.015315493268808475,0.22427551231369428,0.975,0.9493232513175406,,,,,,,,,,,,,,,,,,,,,,,1.0
delayed_trap,random_balanced_k_COM_cardinality,0.5,900,3.5,0.6,0.99875,52.5,2.9029817603783554,0.0,2.9029817603783554,2.9029817603783554,0.0,0.0,1.0,339.0,1.0,1.0,998.75,1.0,1.0,6.0,6.0,0.7867536280543058,0.3915527236932552,0.3915527236932552,0.6084472763067448,0.16512572133929598,1.0,0.3915527236932552,,,,,,,,,,,,,,,,,,,,,,,1.0
delayed_trap,time_shuffled_COM,0.5,900,3.5,0.6,0.99875,37.875,1.8955543779001394,0.12641118562171189,1.8955543779001394,1.8955543779001394,0.02525252525252525,0.08964646464646464,0.8735888143782881,52.0,0.6871833322849157,0.8365147862886306,621.0,0.6217649809762197,0.6709468479506437,4.253360869751974,6.0,1.0,0.5996658693071666,0.5996658693071666,0.40033413069283336,0.14529708062988464,0.9747474747474747,0.3036124809879769,,,,,,,,,,,,,,,,,,,,,,,1.0
endpoint_fakeout,basin_transition_profile,0.5,900,3.5,0.6,0.99875,102.125,2.8232152532313193,0.3228121410681876,2.8232152532313193,2.8232152532313193,0.04012882447665055,0.09662677499634018,0.6771878589318123,163.375,0.6942169241918733,0.9813721881790967,952.125,0.9533152201384086,0.9645505340153211,5.825029056590575,6.0,0.9835419552239306,0.5577490695579678,0.5577490695579678,0.4422509304420322,0.3108658984228382,0.9598711755233494,0.500919499103395,,,,,,,,,,,,,,,,,,,,,,,1.0
endpoint_fakeout,boundary_v2_regime_sequence,0.5,900,3.5,0.6,0.99875,19.875,0.7096988999002642,0.30998471557682084,0.7096988999002642,0.7096988999002642,0.0,0.0,0.6900152844231792,20.0,0.6252843627384068,0.9967255325139466,991.375,0.9926162279332716,0.9930392822620541,5.95995149973778,6.0,1.0,1.0,1.0,0.0,0.2907343780684639,1.0,0.9893674401437164,,,,,,,,,,,,,,,,,,,,,,,1.0
endpoint_fakeout,center_of_mass,0.5,900,3.5,0.6,0.99875,54.25,2.1967525387161615,0.1687556053874551,2.1967525387161615,2.1967525387161615,0.0125,0.08686868686868687,0.831244394612545,77.875,0.592381217981508,0.7903561487802279,604.25,0.6049991916065569,0.6158166382854524,3.765917847051847,6.0,1.0,0.7168532509462608,0.7168532509462608,0.28314674905373916,0.2716914211253379,0.9875,0.33845202848513545,,,,,,,,,,,,,,,,,,,,,,,1.0
endpoint_fakeout,component_A_only,0.5,900,3.5,0.6,0.99875,88.25,3.101009636882597,0.18601382680134448,3.101009636882597,3.101009636882597,0.03517371861025111,0.10674664602683176,0.8139861731986555,68.875,0.24641369994971685,0.12169130400933964,56.625,0.05669492805394424,0.06253565533301306,0.4033735219573824,6.0,0.895664869946918,0.5077985738223444,0.5077985738223444,0.49220142617765555,0.27771284755081693,0.9648262813897488,0.0033866139879394626,,,,,,,,,,,,,,,,,,,,,,,1.0
endpoint_fakeout,component_B_only,0.5,900,3.5,0.6,0.99875,37.875,2.0079516786077924,0.12811508370718894,2.0079516786077924,2.0079516786077924,0.03125,0.046875,0.8718849162928111,95.5,0.8988839183857807,0.9973302210791004,989.875,0.9911143472890762,0.9933255639415861,5.965960653714535,6.0,1.0,0.7842091634280891,0.7842091634280891,0.21579083657191084,0.2465339662814562,0.96875,0.7509091353588889,,,,,,,,,,,,,,,,,,,,,,,1.0
endpoint_fakeout,hash_high_cardinality,0.5,900,3.5,0.6,0.99875,3887.375,10.133501582481461,0.9538154564256068,10.133501582481461,10.133501582481461,0.34574566860999356,0.7140503447257736,0.04618454357439314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27408651001512824,0.15538649816067301,0.15538649816067301,0.8446135018393269,0.21242745574371566,0.6542543313900064,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0
