parent_rule_id,rule_id,control_type,stable_product_rate,phase_sensitive_outcome_rate,new_motif_rate,emission_rate,interaction_outcome_diversity,dominant_interaction_outcome
q3r1_s7_0017,q3r1_s7_0017_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,1.0,0.0,0.3333333333333333,0.9182958340544896,chaotic_explosion
q3r1_s7_0017,q3r1_s7_0017_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,chaotic_explosion
q3r1_s7_0017,q3r1_s7_0017_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0018,q3r1_s7_0018,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0018,q3r1_s7_0018_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s7_0018,q3r1_s7_0018_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0018,q3r1_s7_0018_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s7_0018,q3r1_s7_0018_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0021,q3r1_s7_0021,raw,0.0,1.0,0.0,0.5,1.0,pass_through
q3r1_s7_0021,q3r1_s7_0021_center_only_projection,center_only_projection,0.5,1.0,0.5,0.0,1.0,pass_through
q3r1_s7_0021,q3r1_s7_0021_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,1.0,0.0,0.5,1.0,pass_through
q3r1_s7_0021,q3r1_s7_0021_symbol_phase_only,symbol_phase_only,0.5,1.0,0.5,0.0,1.0,collapse
q3r1_s7_0021,q3r1_s7_0021_output_histogram_random,output_distribution_matched_random,0.5,1.0,0.5,0.0,1.0,collapse
q3r1_s7_0022,q3r1_s7_0022,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0022,q3r1_s7_0022_center_only_projection,center_only_projection,0.0,0.0,0.0,0.0,-0.0,collapse
q3r1_s7_0022,q3r1_s7_0022_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0022,q3r1_s7_0022_symbol_phase_only,symbol_phase_only,0.0,0.0,0.0,0.0,-0.0,pass_through
q3r1_s7_0022,q3r1_s7_0022_output_histogram_random,output_distribution_matched_random,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0023,q3r1_s7_0023,raw,0.0,0.0,0.0,1.0,-0.0,emission
q3r1_s7_0023,q3r1_s7_0023_center_only_projection,center_only_projection,0.5,1.0,0.5,0.0,1.0,collapse
q3r1_s7_0023,q3r1_s7_0023_left_right_symmetrized_rule,left_right_symmetrized_rule,0.0,0.0,0.0,1.0,-0.0,emission
