space,parent_rule_id,rule_id,control_type,dominant_active_neighborhood,dominant_active_neighborhood_count,mechanism_label,symbol_turnover_by_phase_proxy,phase_sequence_length
q3_radius1,q3r1_s7_0000,q3r1_s7_0017,stratum_null_q3r1_s7_0017,"(2, 2, 2)",777,travelling,0.5352783203125,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0001_left_neighbor_removed,left_neighbor_removed,"(1, 1, 1)",637,domain-wall-like,0.2554931640625,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0001_right_neighbor_removed,right_neighbor_removed,"(1, 1, 1)",878,travelling,0.254638671875,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0001,raw,"(1, 1, 1)",768,travelling,0.4427490234375,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0001_center_only_projection,center_only_projection,"(0, 1, 0)",260,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0001,q3r1_s7_0001_left_right_symmetrized_rule,left_right_symmetrized_rule,"(1, 1, 1)",812,travelling,0.448974609375,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0018,stratum_null_q3r1_s7_0018,"(0, 2, 0)",258,travelling,0.1005859375,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0008,stratum_null_q3r1_s7_0008,"(0, 1, 1)",162,travelling,0.53125,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0001_symbol_phase_only,symbol_phase_only,"(0, 1, 0)",306,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0001,q3r1_s7_0024,stratum_null_q3r1_s7_0024,"(2, 2, 2)",570,travelling,0.4588623046875,17
q3_radius1,q3r1_s7_0000,q3r1_s7_0005,stratum_null_q3r1_s7_0005,"(1, 1, 2)",168,emitter-like,0.634521484375,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0002,stratum_null_q3r1_s7_0002,"(1, 1, 1)",392,travelling,0.418212890625,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0010,stratum_null_q3r1_s7_0010,"(0, 1, 2)",100,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0001,q3r1_s7_0001_output_histogram_random,output_distribution_matched_random,"(2, 2, 2)",346,travelling,0.8126220703125,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0009,stratum_null_q3r1_s7_0009,"(1, 1, 1)",9,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0001,q3r1_s7_0016,stratum_null_q3r1_s7_0016,"(1, 1, 1)",270,emitter-like,0.353271484375,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0011,stratum_null_q3r1_s7_0011,"(0, 1, 1)",197,travelling,0.43896484375,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0012,stratum_null_q3r1_s7_0012,"(1, 1, 1)",244,travelling,0.6031494140625,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0002_right_neighbor_removed,right_neighbor_removed,"(1, 1, 1)",131,travelling,0.2674560546875,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0002_left_neighbor_removed,left_neighbor_removed,"(1, 2, 1)",147,travelling,0.306396484375,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0022,stratum_null_q3r1_s7_0022,"(0, 2, 1)",148,travelling,0.5863037109375,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0002,raw,"(1, 1, 1)",392,travelling,0.418212890625,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0002_center_only_projection,center_only_projection,"(1, 1, 1)",288,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0002,q3r1_s7_0024,stratum_null_q3r1_s7_0024,"(2, 2, 2)",570,travelling,0.4588623046875,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0002_left_right_symmetrized_rule,left_right_symmetrized_rule,"(1, 1, 1)",497,travelling,0.4049072265625,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0001,stratum_null_q3r1_s7_0001,"(1, 1, 1)",768,travelling,0.4427490234375,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0021,stratum_null_q3r1_s7_0021,"(0, 2, 0)",1002,emitter-like,0.1864013671875,17
q3_radius1,q3r1_s7_0001,q3r1_s7_0020,stratum_null_q3r1_s7_0020,"(0, 1, 0)",199,emitter-like,0.5244140625,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0002_symbol_phase_only,symbol_phase_only,"(0, 1, 0)",281,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0002,q3r1_s7_0010,stratum_null_q3r1_s7_0010,"(0, 1, 2)",100,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0002,q3r1_s7_0002_output_histogram_random,output_distribution_matched_random,"(1, 1, 1)",982,travelling,0.2452392578125,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0003,raw,"(1, 2, 2)",139,domain-wall-like,0.6373291015625,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0003_symbol_phase_only,symbol_phase_only,"(1, 1, 1)",1030,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0002,q3r1_s7_0016,stratum_null_q3r1_s7_0016,"(1, 1, 1)",270,emitter-like,0.353271484375,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0003_left_right_symmetrized_rule,left_right_symmetrized_rule,"(2, 2, 2)",310,travelling,0.648193359375,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0011,stratum_null_q3r1_s7_0011,"(0, 1, 1)",197,travelling,0.43896484375,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0012,stratum_null_q3r1_s7_0012,"(1, 1, 1)",244,travelling,0.6031494140625,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0017,stratum_null_q3r1_s7_0017,"(2, 2, 2)",777,travelling,0.5352783203125,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0003_center_only_projection,center_only_projection,"(0, 2, 0)",119,local-phase-clock-like,0.0,1
q3_radius1,q3r1_s7_0003,q3r1_s7_0003_right_neighbor_removed,right_neighbor_removed,"(2, 1, 1)",140,oscillatory,0.2269287109375,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0003_left_neighbor_removed,left_neighbor_removed,"(2, 2, 2)",517,oscillatory,0.24462890625,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0022,stratum_null_q3r1_s7_0022,"(0, 2, 1)",148,travelling,0.5863037109375,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0020,stratum_null_q3r1_s7_0020,"(0, 1, 0)",199,emitter-like,0.5244140625,17
q3_radius1,q3r1_s7_0002,q3r1_s7_0021,stratum_null_q3r1_s7_0021,"(0, 2, 0)",1002,emitter-like,0.1864013671875,17
q3_radius1,q3r1_s7_0004,q3r1_s7_0004_center_only_projection,center_only_projection,"(2, 2, 0)",7,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0003,q3r1_s7_0008,stratum_null_q3r1_s7_0008,"(0, 1, 1)",162,travelling,0.53125,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0003_output_histogram_random,output_distribution_matched_random,"(1, 1, 1)",897,travelling,0.6270751953125,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0006,stratum_null_q3r1_s7_0006,"(1, 1, 1)",137,local-phase-clock-like,0.001220703125,11
q3_radius1,q3r1_s7_0003,q3r1_s7_0005,stratum_null_q3r1_s7_0005,"(1, 1, 2)",168,emitter-like,0.634521484375,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0012,stratum_null_q3r1_s7_0012,"(1, 1, 1)",244,travelling,0.6031494140625,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0018,stratum_null_q3r1_s7_0018,"(0, 2, 0)",258,travelling,0.1005859375,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0011,stratum_null_q3r1_s7_0011,"(0, 1, 1)",197,travelling,0.43896484375,17
q3_radius1,q3r1_s7_0003,q3r1_s7_0022,stratum_null_q3r1_s7_0022,"(0, 2, 1)",148,travelling,0.5863037109375,17
q3_radius1,q3r1_s7_0004,q3r1_s7_0009,stratum_null_q3r1_s7_0009,"(1, 1, 1)",9,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0003,q3r1_s7_0020,stratum_null_q3r1_s7_0020,"(0, 1, 0)",199,emitter-like,0.5244140625,17
q3_radius1,q3r1_s7_0004,q3r1_s7_0007,stratum_null_q3r1_s7_0007,"(0, 1, 0)",171,local-phase-clock-like,0.0,2
q3_radius1,q3r1_s7_0004,q3r1_s7_0004_symbol_phase_only,symbol_phase_only,"(0, 1, 0)",260,emitter-like,0.0,2
q3_radius1,q3r1_s7_0004,q3r1_s7_0004_right_neighbor_removed,right_neighbor_removed,"(0, 1, 0)",578,travelling,0.033203125,2
q3_radius1,q3r1_s7_0003,q3r1_s7_0015,stratum_null_q3r1_s7_0015,"(0, 2, 0)",467,travelling,0.2877197265625,17
q3_radius1,q3r1_s7_0004,q3r1_s7_0004_left_neighbor_removed,left_neighbor_removed,"(0, 1, 0)",626,travelling,0.03125,2
q3_radius1,q3r1_s7_0004,q3r1_s7_0019,stratum_null_q3r1_s7_0019,"(1, 1, 1)",332,local-phase-clock-like,0.0013427734375,8
q3_radius1,q3r1_s7_0004,q3r1_s7_0004_output_histogram_random,output_distribution_matched_random,"(2, 2, 2)",928,travelling,0.216796875,17
q3_radius1,q3r1_s7_0004,q3r1_s7_0004,raw,"(0, 1, 0)",1017,travelling,0.2181396484375,17
