condition,alpha,T,p_viable_T,control,sample_n,early_to_late_neighbor_preservation,future_profile_separation,ordered_persistence,viability_gate,component_non_erasure,counterfactual_affordance,minimal_recoverability,horizon_coherence,ridge_R2_past_to_future,ridge_R2_time_shuffled,temporal_prediction_delta,A_past_to_A_future_delta,B_past_to_B_future_delta,component_continuity_balance,component_erasure_score,counterfactual_profile_separation,intervention_viable_reachability_delta,component_conditioned_affordance_balance,post_displacement_viability,return_to_viable_corridor_rate,recoverable_continuation_profile,gpu_used
coupled,0.5,1500,0.9989048148148147,noise_fakeout,252000,0.0041971206665039,0.0198558270931243,0.0080737899018762,0.9989048148148147,0.4996497304819058,0.5986181104980347,0.6680132009011382,0.660381865649642,-0.0005878854426555,-0.0007563073886558,0.0001684219460003,0.0002108442131429,-0.0004896948230452,0.9992994609638116,1.0,0.0040396027034148,1.0,0.7918147287906894,1.0,1.0,0.0040396027034148,1.0
coupled,0.5,1500,0.9989048148148147,single_component_erasure,252000,0.437252938747406,0.9737145900726318,0.7056312248071966,0.9989048148148147,0.3622229854011386,0.5649661678029627,0.6824368592351675,0.7488813929289175,0.7055562138557434,-0.0003699317458085,0.705926145601552,0.693087637424469,0.1709228605031967,0.4778352230787277,0.7533892522764505,0.0473105777055025,1.0,0.6475879257033857,1.0,1.0,0.0473105777055025,1.0
coupled,0.5,1500,0.9989048148148147,endpoint_fakeout,252000,0.3601060509681701,0.9379228353500366,0.6434721383557189,0.9989048148148147,0.4028384384017948,0.5897412361946945,0.6742965265487632,0.8151138104932154,0.631993293762207,-0.0003942349867429,0.63238752874895,0.6841393709182739,0.1989755630493164,0.5148361921310425,0.7091593153274529,0.0228895796462893,1.0,0.7463341289377943,1.0,1.0,0.0228895796462893,1.0
coupled,0.5,1500,0.9989048148148147,delayed_trap,252000,0.5411351323127747,1.0774143934249878,0.8142587325613325,0.9989048148148147,0.6662596479183551,0.5834931838834253,0.6697674878135634,0.8417701078257916,0.8229745030403137,-0.0012521689059212,0.824226671946235,0.8660598993301392,0.5562744140625,0.6902145147323608,0.3576952188956505,0.0093024634406901,1.0,0.7411770882095858,1.0,1.0,0.0093024634406901,1.0
coupled,0.5,1500,0.9989048148148147,component_swap_fakeout,252000,0.1751303076744079,0.6353662610054016,0.3892965962683472,0.9989048148148147,0.1532581343490164,0.3738997972488047,0.677308595739305,0.7763896618980514,0.3569569885730743,-0.0004362315521575,0.3573932201252319,0.693087637424469,-0.000396093877498,0.3065162686980329,1.0,0.031925787217915,1.0,0.089773604528499,1.0,1.0,0.031925787217915,1.0
coupled,0.5,2400,0.9988885185185186,none,252000,0.2126740217208862,0.6700019836425781,0.4378784769602741,0.9988885185185186,0.563906710777212,0.5020322192418506,0.6737871058285236,0.7420298171709221,0.4302461445331573,-0.0007132809842005,0.4309594255173579,0.4774588048458099,0.1956010907888412,0.7181422859430313,0.5903288643886073,0.0213613174855709,1.0,0.4847353402399808,1.0,1.0,0.0213613174855709,1.0
coupled,0.5,2400,0.9988885185185186,rigid_collapse,252000,0.2215346693992614,0.6624600887298584,0.4195023726012247,0.9988885185185186,0.4607053335164179,0.2406272688677847,0.3688504709953182,0.7335517360534528,0.3742510080337524,-0.0002613516408018,0.3745123596745543,0.4163737893104553,0.0992990657687187,0.6829252764582634,0.7615146094254275,0.0146249150857329,0.1430408163265306,0.5642160751910906,0.1430408163265306,0.9496224489795918,0.0138881476798322,1.0
coupled,0.5,2400,0.9988885185185186,noise_fakeout,252000,-0.0090415477752685,0.0168108846992254,0.0025897789746522,0.9988885185185186,0.4998608950554626,0.6327757868742857,0.6680464978950719,0.660381865649642,-0.0005332707078196,-0.0003105297801084,-0.0002227409277111,-0.0007352735265158,-0.000457063637441,0.9997217901109252,1.0,0.0041394936852157,1.0,0.8941878669376413,1.0,1.0,0.0041394936852157,1.0
coupled,0.5,2400,0.9988885185185186,single_component_erasure,252000,0.2635179758071899,0.7284569144248962,0.4909181876282673,0.9988885185185186,0.414907181030965,0.5656129854082524,0.6798530941208204,0.7488813929289175,0.4805235266685486,-0.0002561459841672,0.4807796726527158,0.4774588048458099,0.0992990657687187,0.6218402609229088,0.7920258988609787,0.039559282362461,1.0,0.6572796738622962,1.0,1.0,0.039559282362461,1.0
coupled,0.5,2400,0.9988885185185186,endpoint_fakeout,252000,0.2627927660942077,0.8046015501022339,0.5161357558099553,0.9988885185185186,0.4521620280809654,0.5737465749498477,0.6735223578289151,0.8151138104932154,0.479954719543457,-0.0010582316899672,0.4810129512334242,0.5352605581283569,0.1532588750123977,0.6179983168840408,0.71367426072211,0.0205670734867453,1.0,0.7006726513627977,1.0,1.0,0.0205670734867453,1.0
coupled,0.5,2400,0.9988885185185186,delayed_trap,252000,0.4053208827972412,0.88254314661026,0.6558230810139017,0.9988885185185186,0.5780009505148203,0.5334632819500805,0.6693383625048833,0.8417701078257916,0.6786330938339233,-0.0009721198002807,0.6796052136342041,0.7401979565620422,0.3812010586261749,0.6410031020641327,0.485001201034492,0.00801508751465,1.0,0.5923747583355917,1.0,1.0,0.00801508751465,1.0
coupled,0.5,2400,0.9988885185185186,component_swap_fakeout,252000,0.1142332553863525,0.483155608177185,0.279129730440521,0.9988885185185186,0.2611300081771333,0.3828416357191461,0.681467592716217,0.7763896618980514,0.2392884194850921,-0.0007119082729332,0.2400003277580253,0.4774588048458099,-0.0002811787999235,0.5222600163542666,1.0,0.0444027781486511,1.0,0.1041221290087871,1.0,1.0,0.0444027781486511,1.0
coupled,0.525,900,0.9989051851851852,none,252000,0.5043940842151642,1.0813974142074585,0.7962971511102902,0.9989051851851852,0.6107493099332502,0.5940886102482458,0.6762844265128175,0.7368065057189641,0.8024358153343201,-0.0006641395739279,0.803099954908248,0.8478156328201294,0.490623265504837,0.6428076326847076,0.4213090128182072,0.0288532795384526,1.0,0.7534125512062847,1.0,1.0,0.0288532795384526,1.0
