threshold_family,stack,invariants,coupled_retention,known_false_positive_rejection_rate,holdout_rejection_rate,balanced_score
coupled_q25,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.2222222222222222,0.8888888888888888,0.8333333333333334,0.1646090534979424
coupled_q25,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.2222222222222222,0.8888888888888888,1.0,0.19753086419753085
coupled_q25,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.2,0.8888888888888888,1.0,0.17777777777777778
coupled_q10,S1,I1_viability,0.8888888888888888,0.0,0.0,0.0
coupled_q10,S2,I1_viability+I2_ordered_distinction_persistence,0.8,0.25,0.16666666666666663,0.033333333333333326
coupled_q10,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.7111111111111111,0.41666666666666663,0.5,0.14814814814814814
coupled_q10,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.6,0.7222222222222222,0.6666666666666667,0.2888888888888889
coupled_q10,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.5333333333333333,0.7222222222222222,0.8333333333333334,0.3209876543209877
coupled_q10,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.4888888888888889,0.7222222222222222,0.8333333333333334,0.294238683127572
sensitivity_scale_0.50,S1,I1_viability,1.0,0.0,0.0,0.0
sensitivity_scale_0.50,S2,I1_viability+I2_ordered_distinction_persistence,0.9333333333333333,0.25,0.16666666666666663,0.03888888888888888
sensitivity_scale_0.50,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.9333333333333333,0.25,0.5,0.11666666666666667
sensitivity_scale_0.50,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.9333333333333333,0.5,0.5,0.23333333333333334
sensitivity_scale_0.50,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.9333333333333333,0.5,0.5,0.23333333333333334
sensitivity_scale_0.50,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.9333333333333333,0.5,0.5,0.23333333333333334
sensitivity_scale_0.60,S1,I1_viability,1.0,0.0,0.0,0.0
sensitivity_scale_0.60,S2,I1_viability+I2_ordered_distinction_persistence,0.6666666666666666,0.3055555555555556,0.33333333333333337,0.06790123456790124
sensitivity_scale_0.60,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.6666666666666666,0.3055555555555556,0.5,0.10185185185185186
sensitivity_scale_0.60,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.6666666666666666,0.5,0.5,0.16666666666666666
sensitivity_scale_0.60,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.6666666666666666,0.5,0.5,0.16666666666666666
sensitivity_scale_0.60,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.6666666666666666,0.5,0.5,0.16666666666666666
sensitivity_scale_0.70,S1,I1_viability,1.0,0.0,0.0,0.0
sensitivity_scale_0.70,S2,I1_viability+I2_ordered_distinction_persistence,0.6,0.36111111111111116,0.5,0.10833333333333335
sensitivity_scale_0.70,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.6,0.38888888888888884,0.5,0.11666666666666664
sensitivity_scale_0.70,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.6,0.5555555555555556,0.5,0.16666666666666666
sensitivity_scale_0.70,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.6,0.5555555555555556,0.5,0.16666666666666666
sensitivity_scale_0.70,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.6,0.5555555555555556,0.5,0.16666666666666666
sensitivity_scale_0.80,S1,I1_viability,1.0,0.0,0.0,0.0
sensitivity_scale_0.80,S2,I1_viability+I2_ordered_distinction_persistence,0.5333333333333333,0.5,0.5,0.13333333333333333
sensitivity_scale_0.80,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.35555555555555557,0.75,0.5,0.13333333333333333
sensitivity_scale_0.80,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.35555555555555557,0.8333333333333334,0.5,0.14814814814814817
sensitivity_scale_0.80,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.35555555555555557,0.8333333333333334,0.5,0.14814814814814817
sensitivity_scale_0.80,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.35555555555555557,0.8333333333333334,0.5,0.14814814814814817
sensitivity_scale_0.90,S1,I1_viability,1.0,0.0,0.0,0.0
sensitivity_scale_0.90,S2,I1_viability+I2_ordered_distinction_persistence,0.3333333333333333,0.5833333333333333,0.5,0.09722222222222221
sensitivity_scale_0.90,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.3333333333333333,1.0,0.5,0.16666666666666666
sensitivity_scale_0.90,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.26666666666666666,1.0,0.6666666666666667,0.17777777777777778
sensitivity_scale_0.90,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.26666666666666666,1.0,0.6666666666666667,0.17777777777777778
sensitivity_scale_0.90,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.08888888888888889,1.0,0.6666666666666667,0.05925925925925927
sensitivity_scale_1.00,S1,I1_viability,0.26666666666666666,0.4444444444444444,0.4444444444444444,0.052674897119341556
sensitivity_scale_1.00,S2,I1_viability+I2_ordered_distinction_persistence,0.044444444444444446,0.7777777777777778,0.7777777777777778,0.026886145404663928
sensitivity_scale_1.00,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.044444444444444446,1.0,0.7777777777777778,0.034567901234567905
sensitivity_scale_1.00,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.0,1.0,0.9444444444444444,0.0
sensitivity_scale_1.00,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.0,1.0,1.0,0.0
sensitivity_scale_1.00,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.0,1.0,1.0,0.0
sensitivity_scale_1.10,S1,I1_viability,0.0,1.0,1.0,0.0
sensitivity_scale_1.10,S2,I1_viability+I2_ordered_distinction_persistence,0.0,1.0,1.0,0.0
sensitivity_scale_1.10,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.0,1.0,1.0,0.0
sensitivity_scale_1.10,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.0,1.0,1.0,0.0
sensitivity_scale_1.10,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.0,1.0,1.0,0.0
sensitivity_scale_1.10,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.0,1.0,1.0,0.0
sensitivity_scale_1.20,S1,I1_viability,0.0,1.0,1.0,0.0
sensitivity_scale_1.20,S2,I1_viability+I2_ordered_distinction_persistence,0.0,1.0,1.0,0.0
sensitivity_scale_1.20,S3,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure,0.0,1.0,1.0,0.0
sensitivity_scale_1.20,S4,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance,0.0,1.0,1.0,0.0
sensitivity_scale_1.20,S5,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability,0.0,1.0,1.0,0.0
sensitivity_scale_1.20,S6,I1_viability+I2_ordered_distinction_persistence+I3_component_non_erasure+I4_counterfactual_affordance_relevance+I5_minimal_recoverability+I6_horizon_coherence,0.0,1.0,1.0,0.0
