invariant,metric,control,mean,median,q10,q25,q75,q90,overlap_with_coupled,effect_size_vs_coupled
I3_component_non_erasure,component_non_erasure,none,0.4482886551902665,0.4423071091341536,0.3678120584028173,0.3858319464565533,0.4846310830550198,0.5664591229953337,1.0,0.0
I3_component_non_erasure,component_non_erasure,rigid_collapse,0.4046801579221469,0.4015184321106104,0.3699556279424598,0.3762281237759043,0.4258755292291332,0.4613877572223435,0.4120460607539878,0.7382359970249147
I3_component_non_erasure,component_non_erasure,single_component_erasure,0.36854231424454764,0.3622229854011386,0.33788912195252296,0.348760812286052,0.3831199492138724,0.41542343718824287,0.21113295943853408,1.4049582778838934
I4_counterfactual_affordance_relevance,counterfactual_affordance,component_swap_fakeout,0.37239614937135745,0.3733639058896527,0.3655519424601424,0.3703863358568474,0.3752270866508967,0.37739029844898675,0.0,8.97055140791028
I4_counterfactual_affordance_relevance,counterfactual_affordance,delayed_trap,0.5755307513514565,0.5678679141647948,0.5334747460282347,0.5425281382437016,0.6086110671149566,0.6213249425778258,0.5984866356931368,0.5832146091615306
I4_counterfactual_affordance_relevance,counterfactual_affordance,endpoint_fakeout,0.581728065928409,0.5801757341173231,0.5695225660155175,0.5737465749498477,0.5871740150087124,0.5928888051554049,0.2684706973688232,0.5561446024564917
I4_counterfactual_affordance_relevance,counterfactual_affordance,noise_fakeout,0.6257030614963265,0.6406483757346174,0.5831117419577906,0.6059125013928967,0.6539922832125763,0.6609351959282105,0.8259052717377244,-0.7284212909376332
I4_counterfactual_affordance_relevance,counterfactual_affordance,none,0.5961955567269952,0.5999484003874215,0.5448066998736626,0.5862518357817326,0.6184354258557322,0.627408704247661,1.0,0.0
I4_counterfactual_affordance_relevance,counterfactual_affordance,rigid_collapse,0.20660076141657668,0.2161017632447918,0.1769351732712133,0.1846129220184225,0.2219792341139204,0.2406433630489167,0.0,12.452075593098375
I4_counterfactual_affordance_relevance,counterfactual_affordance,single_component_erasure,0.557171254388005,0.5649661678029627,0.516524535327733,0.5420436852603249,0.5768857905357957,0.5998553659149599,0.5759460021610424,1.0879433005098804
I5_minimal_recoverability,minimal_recoverability,component_swap_fakeout,0.6777141108695005,0.677308595739305,0.6751720877364278,0.6753968161841234,0.6782874939963222,0.6818248120447,0.1254519684805769,-1.9418162577030749
I5_minimal_recoverability,minimal_recoverability,delayed_trap,0.6696668792628098,0.6697674878135634,0.6693381048350905,0.6694956331630237,0.6698312110578021,0.6699308115523309,0.04444175417290306,1.8854121311787675
I5_minimal_recoverability,minimal_recoverability,endpoint_fakeout,0.6741376609920904,0.6742965265487632,0.6730983822916945,0.6735223578289151,0.6747451908886433,0.6749715892598033,0.32383525656161577,-0.8872646571530293
I5_minimal_recoverability,minimal_recoverability,noise_fakeout,0.6679661064753654,0.6680132009011382,0.6677773285812388,0.6678868338931352,0.6680703827102358,0.6681306914271166,0.0,2.969822730122609
I5_minimal_recoverability,minimal_recoverability,none,0.6726530126433957,0.6722634195660552,0.6698260304518043,0.6710050532904764,0.6749509756142894,0.6757152413328489,1.0,0.0
I5_minimal_recoverability,minimal_recoverability,rigid_collapse,0.3802347606022953,0.3756253275843717,0.3680652262068022,0.3707003619032152,0.3912289934384662,0.3969204021532801,0.0,31.470518975072146
I5_minimal_recoverability,minimal_recoverability,single_component_erasure,0.6818179688933823,0.6817669297258059,0.6797597551097473,0.6802473521480957,0.6834333650767803,0.6837844129651786,0.0,-4.407465897954335
I6_horizon_coherence,horizon_coherence,component_swap_fakeout,0.7750527275746332,0.7752523902549987,0.7735161305708494,0.7735161305708494,0.7763896618980514,0.7763896618980514,0.0,-3.957357522831935
I6_horizon_coherence,horizon_coherence,delayed_trap,0.8391362350533961,0.8391561755317538,0.8364824218026429,0.8364824218026429,0.8417701078257916,0.8417701078257916,0.0,-6.979032512515727
I6_horizon_coherence,horizon_coherence,endpoint_fakeout,0.8188519407357246,0.8174514086614557,0.8151138104932154,0.8151138104932154,0.8239906030525028,0.8239906030525028,0.0,-5.984548973599584
I6_horizon_coherence,horizon_coherence,noise_fakeout,0.7577083368797991,0.757342309463994,0.660381865649642,0.660381865649642,0.8554008355257614,0.8554008355257614,0.40710668607021905,-1.045143681264818
I6_horizon_coherence,horizon_coherence,none,0.6915224293325029,0.6735527719329703,0.6637738202051646,0.6666389025154613,0.7187285660528078,0.7382292606854997,1.0,0.0
I6_horizon_coherence,horizon_coherence,rigid_collapse,0.7299225859221345,0.7284722531292647,0.7277437685836862,0.7277437685836862,0.7335517360534528,0.7335517360534528,0.07315416914150367,-1.8132268291548455
I6_horizon_coherence,horizon_coherence,single_component_erasure,0.7487611951356637,0.7488813929289175,0.748280191424529,0.748280191424529,0.7491220010535448,0.7491220010535448,0.0,-2.7139397048943343
